"","Bretagne","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","France-hopitaux","France-OC19","France"
"1007",2.30911865616424,2.01393767536761,2.87795408932972,2.04093460415935,2.50100818902767,2.47123009978012,2.3759089576236,2.35929379874861,2.18812867616282,2.87321415942495,2.25878320165488
"1008",2.44318816393018,3.35654462372262,2.30155982370953,2.48513204435741,2.20407192392675,2.12236472006215,2.39419003530553,3.27469409689919,3.60535424583882,2.30081104411999,2.33189190989343
"1009",0.0759183069409973,0.0890764462742328,0.0639780524816192,0.0517033126038627,0.0796984251794797,0.120885840280388,0.109124036525679,0.0784897239766712,0.0757344571372698,0.11247286056065,0.123667418892973
"1010",2.16183763744265,2.41008967036997,2.46684639938778,2.46733434502246,2.31782395187741,2.38452942621598,2.15634357136244,2.31950037335213,2.534170551064,2.72088917446848,2.09100057624024
"1011",1.76574188910753,1.30078119305598,2.00348481491506,1.46123848982848,2.33862954265114,1.75995914083364,1.81644722319121,2.14472988630062,2.34479292129339,1.86276545435885,2.4813719936549
"1012",1.92613907704136,1.18729414814392,2.38863840452859,1.1355688618825,1.39727414226797,1.31517221848191,1.61136725492764,1.59766158903331,1.67646621311954,1.90250931569926,1.77748951902856
"1013",2.09240835766571,2.3211316211776,2.21530305355419,2.09334945007324,2.66777623909804,2.11534267229957,2.09304401291501,2.49455380099191,2.82182735525949,2.87832079303528,2.54069110170554
"1014",0.223206839637128,0.221004872625323,0.258098455964163,0.172897269469902,0.294895904681361,0.257441455464684,0.167880130309228,0.25373487666619,0.296696364125325,0.192646008186186,0.26217132482687
"1015",2.91074342576885,3.11424905519214,2.70060319958899,3.04626292616323,3.4348156338522,3.03842517243877,2.63743731540503,3.77436507102748,3.22359318841881,2.97210356014622,3.32341404264427
"1016",0.160374756308635,0.179185093388585,0.180455182915833,0.17793388078861,0.170732964837786,0.170056640874851,0.174152214125722,0.174915625777843,0.174225400453132,0.154485372196748,0.16800014775636
"1017",1.00194231818427,0.736595930298529,0.954967064258694,0.681084064924612,0.906210441135026,0.841792670489083,0.904619382640865,1.21430236282204,0.952365608416043,1.17484003340696,0.968501889573372
"1018",3.99641798361721,3.02676606551821,2.97224956308558,2.87421996858038,2.9401427873306,3.16735317987026,3.30294786067799,2.42718191510845,3.20841516764156,2.54246052958369,3.42733215783264
"1019",1.14005630168404,2.28104144070944,1.84463126833405,1.81489378866503,1.54117810156648,1.92925611216424,3.010306317692,2.54698954973091,2.56546186573571,2.50143122326637,1.89543331960696
"1020",3.1670334255364,3.13395351456919,3.16570242696736,2.08132665204118,2.50831540702248,3.00340495068657,3.06771250767333,3.29399195720104,2.8350948095305,3.13164773910676,3.01130508425208
"1021",3.35290248428088,3.79614979097881,3.54720383631721,2.31502465863805,1.99813992179274,3.82586091570482,3.49564883387732,4.04534643409663,3.27549670774016,3.53853383182799,2.27467500296172
"1022",2.89434712164982,1.64817179103779,1.86949003388274,2.87493421923401,1.92121314795713,2.09693705947795,1.90068379162673,1.49878764330096,1.75773110100468,2.26801541053869,2.19454949586997
"1023",2.15669737034476,1.97027816679733,1.77688472124646,1.52902148100939,2.23295371194122,1.79446198250095,2.07440932336923,1.85437970557519,1.96745842770172,2.1892488603348,2.38640096887855
"1024",1.98349875545203,2.97944888826485,3.97855195356062,2.04635369882631,3.85402780019,1.86212050159187,3.24022359236555,2.48102391812097,3.29377022493998,3.26031286079428,2.62159345330989
"1025",3.63301211050425,2.09438146237471,2.92867404646936,3.106831379915,3.71249586464371,3.53826705762505,2.37652566940093,2.48296636201201,2.87061219241348,3.00176755950844,4.01575363789551
"1026",1.1291472719999,1.15361395294752,1.61355620359608,1.15436354451018,1.68891043883993,1.5683254945008,1.37064871070641,1.84752879424016,1.35985227718892,1.4997640078263,1.49982688267625
"1027",3.32454995271948,4.90939946419786,2.91711778462829,1.23311549461253,3.68031489230657,3.48314658932398,2.1657913109292,4.38909798957637,3.57503893707197,4.73935319200919,4.42532185538645
"1028",2.2455188628335,2.88647858404454,2.37438321789113,2.0115071005081,2.63708450120831,2.34312446294216,1.9224581081041,2.01086588143948,2.57682597630733,2.52498252638037,2.79098936400188
"1029",1.98327250799165,2.14386389228555,2.73088911992392,2.59904725840283,4.14656302942979,1.82158403710475,1.80048936805026,2.2979307612324,2.70139138892494,2.17257282725611,4.00425553005016
"1030",3.01490763680619,2.18835239812092,2.20739168425012,1.59333966166407,2.2053650274062,3.11388400709725,2.62624429349055,3.30713028536399,2.1851382632998,2.29789133976861,2.57385211443864
"1031",0.108473740527288,0.0723671409420697,0.109205501916088,0.0787859842599729,0.150666082004261,0.101438075025341,0.0979042227540619,0.0622561467492535,0.134187029757761,0.114736518499275,0.0868023806196155
"1032",1.18623339061714,0.898714088881913,1.2564954311892,0.793723566886083,0.873942429158326,0.899654655639151,0.895991624255104,1.22943190247553,0.981856724434839,1.10689743198852,0.960539088719068
"1033",1.81683739194545,1.81741496646008,2.20438454093843,1.56416149986607,2.48875025552135,2.38293161638438,1.64380250975448,2.58717690028768,1.99046285968396,1.68386320796699,2.11186288473864
"1034",2.10796602282564,3.06882305751382,2.64191771086425,2.97054924472205,2.70475140588003,1.95101338504758,2.42452399925551,2.22187121764082,2.23337807822697,2.29878390059728,2.62810515337147
"1035",2.78389067539518,2.82437676618621,2.91170812417992,2.45346730063482,2.98842293781974,2.99752372050305,2.1011715353388,2.59347831182532,3.16211802159072,2.86859712652358,2.88757189864137
"1036",1.50430636244033,2.2816376917114,2.00005559554528,1.66136807982396,1.55621676373912,1.52074095569808,1.56647768674934,1.29570668890303,1.9659921830179,1.97336651371376,2.1024291420879
"1037",1.87899772869208,1.72104043912224,1.57231902104094,1.2864724858537,1.85953342254101,1.51116539175926,1.60613076728167,1.80984083206942,1.68051668120094,2.07464693974463,1.71933682024766
"1038",1.04149507012573,0.91256482828525,1.32031617408056,0.852713021358156,0.829363436756137,0.986591587974768,0.793181313705985,1.07813062511959,0.98146506381029,0.890544846466981,1.01233303253964
"1039",1.55066673501075,1.47834547435102,1.55410910765001,1.28816553080131,1.3358607301946,1.32995807107642,1.56000276436081,1.4434621048126,1.58282452387565,1.66753483556556,1.35667668154662
