"","Bretagne","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","France-hopitaux","France-OC19","France"
"1",2.48028472834377,2.82102961856762,3.10289378293604,2.3603782711991,3.34628436905192,3.1368889162855,3.05672059276634,2.94904825284145,2.80968675707296,3.67243773381399,3.38804023779842
"2",3.2819501952246,3.164559263047,3.21206411202737,3.28183985818134,3.20581989800335,3.29804678389499,3.31376141059896,3.48726851606209,3.15080118131664,3.42876996076239,3.47658034210462
"3",2.46482426919649,3.39497426071575,3.39621223236397,2.57607937374338,3.6119695903508,2.93883448400258,3.49073798431052,3.79192306731973,3.26030413907566,3.38714581003304,3.79121542102124
"4",3.30396956470575,3.21904978955439,3.27356712387372,3.24721110849396,3.27827556361715,3.26583833460961,3.33818849377392,3.33702271039761,3.21669529679027,3.21771555612479,3.32936412747243
"5",3.30659101932187,2.98119696828119,3.39441197791427,3.01046224016651,4.31662713733663,3.37620140875894,3.24064199966132,4.12426725243576,4.0102626287064,3.12630641962709,3.60801879388706
"6",3.66569150538517,3.00859565639596,3.47448373886535,3.19333412746666,3.55937709551156,3.20968293598093,3.11586380815584,3.95389405721377,3.70576918103021,3.4318243076607,3.3595564353598
"7",3.0505796992309,3.03913117144703,4.00248461701867,2.78000504813774,3.27071282360041,3.32737093830027,3.0455666305141,3.56935869953555,3.0455487051783,3.3030902276061,4.17552258851001
"8",3.8515454539757,3.77419046745001,4.08424444469218,2.7667559592306,3.10679451126732,3.94055617897124,3.09504875668538,3.90148723917214,4.31612300694447,3.31202007800255,3.53138432153601
"9",2.49455159191433,2.53487545074203,4.26024100553546,2.7485043453238,2.72134758997502,3.2153287328354,3.27767624166658,3.99063079261243,3.33058460367636,3.72894008017328,3.37746169281232
"10",3.25753229266478,3.22164642830072,3.32427268139727,3.26240763536442,3.28510796894676,3.31801266885165,3.23115494712273,3.27944276321096,3.26164625206285,3.24777135336548,3.33762981144075
"11",3.32517584486003,3.28017749168496,3.30227475409663,3.172956417077,3.29398195196421,3.25092071924248,3.30270138682981,3.21531037868216,3.23276973480934,3.27832576787788,3.27475741331531
"12",2.94145860461004,2.50866073695752,3.64801503427269,2.67147385277409,2.97258955952833,2.87257841400217,3.18973468653385,3.53882251434948,3.91292154973935,3.37048839290748,3.63142462551105
"13",3.2591311674606,3.15901909248272,3.00449910511951,3.23546541057327,3.35348911622985,3.15825570297344,3.3394993225997,3.19071558038237,3.33068300661652,3.4004375893726,3.31726448110336
"14",2.49357347172112,3.55116315000522,3.91672801128395,2.00771709824665,4.31642185947629,2.74011921817112,3.59400492246374,3.18449714960445,3.35303907756392,3.59445472639771,3.79776725958729
"15",3.32533207865025,3.1955215222377,3.22574536381078,3.25324090002909,3.28685132468559,3.36052452049149,3.40778313616708,3.34778423574157,3.35994147198892,3.28758844045845,3.31127841874666
"16",3.0139489591136,3.35386303082351,3.52404131460566,3.03115678997112,3.13039397505211,3.71869655401537,3.39427172231556,3.45378804420177,3.41411690882027,3.54937213660748,3.48873620206055
"17",3.43260802368854,3.2546358180167,3.75205522851693,2.98191423243271,3.24955123702135,3.2860041127899,2.81347411105882,3.76105034475531,3.07517598988218,3.98647114624308,3.5684053899111
"18",2.65971358853547,4.12407193345917,3.44638263141108,2.97732694275468,3.57937746843227,2.82899850028968,2.62500598548147,2.81881769710098,3.27777936173414,3.28046081533967,4.08202416565736
"19",3.71291685769604,3.22603106999344,3.19543980415401,3.10162253560798,3.46025442889201,2.96884647427948,3.14234433134377,3.3809202987553,3.55808093393434,3.44097458061823,3.14634072552558
