"","time","country","region","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1672",2020-03-04,"Austria","Austria",6,24,2587.49955805713,1016.70958971628,5140.34914033048,524.940139507338,261.808155684108,883.618406230623,406.690226743751,618.734921265447,0,0,0.200450148047341,0.0517937020524415,0.491281735536644,0.0741810223925244,0.019432180491119,0.180418505065275,0.0443025575846825,0.0938658598920251,3.65647663405839,2.66107237033408,4.95520586432378,3.24256465208169,4.01732649695977
"1673",2020-03-05,"Austria","Austria",5,29,3242.26708797439,1368.95345916571,6205.53345442268,654.767529917266,352.243869449432,1065.1843140922,519.700650408598,764.926952534078,0,0,0.30462356983477,0.079713982800758,0.74204899092942,0.104173421787429,0.0279202807483166,0.250767255392775,0.0629034763510939,0.131686583982447,3.65627141136182,2.66076705374608,4.95504053113701,3.24236874150426,4.01717807672136
"1674",2020-03-06,"Austria","Austria",12,41,4059.81929009983,1835.28666501954,7504.41742560496,817.552202125441,466.333205853828,1298.88397118228,663.158445015599,947.132579210236,0,0,0.446581248247289,0.119157354015884,1.07869792498476,0.141957678412518,0.0394433712151261,0.336648934055336,0.0869104478625287,0.178987080682471,3.65601410473886,2.66040712730669,4.95481743189921,3.24212830335851,4.01697758742088
"1675",2020-03-07,"Austria","Austria",33,74,5081.69385320271,2453.05989858081,9078.14908534731,1021.87456310287,617.773233561276,1573.73165974235,846.167856320732,1172.46879033659,0,0,0.63620933743642,0.174158276920347,1.52050729608985,0.189628089189131,0.0550009229044633,0.44180937110509,0.117947781911844,0.238042740334843,3.65569115786353,2.65998279235108,4.95451644273348,3.2418332262784,4.0166980771349
"1676",2020-03-08,"Austria","Austria",25,99,6360.31294031019,3262.85528362239,11011.5487533907,1278.61908710748,809.795385041571,1933.39966804343,1074.53323676044,1449.47379232166,0,0,0.885139460609408,0.24982419540667,2.08818075554129,0.248930123172988,0.0756659184863227,0.567673459451446,0.157851701476893,0.310951650566853,3.65528539496168,2.65948253098747,4.95410861313361,3.24147027571005,4.01633881668912
"1677",2020-03-09,"Austria","Austria",3,102,7961.89379812349,4320.95407923174,13397.120769412,1601.5808578133,1058.09879560935,2385.57201602126,1364.18965925041,1793.82620782296,0,0,1.2075527674722,0.353370809281131,2.8067076621494,0.32241330686279,0.103546613874461,0.718526906608112,0.209261201503348,0.401360264272602,3.65477502645579,2.65889278709045,4.95355707940499,3.24083836950828,4.01587707501846
"1678",2020-03-10,"Austria","Austria",29,131,9866.88663113149,5654.10514183919,16050.4317681233,1904.99283300799,1333.15106260745,2653.31099871133,1666.34124375357,2107.618180552,0,0,1.62094365948352,0.494550009365626,3.70064025981201,0.413390892011326,0.141179200084495,0.893932597662605,0.274992588315408,0.512733241525613,3.48724814055306,2.44679769788067,4.85364908309965,3.06365627296805,3.85715017005366
"1679",2020-03-11,"Austria","Austria",51,182,12251.4362580975,7359.49233474434,19348.5718861584,2384.54962696599,1705.38719290515,3298.14011803503,2097.75012149453,2630.1530600903,0,0,2.14686458486989,0.686134015447729,4.8029931972584,0.525920925386366,0.191584006082103,1.10235293744639,0.357925513702937,0.647929130961188,3.48651604096494,2.44628174365965,4.85288797796762,3.0630138880654,3.85637209064559
"1680",2020-03-12,"Austria","Austria",64,246,15225.3052492718,9496.9455752984,23426.8487488704,2973.86899117436,2137.45324055406,4078.27686271199,2613.61679127435,3271.42226192371,0,0,2.81235388398025,0.945700731214333,6.15682201914658,0.665489299110359,0.259566715766603,1.35382882188817,0.463779731361633,0.813791392422472,3.48559484508979,2.44568469779452,4.85186780613715,3.0623480988422,3.85552211989427
"1681",2020-03-13,"Austria","Austria",115,361,18929.8392312867,12111.9832835182,28574.1169820051,3704.53398201482,2615.03770821979,5147.26823313476,3238.08679333707,4085.68262974795,1,1,3.65102948349027,1.29393692153417,7.7971351917146,0.838675599510022,0.348236190319841,1.64031317256803,0.600424527026011,1.01685042372516,3.48443933659232,2.44499295408985,4.85049913583544,3.06154146359294,3.85442953647978
