"","region","country","IFR"
"1","Bretagne","France",0.012556187488595
"2","Centre-Val de Loire","France",0.012556187488595
"3","Corse","France",0.012556187488595
"4","Grand Est","France",0.012556187488595
"5","Hauts-de-France","France",0.012556187488595
"6","Normandie","France",0.012556187488595
"7","Nouvelle-Aquitaine","France",0.012556187488595
"8","Occitanie","France",0.012556187488595
"9","Pays de la Loire","France",0.012556187488595
"10","France-hopitaux","France",0.012556187488595
"11","France-OC19","France",0.012556187488595
"12","France-EHPAD","France",0.012556187488595
"13","Denmark","Denmark",0.0102074697882139
"14","Italy","Italy",0.0124496263593357
"15","Germany","Germany",0.0123324426034139
"16","Spain","Spain",0.0107838730158524
"17","United_Kingdom","United_Kingdom",0.0103504384028517
"18","France","France",0.012556187488595
"19","Norway","Norway",0.00914956406203488
"20","Belgium","Belgium",0.0109598776668092
"21","Austria","Austria",0.0103882259256609
"22","Sweden","Sweden",0.0103110432111081
"23","Switzerland","Switzerland",0.0102134528252841
"24","Greece","Greece",0.0117992290838236
"25","Portugal","Portugal",0.0117258680881815
"26","Netherlands","Netherlands",0.010289760240957
