"","key","value","x","country","region"
"1","schools_universities",2020-03-14,4.3,"France","Aisne"
"2","self_isolating_if_ill",2020-03-16,4.3,"France","Aisne"
"3","public_events",2020-03-13,4.3,"France","Aisne"
"4","lockdown",2020-03-17,4.3,"France","Aisne"
"5","social_distancing_encouraged",2020-03-16,4,"France","Aisne"
"6","schools_universities",2020-03-14,4.3,"France","Aude"
"7","self_isolating_if_ill",2020-03-16,4.3,"France","Aude"
"8","public_events",2020-03-13,4.3,"France","Aude"
"9","lockdown",2020-03-17,4.3,"France","Aude"
"10","social_distancing_encouraged",2020-03-16,4,"France","Aude"
"11","schools_universities",2020-03-14,4.3,"France","Côte-d'Or"
"12","self_isolating_if_ill",2020-03-16,4.3,"France","Côte-d'Or"
"13","public_events",2020-03-13,4.3,"France","Côte-d'Or"
"14","lockdown",2020-03-17,4.3,"France","Côte-d'Or"
"15","social_distancing_encouraged",2020-03-16,4,"France","Côte-d'Or"
"16","schools_universities",2020-03-14,4.3,"France","Doubs"
"17","self_isolating_if_ill",2020-03-16,4.3,"France","Doubs"
"18","public_events",2020-03-13,4.3,"France","Doubs"
"19","lockdown",2020-03-17,4.3,"France","Doubs"
"20","social_distancing_encouraged",2020-03-16,4,"France","Doubs"
"21","schools_universities",2020-03-14,4.3,"France","Corse-du-Sud"
"22","self_isolating_if_ill",2020-03-16,4.3,"France","Corse-du-Sud"
"23","public_events",2020-03-13,4.3,"France","Corse-du-Sud"
"24","lockdown",2020-03-17,4.3,"France","Corse-du-Sud"
"25","social_distancing_encouraged",2020-03-16,4,"France","Corse-du-Sud"
"26","schools_universities",2020-03-14,4.3,"France","Hérault"
"27","self_isolating_if_ill",2020-03-16,4.3,"France","Hérault"
"28","public_events",2020-03-13,4.3,"France","Hérault"
"29","lockdown",2020-03-17,4.3,"France","Hérault"
"30","social_distancing_encouraged",2020-03-16,4,"France","Hérault"
"31","schools_universities",2020-03-14,4.3,"France","Loire"
"32","self_isolating_if_ill",2020-03-16,4.3,"France","Loire"
"33","public_events",2020-03-13,4.3,"France","Loire"
"34","lockdown",2020-03-17,4.3,"France","Loire"
"35","social_distancing_encouraged",2020-03-16,4,"France","Loire"
"36","schools_universities",2020-03-14,4.3,"France","Marne"
"37","self_isolating_if_ill",2020-03-16,4.3,"France","Marne"
"38","public_events",2020-03-13,4.3,"France","Marne"
"39","lockdown",2020-03-17,4.3,"France","Marne"
"40","social_distancing_encouraged",2020-03-16,4,"France","Marne"
"41","schools_universities",2020-03-14,4.3,"France","Meurthe-et-Moselle"
"42","self_isolating_if_ill",2020-03-16,4.3,"France","Meurthe-et-Moselle"
"43","public_events",2020-03-13,4.3,"France","Meurthe-et-Moselle"
"44","lockdown",2020-03-17,4.3,"France","Meurthe-et-Moselle"
"45","social_distancing_encouraged",2020-03-16,4,"France","Meurthe-et-Moselle"
"46","schools_universities",2020-03-14,4.3,"France","Morbihan"
"47","self_isolating_if_ill",2020-03-16,4.3,"France","Morbihan"
"48","public_events",2020-03-13,4.3,"France","Morbihan"
"49","lockdown",2020-03-17,4.3,"France","Morbihan"
"50","social_distancing_encouraged",2020-03-16,4,"France","Morbihan"
"51","schools_universities",2020-03-14,4.3,"France","Moselle"
"52","self_isolating_if_ill",2020-03-16,4.3,"France","Moselle"
"53","public_events",2020-03-13,4.3,"France","Moselle"
"54","lockdown",2020-03-17,4.3,"France","Moselle"
"55","social_distancing_encouraged",2020-03-16,4,"France","Moselle"
"56","schools_universities",2020-03-14,3.3,"France","Oise"
"57","self_isolating_if_ill",2020-03-16,3.3,"France","Oise"
"58","public_events",2020-03-13,3.3,"France","Oise"
"59","lockdown",2020-03-17,3.3,"France","Oise"
"60","social_distancing_encouraged",2020-03-16,3,"France","Oise"
"61","schools_universities",2020-03-14,4.3,"France","Bas-Rhin"
"62","self_isolating_if_ill",2020-03-16,4.3,"France","Bas-Rhin"
"63","public_events",2020-03-13,4.3,"France","Bas-Rhin"
"64","lockdown",2020-03-17,4.3,"France","Bas-Rhin"
"65","social_distancing_encouraged",2020-03-16,4,"France","Bas-Rhin"
"66","schools_universities",2020-03-14,4.3,"France","Haut-Rhin"
"67","self_isolating_if_ill",2020-03-16,4.3,"France","Haut-Rhin"
"68","public_events",2020-03-13,4.3,"France","Haut-Rhin"
"69","lockdown",2020-03-17,4.3,"France","Haut-Rhin"
"70","social_distancing_encouraged",2020-03-16,4,"France","Haut-Rhin"
"71","schools_universities",2020-03-14,4.3,"France","Rhône"
"72","self_isolating_if_ill",2020-03-16,4.3,"France","Rhône"
"73","public_events",2020-03-13,4.3,"France","Rhône"
"74","lockdown",2020-03-17,4.3,"France","Rhône"
"75","social_distancing_encouraged",2020-03-16,4,"France","Rhône"
"76","schools_universities",2020-03-14,4.3,"France","Saône-et-Loire"
