"","region","country","IFR"
"1","Aisne","France",0.012556187488595
"2","Aude","France",0.012556187488595
"3","Côte-d'Or","France",0.012556187488595
"4","Doubs","France",0.012556187488595
"5","Corse-du-Sud","France",0.012556187488595
"6","Hérault","France",0.012556187488595
"7","Loire","France",0.012556187488595
"8","Marne","France",0.012556187488595
"9","Meurthe-et-Moselle","France",0.012556187488595
"10","Morbihan","France",0.012556187488595
"11","Moselle","France",0.012556187488595
"12","Oise","France",0.012556187488595
"13","Bas-Rhin","France",0.012556187488595
"14","Haut-Rhin","France",0.012556187488595
"15","Rhône","France",0.012556187488595
"16","Saône-et-Loire","France",0.012556187488595
"17","Haute-Savoie","France",0.012556187488595
"18","Paris","France",0.012556187488595
"19","Seine-Maritime","France",0.012556187488595
"20","Seine-et-Marne","France",0.012556187488595
"21","Yvelines","France",0.012556187488595
"22","Somme","France",0.012556187488595
"23","Vosges","France",0.012556187488595
"24","Territoire de Belfort","France",0.012556187488595
"25","Hauts-de-Seine","France",0.012556187488595
"26","Seine-Saint-Denis","France",0.012556187488595
"27","Val-de-Marne","France",0.012556187488595
"28","Val-d'Oise","France",0.012556187488595
"29","France","France",0.012556187488595
