"","Aisne","Aude","Côte-d'Or","Doubs","Corse-du-Sud","Hérault","Loire","Marne","Meurthe-et-Moselle","Morbihan","Moselle","Oise","Bas-Rhin","Haut-Rhin","Rhône","Saône-et-Loire","Haute-Savoie","Paris","Seine-Maritime","Seine-et-Marne","Yvelines","Somme","Vosges","Territoire de Belfort","Hauts-de-Seine","Seine-Saint-Denis","Val-de-Marne","Val-d'Oise","France"
"725",2.39350382584702,2.66523799468461,3.06963363940496,3.2856151448681,3.66158539455514,3.10155889921492,3.11174609927196,3.14139300340885,3.37886204756136,2.9300090451841,2.95809617341528,3.22293355482224,3.16010638259878,3.6401638988854,3.41618110337269,3.39331820416737,3.02017530587821,2.74520800011633,3.03813436035876,3.43247398447279,3.53174628639972,3.3825930583378,3.96952245442744,3.62858396100174,3.04677638081528,3.2711460085462,2.85590926816527,3.10055293567169,3.53086670093824
"726",3.6802511486135,3.20410424069402,3.44195188532315,3.62188551970663,2.92706777752594,3.70953264716736,2.8021403981298,3.46539713388585,2.61667649789199,3.98792691727595,3.51683973900941,2.06209929486674,3.16789303326921,3.40774389639635,3.28979695483338,3.83134987690697,2.86711042717198,3.40242004966162,3.82472727139487,3.11653538989599,3.38537333959503,3.62473765515747,3.29405184709467,2.87681702216979,3.39981142315259,3.4692796947062,3.55046691371288,3.28212039470165,3.73462121002346
"727",3.41494829178968,3.51234709143285,3.34193775628232,3.47217206487321,3.50479107052992,2.87210474760902,3.26247635688732,3.26711993835919,2.89671166125763,3.14591215565146,3.39446487485212,3.55918706138726,3.33942051059227,3.01974545308091,3.26692072818583,3.34212066140422,3.04127127368111,2.88405145763577,3.54128544020179,3.59657818674649,3.04576034783791,3.45905977637064,3.71032050979871,3.52527304123419,3.02373699590474,3.43398829752468,3.2408850580902,3.0904006081829,3.39035578936046
"728",2.53521095225691,2.93715012182037,4.25426703644228,4.31945831777859,3.74898828563377,3.29143936509356,2.94136818245471,3.81955349676791,3.01209605412486,3.48676309429087,3.67869938974642,3.08471832882679,3.39218698349705,3.47875836091866,2.67111603741287,3.47856702429893,4.1525875632392,3.41990525539296,4.29234674319906,3.22318427462334,2.7010006055979,2.78440740774134,3.66921480671133,2.93110204752878,3.6141847230796,3.45339053131915,3.49439428732671,3.6043899916978,3.8364364867118
"729",2.08297600775548,2.48405473165602,3.25073742881301,3.48930235033179,2.47656332201194,3.33863022769408,2.57238824375056,3.41749889875937,4.15267046617585,2.85602257870895,3.02178490627951,2.62264990934004,2.78928384838502,2.93445749084653,2.85958908284764,1.98622249379163,3.69070153189895,2.88178584977299,3.68040313545308,3.33529578844866,3.78186158864567,2.9097626540469,2.49306138005418,3.57819935015992,2.88683626863475,2.8658985603952,3.73234904206411,4.31990267174756,3.72627933578185
"730",2.95057693794956,3.92790155893346,3.93933625091176,3.01176959901448,3.44626252198599,3.52756738049593,2.96750556559877,4.32131708561635,3.53106808411328,3.1024132140262,3.81836382079703,2.98706482616554,3.41989845191264,3.5054488483468,2.61902598305944,3.96466821343246,3.69599938885,3.1269910547993,3.09825713731404,3.26153760620624,2.31863695395739,3.34204448297852,3.55073088903686,3.40995991777359,3.24766327813899,3.50755749846986,4.00408194691425,3.57755176852855,3.11345309305844
"731",2.34130336498082,3.77760436281801,3.61260407194421,4.17526484817788,4.08726917963434,2.95177321481551,2.80762351987288,2.94280420929612,3.50564154104389,3.35233323450551,4.34434555548732,2.24920004252816,3.28502672095742,2.85416891617895,3.07212340551015,3.34302075370013,2.69977914535944,3.3560158333497,3.26801114979917,3.22607981528277,2.40355132813179,2.50891319085025,2.17617939996321,3.8342655418049,2.8226217559595,2.69342987849203,4.18931306591454,2.7962649748676,3.74763400266809
"732",3.57578671032993,3.3550084377698,3.45913730283705,3.03331628659918,3.58685745594259,3.75423054507253,3.64785321907072,3.19068099554199,3.19170575317393,3.51146985478727,3.33268047941276,3.07751781086314,3.29291499031477,3.31168925896764,3.36164448817066,3.44090360974519,3.46995222320934,3.24842341438655,3.51503374083987,3.57853107737342,3.10916983480622,3.37593323472349,3.5579648854714,3.11637494035729,3.09120115582367,3.49767739356231,3.20350394939844,3.33209288212762,3.32506102081073
"733",2.50941473428226,2.84095783511268,2.90472358298396,2.91111366815893,3.8597666540003,3.58947456916235,3.71060819515203,4.01233947289612,3.26487038080734,2.1364125413564,3.24886320633297,2.99880795355854,3.34860500392133,2.86036875180718,2.80890006634221,2.87665798858515,3.00243089573559,3.13400627097044,3.65572134398754,3.34821975800998,3.76378093086048,3.23367941407952,4.18507157014945,3.76887168206462,2.69638878002214,3.4803715686788,3.02568423616739,2.73296873826133,3.3016384175078
"734",3.25372007348526,3.22908732851233,3.2593520313236,3.21488962082426,3.31102883777161,3.34434807788446,3.28802147440078,3.24457204661201,3.32119588515216,3.28834601414831,3.32673427398031,3.22512835434428,3.23581359158276,3.38755951871938,3.24316020911813,3.26395540221147,3.29749321965442,3.2601300082356,3.26671814240497,3.22191970126858,3.26962555844567,3.23258536965729,3.28650557966112,3.28419054197157,3.29731517172384,3.28780264195167,3.29185075416182,3.21068001528925,3.32682980537288
"735",3.12852314245899,3.16092756411406,3.22149773343973,3.21374554303261,3.46481182336556,3.11464039600388,3.0251095091767,3.27340281068519,3.17485564719035,3.27464590466011,3.29808191783735,3.24700948686621,3.21034642558474,3.39458703641517,3.14464470666548,3.40084197185076,3.2509292164384,3.27688567103742,3.33159829778942,3.33733068957125,3.32757214677231,3.12292089881983,3.20437553762007,3.22903517988976,3.23791859873369,3.30705835449153,3.34258931787716,3.20011921439058,3.17697884894893
"736",3.4718403852915,3.44236689108154,3.04128458025686,3.53179968239455,3.42315495054927,3.36191597579748,3.25808615109653,3.19690203570144,2.75185444775447,3.24609106439476,3.24749209939226,2.96998602572985,2.72296244019174,3.03804033062094,3.39102445890882,3.32461484081582,3.58727910490443,3.52079428008605,3.07187290493848,3.27024732908094,2.98993036750914,2.98363772450319,3.17561015564324,3.27833360377735,3.4509484876279,3.33770524447737,2.71421115405336,3.40210710772895,2.96964746037304
