"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","School Closure",0.95,0.9,"mean",-0.0163949948078399,-0.0163886466387705,0.00650650588790048,0.0772558310637526,0.112399851164216,"First Intervention"
"2","Self Isolation",0.95,0.9,"mean",-0.0163951749665309,-0.0163888588100027,0.0292463482890022,0.197379898350423,0.246748392029597,"First Intervention"
"3","Public Events",0.95,0.9,"mean",-0.0163952784956071,-0.0163912196791924,0.00323766093191884,0.0657563402655513,0.098826439776,"First Intervention"
"4","Lockdown",0.95,0.9,"mean",0.701513401844058,0.725647827043734,0.789825966767409,0.826070906916082,0.831629948166017,"First Intervention"
"5","Social distancing",0.95,0.9,"mean",-0.0163952843136571,-0.0163881699335169,0.025093154427418,0.182731615530972,0.234235709491948,"First Intervention"
"6","School Closure",0.95,0.9,"mean",-0.00816484597257312,-0.00816484386542581,0.00540644326766399,0.0660242383374836,0.0950475306171805,"Later Intervention"
"7","Self Isolation",0.95,0.9,"mean",-0.00816484602289998,-0.00816484365713654,0.0281491577293616,0.194410988239932,0.245912740972987,"Later Intervention"
"8","Public Events",0.95,0.9,"mean",-0.00816484603225619,-0.00816484501192284,0.00214397736252576,0.0456907673203344,0.0788275816414195,"Later Intervention"
"9","Lockdown",0.95,0.9,"mean",0.702488228913809,0.72585802070064,0.789499676748062,0.826520076605956,0.83164104391813,"Later Intervention"
"10","Social distancing",0.95,0.9,"mean",-0.00816484603230207,-0.00816484490118932,0.0240342542046467,0.179487983474334,0.23556423450811,"Later Intervention"
