"","Bretagne","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","France-hopitaux","France-OC19","Denmark","Italy","Germany","Spain","United_Kingdom","France","Belgium","Austria","Sweden","Switzerland","Greece","Portugal","Netherlands"
"1",3.33036012888274,2.75200439331912,3.05256193055684,2.06877472853629,3.15242064863077,3.52853205022011,2.70218557461872,3.20228341789683,3.72628519296602,3.64430510730248,3.86591461153434,3.78754306910805,3.4815218365942,3.27925348580369,3.8074245550748,3.40318719240632,2.98684478922663,2.33303069305826,2.734042667817,4.37146823966488,3.32104428787432,4.27390072039323,3.33049156443196
"2",2.99603607776725,3.30952885582568,3.97439673447981,1.90053704336615,3.19967149544846,3.43894547908663,3.12103597645812,4.16515711675627,3.30881499237148,3.18148408897923,3.85679191410064,3.96104787482228,2.74772416152727,5.36655746772541,3.22659565298041,3.3802194426725,2.56514561726839,3.42914504261173,3.55588056337171,4.20988912150151,2.78128722758873,2.46699316052036,3.99302628663845
"3",3.14956074377332,3.16926996675895,3.55085177853465,3.12460573782657,3.42178192526718,3.10519344440677,2.99780354436892,3.30667696542532,3.17732764039972,3.5709396071589,3.4866192719929,3.54694598823043,3.47383336534454,3.72439079379664,3.21619970312473,3.25885116291471,3.7088404407811,3.45194821044959,2.85862061180197,3.12543593622202,2.96846370645384,3.57356234923111,3.73080541477903
"4",2.83203266377486,3.14135336295397,3.07965066065357,2.8170391900083,3.2694119158996,3.33621928751988,3.18214822120268,2.98679127715242,3.26999986463789,3.68147364866806,3.27864757866267,3.36933082608711,3.76569494554669,3.3488643009542,3.49621107947558,3.14627463568759,3.88327312498454,3.3526204388228,3.58410777429581,3.09281260202263,3.27638726205026,3.69591277312019,3.20135886435003
"5",3.84485356724813,2.97657269783548,3.4131746493288,2.46399387878511,3.19938511751949,3.46473933540589,3.07215036855918,2.44762300135375,3.4728308960709,3.62007866998583,3.28009930410468,3.73203794267831,3.55223786680018,3.77463349739427,3.05062425726244,3.90393510913289,3.32225326527129,3.0094862480428,3.38472156634887,3.08899784139387,2.97037369323163,2.621974508874,3.55162183979029
"6",3.56124076427011,3.45095549175752,3.46364354827436,3.26709885699253,2.91612515495737,3.23723150188672,3.10167844834609,3.28339304460095,3.37494883607763,3.26650004962712,2.95689689115307,3.27230968821129,3.09017686682485,3.33149161022056,3.30899599006748,3.19927226861265,3.27553787781242,3.34330993062873,3.23553987078695,3.15323747226245,3.2315739431934,3.1676446508248,3.44654702625209
"7",3.17995838737946,2.65292790763466,3.38257115985496,2.89849273824111,3.60074592638748,3.43782466524271,3.39679377643276,2.65868911326349,3.49527770287514,3.40516526485115,3.22601697292533,3.60080211306279,3.49248294314781,3.8429520860406,3.38212667922465,3.59310458570106,3.23801428335987,3.73545046149471,3.00591622607767,3.41161189247347,3.10921021588119,2.87480304542745,3.54093031631462
"8",3.28158143462234,3.07234197996361,3.57865821617168,3.01785827148828,3.31763953725178,3.60836619409578,2.7511290203181,3.14672505629687,3.15368927037445,3.65738483643789,3.11951879621691,3.45753712391786,3.4547804349967,3.38530545663497,3.72642064404848,3.2604407122139,3.19370238286847,3.11504060086065,3.26796280106142,3.30289211900085,2.95094503086453,2.52783034251997,3.51728489560968
"9",3.09717748669845,3.4722270234215,2.71374116899287,2.5768699755053,3.54518623952358,3.56758004271824,2.80786457885247,3.89621912016322,3.77371089203071,3.74693910739861,3.27299645235668,3.83820510778035,3.98608868542441,3.79052327044243,3.83371381700329,2.99784479907444,3.70756100683615,3.05775065733075,3.49281304167551,2.98431663336827,2.90480709916232,3.37421530409014,3.21907962166772
"10",3.89121131765918,2.60015852739447,3.65594452172075,2.25550639877366,2.99912818131578,3.74079080285759,3.19984279830923,3.63231864294541,3.36236380533199,3.5356317471951,4.24509454934095,4.1024231340925,4.17058145646619,4.62070286068517,3.58687814463379,4.30073786691951,3.17435469668581,3.69680640443185,3.37207634593426,2.78889511936659,3.55083673607107,3.23990335041183,3.86066847914543
"11",2.30830387410445,2.17356917883355,3.37805389494032,1.56386927677236,3.07088048529607,4.1760290762245,3.36106186591088,3.39500484560519,3.98591304043634,4.27432375994248,5.17108683586431,3.64251857233697,4.46450120253554,4.83703178623413,4.18977767211472,3.23541817387938,3.59725699055118,3.43807954699608,4.16083419068658,3.29936925359726,2.92175812522609,3.2003318991028,3.73352456107268
"12",2.62705096068586,3.46598054556322,3.46809962478782,2.26435876555619,3.45034636944925,3.38654283071706,2.51091604454487,3.09801994941796,3.26556351749435,3.30135831029617,3.54359438077134,3.65674008170873,3.72170149571469,3.69609698929293,3.56657286282729,3.03352958470362,3.79534542109324,3.25551475486784,3.56070546899277,3.49432476862417,3.26581291154172,3.07658277710858,3.35601486152687
"13",2.59679116588262,3.82329192524899,3.17009956666575,2.22500821676557,3.24283875317064,3.00300206527198,2.80431145714376,2.94720598018132,3.50177960541441,3.86832077820142,3.90533445767372,3.3676551291685,4.27091090654022,3.89271029018369,2.59833322105302,3.34579082769799,3.28724464588065,3.65791034513422,3.21306165157673,3.68861545872219,3.11030628095557,3.77678555760269,3.61741191363565
"14",3.01725230522867,3.26016389214927,3.66615798262787,2.54004201232928,3.68913179230304,3.00377855107523,2.52160068066228,4.03780359748289,3.91636998845194,3.81199713762308,3.27496321724668,4.02873029338338,4.0861179754385,4.14122502488745,3.42434313354725,4.05308808606715,4.03904155944858,4.01461105925077,3.18297099453307,3.41255982093491,3.27068230726912,3.85286425032945,3.93928804446315
