"","time","country","estimated_deaths_forecast","estimated_deaths_forecast_min","estimated_deaths_forecast_max","rt","rt_min","rt_max"
"45",2020-05-07,"Bretagne",4063.05008350709,0.55986675279656,26260.7347645649,1.21960360333042,0.0770640043898368,1.93564217275079
"46",2020-05-08,"Bretagne",4386.41328646979,0.498896981916522,27114.9542557687,1.19267600541518,0.0737377603830205,1.90651584879966
"47",2020-05-09,"Bretagne",4709.28420400257,0.446024377929873,27745.1086346976,1.1665887030678,0.0702811942091403,1.87708884266684
"48",2020-05-10,"Bretagne",5028.59648675854,0.400107403624344,28004.446621572,1.14133052716307,0.0679930544722747,1.8554305295862
"49",2020-05-11,"Bretagne",5341.33798664935,0.354748342111882,28416.2868540047,1.11688591076074,0.0661618821297301,1.83298785097486
"50",2020-05-12,"Bretagne",5644.6274298763,0.314043545600141,28596.1068118511,1.09323721318673,0.0641972228381392,1.81401808112621
"51",2020-05-13,"Bretagne",5935.7821423032,0.278499621471749,28579.6402696881,1.07036635126906,0.0636260062398606,1.79284294857809
"52",2020-05-14,"Bretagne",6212.3729622612,0.245444319236413,28292.3858959361,1.04825577967757,0.0627187940100502,1.77395449929124
"53",2020-05-15,"Bretagne",6472.26582508587,0.21568403600143,28152.4889802305,1.02688893555111,0.0626794364242568,1.75099485188129
"54",2020-05-16,"Bretagne",6713.6498507848,0.189268822485474,28075.158999,1.00625029596853,0.0626657014488642,1.73031170394377
"55",2020-05-17,"Bretagne",6935.05450677086,0.167086291091876,27970.3953508228,0.986325195850302,0.0626568465585399,1.7114416871672
"56",2020-05-18,"Bretagne",7135.3556099,0.149962422131097,27915.5340190064,0.967099530004222,0.0626514514084676,1.69097341460677
"57",2020-05-19,"Bretagne",7313.77113879946,0.134414502056651,27671.5706028814,0.948559428567537,0.0626472767769894,1.67598055038113
"58",2020-05-20,"Bretagne",7469.84645709956,0.118981581433586,27505.3220700142,0.930690960519072,0.0623040732554884,1.65910612665001
"59",2020-05-21,"Bretagne",7603.4297505905,0.108212803381026,27219.6209172604,0.913479892145909,0.0620245359403957,1.64105797576315
"60",2020-05-22,"Bretagne",7714.6408533903,0.0956708264550436,26826.5183124909,0.89691150901239,0.0618080216106761,1.62683827580869
"61",2020-05-23,"Bretagne",7803.83697625217,0.0866619464410623,26324.5131603018,0.880970500196435,0.0616403572284066,1.61377200443794
"62",2020-05-24,"Bretagne",7871.57791512136,0.0778949264999426,25862.4803160791,0.865640899539184,0.061510549661454,1.60083707231808
"63",2020-05-25,"Bretagne",7918.59288329385,0.0693949407838219,25635.9249287832,0.850906077446703,0.0614100723635814,1.58826581702596
"64",2020-05-26,"Bretagne",7945.74910270724,0.0610002656459168,25203.0487105679,0.836748776347609,0.0613323131307157,1.57231538484418
"65",2020-05-27,"Bretagne",7954.02120472813,0.0537295239612341,24654.8209794331,0.823151182367444,0.0612721457205304,1.56115601674731
"66",2020-05-28,"Bretagne",7944.46187503616,0.0473023468491514,24175.4335875324,0.810095025098383,0.0612255971934246,1.54979152716456
"67",2020-05-29,"Bretagne",7918.17636962258,0.0413702629186915,24018.625860147,0.797561696850548,0.0611895894692144,1.5407944142724
