"","region","country","IFR"
"1","Bretagne","France",0.012556187488595
"2","Corse","France",0.012556187488595
"3","Grand Est","France",0.012556187488595
"4","Hauts-de-France","France",0.012556187488595
"5","Normandie","France",0.012556187488595
"6","Nouvelle-Aquitaine","France",0.012556187488595
"7","Occitanie","France",0.012556187488595
"8","Pays de la Loire","France",0.012556187488595
"9","France-hopitaux","France",0.012556187488595
"10","France-OC19","France",0.012556187488595
"11","Denmark","Denmark",0.0102074697882139
"12","Italy","Italy",0.0124496263593357
"13","Germany","Germany",0.0123324426034139
"14","Spain","Spain",0.0107838730158524
"15","United_Kingdom","United_Kingdom",0.0103504384028517
"16","France","France",0.012556187488595
"17","Belgium","Belgium",0.0109598776668092
"18","Austria","Austria",0.0103882259256609
"19","Sweden","Sweden",0.0103110432111081
"20","Switzerland","Switzerland",0.0102134528252841
"21","Greece","Greece",0.0117992290838236
"22","Portugal","Portugal",0.0117258680881815
"23","Netherlands","Netherlands",0.010289760240957
