"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","global: residential",0.95,0.9,"mean",-1.35649967232522,-1.02864963725808,0.0126891413376419,0.612751942636866,0.675507424399036,"pooled"
"2","global: transit",0.95,0.9,"mean",-0.901927522778314,-0.636051218209981,0.15548845141289,0.65371006413883,0.70326789176047,"pooled"
"3","global: grocery",0.95,0.9,"mean",-1.27131710083463,-0.984583550156505,-0.0120385811924065,0.585551491597533,0.624626637552907,"pooled"
"4","global: parks",0.95,0.9,"mean",-0.813934080848866,-0.600119382030064,0.146606192834517,0.636121447676673,0.681419160758626,"pooled"
"5","global: retail",0.95,0.9,"mean",-0.934514991247744,-0.698670336746844,0.113473032004232,0.625406619310732,0.671086472938703,"pooled"
"6","global: workplace",0.95,0.9,"mean",-1.00963407573641,-0.68605279888062,0.137533522786877,0.643385551332192,0.686637884484774,"pooled"
"7","Auvergne-Rhône-Alpes: residential",0.95,0.9,"mean",-0.918746265152892,-0.57340684683883,-0.0504676505583929,0.384181425551838,0.476484902550845,"partial"
"8","Auvergne-Rhône-Alpes: transit",0.95,0.9,"mean",-0.985538838764182,-0.647909917930768,-0.046339309777816,0.406930041043022,0.531108522694464,"partial"
"9","Auvergne-Rhône-Alpes: grocery",0.95,0.9,"mean",-1.21877403495175,-0.772452585665658,-0.0873661649110298,0.398717250456485,0.5160325292398,"partial"
"10","Auvergne-Rhône-Alpes: parks",0.95,0.9,"mean",-1.34657115322176,-0.826624464964559,-0.119857985021941,0.325922464328611,0.407040727748601,"partial"
"11","Auvergne-Rhône-Alpes: retail",0.95,0.9,"mean",-1.00880730955323,-0.618921014545994,-0.0531081002189409,0.435787525940581,0.535970705485652,"partial"
"12","Auvergne-Rhône-Alpes: workplace",0.95,0.9,"mean",-0.898085343513478,-0.541236495606256,-0.0277838031865158,0.434625816054235,0.541589502133462,"partial"
"13","Bourgogne-Franche-Comté: residential",0.95,0.9,"mean",-0.95874526236113,-0.649460509653082,-0.0898522932013617,0.399101492164022,0.488601008348196,"partial"
"14","Bourgogne-Franche-Comté: transit",0.95,0.9,"mean",-0.957948799035942,-0.668277896796539,-0.0854725225446342,0.379841332389611,0.515357750714288,"partial"
"15","Bourgogne-Franche-Comté: grocery",0.95,0.9,"mean",-1.05733426913635,-0.678989441715378,-0.0568391309418975,0.4076233218786,0.52719716775914,"partial"
"16","Bourgogne-Franche-Comté: parks",0.95,0.9,"mean",-0.935066692508776,-0.658303224971284,-0.0491412040429792,0.364824163208871,0.459825884187296,"partial"
"17","Bourgogne-Franche-Comté: retail",0.95,0.9,"mean",-1.14643047019525,-0.747223105729456,-0.0886024661251639,0.37484473148402,0.51388199806643,"partial"
"18","Bourgogne-Franche-Comté: workplace",0.95,0.9,"mean",-0.875728929635683,-0.597367314933626,-0.0491773891396437,0.392797535323551,0.521741619008867,"partial"
"19","Bretagne: residential",0.95,0.9,"mean",-1.24305183367617,-0.676325366814268,-0.0779053332464855,0.382669735288945,0.501587791785776,"partial"
"20","Bretagne: transit",0.95,0.9,"mean",-1.1160605098805,-0.69541870789369,-0.0533404596362096,0.416886585141899,0.535330798380441,"partial"
"21","Bretagne: grocery",0.95,0.9,"mean",-1.03255791613549,-0.771184966534675,-0.0677044019728552,0.433948223536724,0.530413147420073,"partial"
"22","Bretagne: parks",0.95,0.9,"mean",-1.38045115148028,-0.926354859886891,-0.118533981526453,0.37971672941491,0.485657767100739,"partial"
"23","Bretagne: retail",0.95,0.9,"mean",-1.10029399970978,-0.65120637879601,-0.051758978434922,0.412841925485902,0.543325659054924,"partial"
"24","Bretagne: workplace",0.95,0.9,"mean",-0.98409803807266,-0.605540263752517,-0.0462014836497704,0.439340328804012,0.535950393808177,"partial"
"25","Corse: residential",0.95,0.9,"mean",-0.941296295512939,-0.635960469496144,-0.0533270215369618,0.401239508318699,0.506678062437514,"partial"
"26","Corse: transit",0.95,0.9,"mean",-0.996460371040686,-0.672973596700873,-0.0426422910695607,0.422049408710671,0.523666867068859,"partial"
"27","Corse: grocery",0.95,0.9,"mean",-0.99320902220543,-0.677318756597516,-0.0638793945697035,0.419398435066867,0.503815631862675,"partial"
"28","Corse: parks",0.95,0.9,"mean",-0.979619936992923,-0.613211456700685,-0.0530995494916139,0.400028949374981,0.528561876331674,"partial"
"29","Corse: retail",0.95,0.9,"mean",-1.05600016756242,-0.668581820052864,-0.0542324455237641,0.423122210749933,0.519522369276493,"partial"
