"","date","country","grocery.pharmacy","parks","residential","retail.recreation","transitstations","workplace","schools_universities","self_isolating_if_ill","public_events","lockdown","social_distancing_encouraged"
"1",2020-02-13,"Auvergne-Rhône-Alpes",0,0,0,0,0,0,0,0,0,0,0
"2",2020-02-14,"Auvergne-Rhône-Alpes",0,0,0,0,0,0,0,0,0,0,0
"3",2020-02-15,"Auvergne-Rhône-Alpes",-0.06,-0.53,-0.01,-0.05,-0.34,-0.02,0,0,0,0,0
"4",2020-02-16,"Auvergne-Rhône-Alpes",-0.15,-0.44,-0.01,-0.15,-0.18,-0.01,0,0,0,0,0
"5",2020-02-17,"Auvergne-Rhône-Alpes",-0.06,-0.22,0.02,-0.02,-0.05,-0.01,0,0,0,0,0
"6",2020-02-18,"Auvergne-Rhône-Alpes",-0.07,-0.56,0,-0.08,-0.08,-0.02,0,0,0,0,0
"7",2020-02-19,"Auvergne-Rhône-Alpes",-0.04,-0.19,0.01,0.01,-0.04,-0.01,0,0,0,0,0
"8",2020-02-20,"Auvergne-Rhône-Alpes",-0.06,-0.58,0,-0.06,-0.1,-0.01,0,0,0,0,0
"9",2020-02-21,"Auvergne-Rhône-Alpes",-0.06,-0.42,0,-0.07,-0.18,0,0,0,0,0,0
"10",2020-02-22,"Auvergne-Rhône-Alpes",-0.06,-0.63,-0.01,-0.01,-0.42,0,0,0,0,0,0
"11",2020-02-23,"Auvergne-Rhône-Alpes",-0.22,-1.01,-0.03,-0.25,-0.29,-0.03,0,0,0,0,0
"12",2020-02-24,"Auvergne-Rhône-Alpes",-0.09,-1.07,0.03,-0.14,-0.06,0.18,0,0,0,0,0
"13",2020-02-25,"Auvergne-Rhône-Alpes",-0.07,-0.45,0.04,-0.06,-0.01,0.18,0,0,0,0,0
"14",2020-02-26,"Auvergne-Rhône-Alpes",-0.01,-0.15,0.03,0.02,0.03,0.15,0,0,0,0,0
"15",2020-02-27,"Auvergne-Rhône-Alpes",-0.03,-0.08,0.05,0.02,0.07,0.19,0,0,0,0,0
"16",2020-02-28,"Auvergne-Rhône-Alpes",-0.05,-0.43,0.04,-0.04,-0.02,0.19,0,0,0,0,0
"17",2020-02-29,"Auvergne-Rhône-Alpes",0.01,0.12,0.01,0.12,-0.08,0.05,0,0,0,0,0
"18",2020-03-01,"Auvergne-Rhône-Alpes",-0.09,-0.08,-0.02,-0.06,-0.09,-0.03,0,0,0,0,0
"19",2020-03-02,"Auvergne-Rhône-Alpes",0,0.16,0.06,0.06,0.15,0.23,0,0,0,0,0
"20",2020-03-03,"Auvergne-Rhône-Alpes",-0.04,-0.28,0.05,-0.01,0.09,0.2,0,0,0,0,0
"21",2020-03-04,"Auvergne-Rhône-Alpes",0,-0.22,0.03,0.03,0.08,0.17,0,0,0,0,0
