"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19","Denmark","Italy","Germany","Spain","United_Kingdom","France","Belgium","Austria","Sweden","Switzerland","Greece","Portugal","Netherlands"
"1",3.64915045548612,3.65077365078506,3.33228579713671,3.01079377112944,3.44098698355047,2.61117899911185,3.56995724464041,2.79814067201911,3.66264996836741,3.56396826227716,4.03022972539024,3.06051381433489,3.58614274083711,3.14221768979981,3.31077190072098,3.68693620798832,3.6854047593998,3.40727744931766,2.94386249996819,3.30602987666511,3.02432945490085,2.98362010133487,3.59851405794405,2.95985310045538,3.92072994626368,2.43680962470454,2.83044332670001
"2",3.08949420880689,3.14674113439075,2.59310531286139,3.42359683295213,3.57877371711414,2.73272732292474,3.07887433926521,3.48743899419399,2.84923997307509,3.40402991413816,3.2065658273859,2.99832731902294,3.87569159670053,3.62969677320237,4.19002339769982,3.79900996434775,4.31388219878241,4.32180946107811,3.82556658520069,3.47473084217584,3.21913947612308,3.13024176488039,3.31053372665341,3.0722757096552,2.99725463582111,3.21028191356318,3.51166294369947
"3",3.24026148447963,3.26041664073794,3.29848793412399,3.16741559297464,3.48295344274733,3.09698046218303,3.17452242172916,3.22787306100919,2.9526070739801,3.11985802127318,3.09826113287768,3.46449995378239,3.41373839734325,3.29527174132001,3.2006633279743,3.45418428238047,3.57176407920037,3.69210938577198,3.30480249274024,3.31490221508813,3.34218290836635,3.42977190514988,3.18460179207754,3.36225836904997,3.23599270489847,2.8584208071128,3.25974742182934
"4",3.23988461316621,3.09238141667952,3.23396411030551,3.1120768953915,3.3189194393981,2.92388432168082,3.03438434526024,3.32398108647561,3.25738080406925,3.2326064141743,3.09265658764426,3.45159349505586,3.40171272207454,3.15394306706647,2.94835904868048,3.43946277005524,3.09206971076668,3.30228150426655,3.61765221106796,3.23640103727296,3.06363775147497,3.23959677609877,3.35494805088593,2.94434216206661,3.05756119302634,3.48644518293651,3.54419878695653
"5",2.53872842408245,3.6022577682037,3.48710458041322,3.32402240896712,2.74125415088544,2.65783565138648,3.24098436144327,2.89368193822023,2.90516395846491,3.1530300881352,3.06347296448008,3.42990811357954,3.36338830470825,3.56683444920053,3.34421139458246,3.80655980036624,3.47365158630346,4.22238774084574,3.14816619829279,4.17958151670684,3.718090266899,4.49652258487927,2.72450485683209,3.11058158634331,3.04747247782584,3.15322280574559,2.77600142880014
"6",3.24688332616209,3.39961475098319,3.36607582038422,3.27125532204886,3.37573173755786,3.00975521173453,3.46134270777903,3.47106306933637,3.42451009046154,3.13098472197622,3.23413824192292,3.24167783011347,3.54870488976478,3.40905450948316,3.37620318698514,3.32403646750904,3.19582102666362,3.37512714266735,3.1872944322598,3.18292530149795,3.03775962209513,3.81000527817022,3.42287285856533,3.17599283451574,3.5323497962606,3.58419150620176,3.45185285176996
"7",3.1670105900229,2.83321246969533,3.24515751908935,3.42839237068976,3.21776463364364,2.81203823722664,2.44979814157755,3.36091162287875,3.433404287369,3.33349120021576,4.07727849729574,3.49974371154449,3.27867459794422,3.50892855857588,2.59383134719081,3.15038563568126,3.54661318126381,3.77262397182097,3.96037210499074,3.15721778537086,3.75657678972495,3.35758472343014,3.53427442045666,2.54173252754398,2.61655190637643,3.36551616335861,3.38098179487397
"8",2.53360904168242,3.42803816605661,3.08982927815034,3.73049214884403,3.74604697787057,2.38104089158077,3.60305319668819,3.09214481415288,2.58465932504095,2.90845898463661,3.76865043234675,2.86583442520209,4.22182579574462,3.19827903278852,3.47328209070948,3.78389036719289,3.79056983750523,3.66678026797769,3.66577193943716,3.34049309247119,3.67475434039173,3.62519394938132,2.82727002021571,3.39250760514728,3.29539145601634,4.15623550660231,3.12575386419287
"9",3.03908660716882,3.18775830257677,3.57695555359166,3.18527363976204,3.41889267267161,2.30731257872551,3.44207650514782,3.53704951073061,3.77589731908859,3.30197173714152,3.30893971701578,3.51353840918046,3.51644252562579,3.07777596629601,3.33974705078722,3.45176076124495,3.59086339774068,3.59723412747198,4.09089064650173,3.14698009528102,3.03520724402319,3.2513077733363,3.11414756128123,2.9226365209467,4.04387775933213,3.52296447602839,3.56492108591836
"10",2.89377294561828,3.37260435754482,3.12347062596454,3.43596210649665,3.80866724664637,2.95046863905703,3.48384730351979,3.32395905518863,3.16348818679409,3.16735406388166,3.66662365212479,3.59894149081272,3.67933195441129,3.35566309915951,3.16871676105875,3.80358800166502,3.51339883665588,3.59692223728065,3.61712068722199,3.1523263956874,3.29440385535638,3.22582817469981,3.64499831845951,3.28355276641636,3.32550257061337,3.82273966415879,3.03656614960364
"11",3.40391925572216,3.33378102921566,2.98997969368054,2.8955785513575,3.62242475232898,2.60550091432824,3.72361973274243,3.52510277801526,3.1790465915195,2.95097969002273,3.4879437337231,3.75098759127086,3.35632856297998,3.53722010343988,3.09679121768076,3.83904444200313,3.49994279262016,3.39133228859676,3.15431213927814,3.56418521926442,3.38349655062953,3.18623457858326,3.34336736083804,2.79641276876606,3.04701401623958,3.26098749462161,3.18767478739975
"12",3.12481908201335,2.88559435135748,2.90746591866291,3.41056560745618,4.27493081254194,2.2183293329114,2.82394546499465,2.86368837299311,3.03031517441866,3.37164152047402,3.36669507506108,4.07152155323652,3.46506518514566,3.40957970730248,2.56628897116463,3.17568592832222,3.71958548779571,3.41289210431943,3.93309286097042,2.92312496738989,2.98320317655735,2.66064309033851,2.75506511009101,3.2807776843599,3.27085636297948,3.52179166277559,4.48990024389363
"13",3.48048511624875,3.47800127874838,2.96448105677792,3.16860737994348,3.27955629311887,3.68293978059113,3.01761220675903,2.98958771052663,3.0074579041548,3.21959759035761,3.24580556240636,3.61860269259038,3.67728036000198,3.2200373915751,3.13599153116293,3.3936567845004,3.63161352292372,3.465694081924,3.44759705938453,3.29790578233536,3.18568521497864,3.33591066321289,3.36216609680879,3.3517949940658,3.28454310426269,3.18365594446803,3.81917171756651
"14",3.0372436126942,3.25610916165322,2.89517706422786,3.34482485800463,3.44309768362456,2.66964606375303,3.34982124781837,3.36467373170068,3.46296282152986,3.20540339779338,3.12206689926441,3.35302599942947,3.62241517596746,3.41612903269225,2.82148250693323,3.35212345875393,3.48889607900656,3.66279022903482,3.49098130555058,3.66953104953678,3.16978682950274,3.0784840632128,3.05446218368719,3.33627514836427,2.72509228955337,3.3302240391755,3.19702448404297
"15",3.4924384152946,3.61831551885338,1.85669352612868,3.34664916308159,2.92581008583989,2.66573365219906,3.21805576075665,3.27004717941546,3.03499724127271,3.59334576093657,3.49905435821994,3.82008154720783,3.36435721471162,3.32174988315993,3.40912075580461,3.56964494439551,3.43542709205171,3.84716435656296,3.47069100907681,2.92900237393708,2.85676298845726,2.94089889832861,2.77416817401278,2.80194744781752,2.78852419122532,2.97416725354174,3.12800303824082
"16",2.88609031935372,3.37555748301487,2.94965412143503,3.27467904149479,3.28150507119933,2.69202829080107,3.53858788729552,3.16204692874302,2.91084853959304,3.53973721077297,3.22528838303231,3.2444151829961,3.67591600123023,3.27949941349717,3.39198658721164,3.35389834249859,3.74891112924215,3.70610869675635,3.51826488046793,3.43286274337832,3.56427819794386,3.13924325667699,2.84782716100276,2.97492702098561,2.98881056921963,3.10959605439768,3.50203780755432
"17",3.03771841300227,3.10570867832185,3.526254374697,3.21304339527745,3.30836597142474,2.93822948483183,3.50186503652894,3.14249389167685,3.21179158775083,3.42153811870423,3.46425853349575,3.50024931372442,3.32844397325741,3.35382649052073,3.37067435074262,3.45064351830234,3.19200540872336,3.39471792058064,3.19900765599417,3.517496575683,3.60524635068114,3.41567476422881,3.16606722292167,3.00735230892586,3.43175747949275,3.3420740815021,3.41231649852047
