"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","global: residential",0.95,0.9,"mean",-1.05831036567558,-0.874742575248635,-0.0225349208895587,0.495759043659702,0.559349773792493,"pooled"
"2","global: transit",0.95,0.9,"mean",0.317781004489451,0.390913725529454,0.657828906176236,0.837853010237813,0.852433303295736,"pooled"
"3","global: grocery",0.95,0.9,"mean",0.00371525799650252,0.0818711230752133,0.440077238777028,0.691855082252963,0.720333030965072,"pooled"
"4","global: parks",0.95,0.9,"mean",-2.87830659857998,-2.66449757495097,-1.81672840732854,-1.08053986318715,-0.979970990286588,"pooled"
"5","global: retail",0.95,0.9,"mean",-0.134330347361024,0.00641505363758365,0.43143843047044,0.709980085914782,0.740770333546824,"pooled"
"6","global: workplace",0.95,0.9,"mean",-0.0145421415955131,0.143735279410561,0.511394023607336,0.769665468236492,0.797907403061091,"pooled"
"7","Denmark: transit",0.95,0.9,"mean",-4.1688788892469,-3.37522218496403,-1.19422792203439,0.182998849903807,0.303169169777917,"partial"
"8","Denmark: retail",0.95,0.9,"mean",-4.53375976371998,-3.33561198993545,-1.18515618343148,0.211655176614149,0.334592458163957,"partial"
"9","Italy: transit",0.95,0.9,"mean",-0.179282127375311,-0.0472337448768643,0.458466533136763,0.812500557318218,0.858619951171093,"partial"
"10","Italy: retail",0.95,0.9,"mean",-1.2116022614602,-0.835739162229208,0.0406768063220619,0.583991354149103,0.635815540066385,"partial"
"11","Germany: transit",0.95,0.9,"mean",-2.82948371644248,-2.03934627358012,-0.511570090908921,0.372318587008692,0.448473475985421,"partial"
"12","Germany: retail",0.95,0.9,"mean",-0.727731668363646,-0.514577477798882,0.216715906392326,0.708779192090486,0.767883193850333,"partial"
"13","Spain: transit",0.95,0.9,"mean",-0.711952953430286,-0.456260395225505,0.267028376623365,0.727159898433407,0.776158591990153,"partial"
"14","Spain: retail",0.95,0.9,"mean",-0.750347292328413,-0.512526202758655,0.203888815304978,0.672446896509792,0.743025542384991,"partial"
"15","United_Kingdom: transit",0.95,0.9,"mean",-0.942249092627976,-0.607776529824539,0.168061379527282,0.688024216157503,0.743091685357966,"partial"
"16","United_Kingdom: retail",0.95,0.9,"mean",-0.763917964045089,-0.521431553577571,0.179950760745798,0.664586136216962,0.717298484900556,"partial"
"17","France: transit",0.95,0.9,"mean",-0.365491729033695,-0.158919179211997,0.383788803814662,0.766237791416244,0.808501240527793,"partial"
"18","France: retail",0.95,0.9,"mean",-0.478289151851459,-0.264833823482195,0.342264296550245,0.733721100714768,0.787637382760445,"partial"
"19","Norway: transit",0.95,0.9,"mean",-1.67451444546162,-1.32446228892932,-0.201583369046405,0.534826613339894,0.609913782888983,"partial"
"20","Norway: retail",0.95,0.9,"mean",-3.91394971565977,-3.09989269616208,-0.914275788117755,0.299828192376403,0.397981231907315,"partial"
"21","Belgium: transit",0.95,0.9,"mean",-1.01912907765884,-0.731966878512049,0.104621540009017,0.675077232977137,0.725141484225528,"partial"
"22","Belgium: retail",0.95,0.9,"mean",-1.83736909488501,-1.39646209058136,-0.184102520520157,0.534212479906447,0.594947238117003,"partial"
"23","Austria: transit",0.95,0.9,"mean",-1.25418667025127,-0.946648941644958,-0.0197671280633065,0.614933157578327,0.66886996194117,"partial"
"24","Austria: retail",0.95,0.9,"mean",-1.32469436451353,-0.996883468159371,-0.0103819544757998,0.618620907482469,0.678905589973014,"partial"
"25","Sweden: transit",0.95,0.9,"mean",-2.40004480893585,-1.95757690601042,-0.576771294418602,0.313924461725775,0.430098855132773,"partial"
"26","Sweden: retail",0.95,0.9,"mean",-3.81857813435483,-2.9138399425322,-0.996543481011818,0.170226111797606,0.294839973790283,"partial"
"27","Switzerland: transit",0.95,0.9,"mean",-0.831746847360812,-0.538783497609983,0.257668535979349,0.759390366581878,0.808659969079932,"partial"
"28","Switzerland: retail",0.95,0.9,"mean",-0.358742952249046,-0.165820242329499,0.344817396354854,0.712465471616626,0.756224930393788,"partial"
"29","Greece: transit",0.95,0.9,"mean",-2.08427309969986,-1.60951873254236,-0.304932741780197,0.529758859267162,0.651101721456751,"partial"
"30","Greece: retail",0.95,0.9,"mean",-2.39737643902702,-1.68485895833691,-0.32584503473888,0.521831128396547,0.606002242308142,"partial"
"31","Portugal: transit",0.95,0.9,"mean",-2.02786256859941,-1.59215858850529,-0.293731029470215,0.468087000943636,0.565168131587159,"partial"
"32","Portugal: retail",0.95,0.9,"mean",-1.45295931915319,-1.10524688509822,-0.0577382369802787,0.613169579302015,0.711215046685374,"partial"
"33","Netherlands: transit",0.95,0.9,"mean",-0.175524070632911,0.0112337082259243,0.456200042396311,0.768371924035302,0.80377726224467,"partial"
"34","Netherlands: retail",0.95,0.9,"mean",-0.810050125088732,-0.451971143439963,0.279830667077301,0.750325160054113,0.788768204345156,"partial"
