"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19","France-EHPAD"
"1",0.596480109682257,0.519572222372608,0.516434182775386,0.7659730764124,0.172402443062885,0.415726494763928,0.615165235627295,0.53972282112951,0.539479473942452,0.675697417850589,0.55025667576403,0.771872639694626,0.489078595744102,0.610603713145668,0.645116183371649,0.406596218992785
"2",0.565621801774952,0.427938222179983,0.388920063003014,0.516109046155396,0.270637024269478,0.401286758286733,0.585908533176849,0.50329717950149,0.530804461012972,0.598112921887266,0.459982215999663,0.661378120333706,0.487864040470695,0.592692537759695,0.487166985270177,0.364120520873097
"3",0.546017473035238,0.464855956393686,0.491791606039606,0.538012057893344,0.370343589511294,0.464504853273255,0.566753495894928,0.499378493542025,0.60097520112708,0.659183495082869,0.468655726177608,0.770208112606576,0.497102657062856,0.413699596275461,0.67551906457436,0.465532338521149
"4",0.624958989578463,0.461677185700296,0.520334377141676,0.631902256867527,0.367627556815127,0.453842038088189,0.642010927884057,0.486527803579739,0.5138886711957,0.689405487373513,0.510930129789536,0.859784485595673,0.636688756543868,0.531103011420639,0.547668075546119,0.414214157729659
"5",0.558920375616663,0.509907680723289,0.656175339935842,0.676890416577016,0.401318660658616,0.56856987443702,0.637290033321828,0.696958767151426,0.448386716861641,0.530271584583204,0.564985189242362,0.796929270698766,0.578484592255347,0.583464754491713,0.64631563312601,0.373064142842822
"6",0.56106311001078,0.430465652558632,0.413705740022709,0.545299240188366,0.3077514585549,0.384852576612181,0.730052878287184,0.504596220558856,0.531944990074442,0.604540890946104,0.545170966760719,0.642369385170615,0.530859101955094,0.458555154313746,0.60199756886417,0.269890276419704
"7",0.605556117419529,0.651061550912934,0.565936184941548,0.824896912710408,0.226874332763655,0.493502781467348,0.738262806518044,0.642282054658197,0.650122873735288,0.706881628510277,0.656485949565976,0.665247450460895,0.515605576977099,0.582452280252209,0.526958208997853,0.336472935644954
"8",0.579751826163009,0.429129400714024,0.49462202728478,0.56536479043536,0.328205545329942,0.524711227521091,0.649588803660508,0.476732506855688,0.54372932600807,0.606946061231288,0.758468421600425,0.712121669207223,0.545887326531269,0.517446874380485,0.679049363585537,0.518791686250099
"9",0.572298142246815,0.500449642025588,0.364620501349382,0.591041681194488,0.236624432453285,0.376692537029357,0.588171433098275,0.489930346073412,0.583105832111402,0.580227843427529,0.460944113266596,0.763677693532875,0.479829194667096,0.541716016312709,0.619741018051816,0.411946360520461
"10",0.718591923239132,0.398455262153246,0.376839933608936,0.71223344951835,0.463685476520297,0.42631854841908,0.636996910884816,0.322485308528845,0.498061573005507,0.655433726643767,0.803372432086049,0.834058278512125,0.458459295864119,0.522147183020305,0.537748560362006,0.354417084509489
"11",0.576134830098363,0.452481898691929,0.462213785664203,0.54900224028436,0.441628902744013,0.471021971228665,0.578807963517732,0.631173978779297,0.533573526963838,0.562617500134172,0.51244624921673,0.804876740571785,0.477638987867263,0.607996032273644,0.590924738849539,0.372335214521606
"12",0.585551063458729,0.464784692460526,0.578960989527153,0.574470036980516,0.228565433929491,0.47540754432751,0.671120940921303,0.568358426716267,0.483282832688304,0.557903803648516,0.460702013625044,0.788832859158062,0.480380459465193,0.481332454381479,0.548023750461505,0.344265188753668
"13",0.693709179852602,0.47436740890944,0.502814834635637,0.713275304891017,0.446669983467618,0.431728757510963,0.637470616742001,0.545181607831581,0.681996919468324,0.66437623416608,0.570368943017059,0.897034631316608,0.533256348226857,0.532414960133492,0.650748414512009,0.380364716039488
"14",0.538769313302769,0.416584314854064,0.521064962200918,0.636612666144571,0.307611214164869,0.509106130557099,0.632925418963372,0.649357116331389,0.619532956394483,0.62313505346187,0.540916075721355,0.672781885343226,0.515725019454222,0.622164807512561,0.627606910072238,0.338631884078124
"15",0.55196714841316,0.466281331654894,0.441215947029053,0.534427987600533,0.241078327238598,0.425315678808551,0.598818330276815,0.460757111623167,0.590383052621192,0.582735342284294,0.682800366846344,0.760591717411054,0.541442998802985,0.489461071994425,0.588902766742541,0.259696494764153
"16",0.563634248894625,0.418575303113205,0.216394223532061,0.689337150085523,0.145905762208896,0.433216141191608,0.555080073910219,0.626451343085074,0.677363808365313,0.618417814309194,0.654861699331397,0.696392841754728,0.519877080973908,0.398714607252757,0.585449675141204,0.308886214355417
"17",0.66174884919453,0.431646985361368,0.575593651085581,0.65120536875602,0.430273599800923,0.516030738936183,0.658724117217479,0.544508695898278,0.581836208580335,0.695306710327845,0.787369301336289,0.706549198888205,0.633378148932799,0.561811107025848,0.612195905412061,0.500395619329766
"18",0.57739599093688,0.561237822661576,0.493511552601177,0.80161353332677,0.343038924608647,0.423763346949513,0.672811431533157,0.636417784488459,0.642374212954362,0.671282038372723,0.635232828373468,0.831456948141721,0.542268676318238,0.534696389416482,0.548241243209216,0.382468423431639
"19",0.677983411188306,0.612176659569977,0.511464360735736,0.594913775110256,0.158415427555027,0.445907984176475,0.625749300128374,0.566388601134115,0.641169868262963,0.761054045050132,0.676940564361525,0.772872788098036,0.454529598894261,0.575179731822917,0.468611352432636,0.28536382047803
"20",0.514238617535219,0.594468808258208,0.472441006702081,0.653270174933976,0.250118055087822,0.499151878850061,0.704006536332431,0.513754791620225,0.465752911725088,0.685428018514386,0.58279342381272,0.723244435229951,0.482517109926377,0.505216883822856,0.516924250339572,0.360005550122579
