"","key","value","x","country","region"
"89","lockdown",2020-03-17,4.3,"France","Doubs"
"90","social_distancing_encouraged",2020-03-16,4,"France","Doubs"
"91","schools_universities",2020-03-14,3.3,"France","Drôme"
"92","self_isolating_if_ill",2020-03-16,3.3,"France","Drôme"
"93","public_events",2020-03-13,3.3,"France","Drôme"
"94","lockdown",2020-03-17,3.3,"France","Drôme"
"95","social_distancing_encouraged",2020-03-16,3,"France","Drôme"
"96","schools_universities",2020-03-14,4.3,"France","Eure"
"97","self_isolating_if_ill",2020-03-16,4.3,"France","Eure"
"98","public_events",2020-03-13,4.3,"France","Eure"
"99","lockdown",2020-03-17,4.3,"France","Eure"
"100","social_distancing_encouraged",2020-03-16,4,"France","Eure"
"101","schools_universities",2020-03-14,5.3,"France","Eure-et-Loir"
"102","self_isolating_if_ill",2020-03-16,5.3,"France","Eure-et-Loir"
"103","public_events",2020-03-13,5.3,"France","Eure-et-Loir"
"104","lockdown",2020-03-17,5.3,"France","Eure-et-Loir"
"105","social_distancing_encouraged",2020-03-16,5,"France","Eure-et-Loir"
"106","schools_universities",2020-03-14,5.3,"France","Finistère"
"107","self_isolating_if_ill",2020-03-16,5.3,"France","Finistère"
"108","public_events",2020-03-13,5.3,"France","Finistère"
"109","lockdown",2020-03-17,5.3,"France","Finistère"
"110","social_distancing_encouraged",2020-03-16,5,"France","Finistère"
"111","schools_universities",2020-03-14,3.3,"France","Corse-du-Sud"
"112","self_isolating_if_ill",2020-03-16,3.3,"France","Corse-du-Sud"
"113","public_events",2020-03-13,3.3,"France","Corse-du-Sud"
"114","lockdown",2020-03-17,3.3,"France","Corse-du-Sud"
"115","social_distancing_encouraged",2020-03-16,3,"France","Corse-du-Sud"
"116","schools_universities",2020-03-14,5.3,"France","Gard"
"117","self_isolating_if_ill",2020-03-16,5.3,"France","Gard"
"118","public_events",2020-03-13,5.3,"France","Gard"
"119","lockdown",2020-03-17,5.3,"France","Gard"
"120","social_distancing_encouraged",2020-03-16,5,"France","Gard"
"121","schools_universities",2020-03-14,4.3,"France","Haute-Garonne"
"122","self_isolating_if_ill",2020-03-16,4.3,"France","Haute-Garonne"
"123","public_events",2020-03-13,4.3,"France","Haute-Garonne"
"124","lockdown",2020-03-17,4.3,"France","Haute-Garonne"
"125","social_distancing_encouraged",2020-03-16,4,"France","Haute-Garonne"
"126","schools_universities",2020-03-14,5.3,"France","Gers"
"127","self_isolating_if_ill",2020-03-16,5.3,"France","Gers"
"128","public_events",2020-03-13,5.3,"France","Gers"
"129","lockdown",2020-03-17,5.3,"France","Gers"
"130","social_distancing_encouraged",2020-03-16,5,"France","Gers"
"131","schools_universities",2020-03-14,4.3,"France","Gironde"
"132","self_isolating_if_ill",2020-03-16,4.3,"France","Gironde"
"133","public_events",2020-03-13,4.3,"France","Gironde"
"134","lockdown",2020-03-17,4.3,"France","Gironde"
"135","social_distancing_encouraged",2020-03-16,4,"France","Gironde"
"136","schools_universities",2020-03-14,3.3,"France","Hérault"
"137","self_isolating_if_ill",2020-03-16,3.3,"France","Hérault"
"138","public_events",2020-03-13,3.3,"France","Hérault"
"139","lockdown",2020-03-17,3.3,"France","Hérault"
"140","social_distancing_encouraged",2020-03-16,3,"France","Hérault"
"141","schools_universities",2020-03-14,4.3,"France","Ille-et-Vilaine"
"142","self_isolating_if_ill",2020-03-16,4.3,"France","Ille-et-Vilaine"
"143","public_events",2020-03-13,4.3,"France","Ille-et-Vilaine"
"144","lockdown",2020-03-17,4.3,"France","Ille-et-Vilaine"
"145","social_distancing_encouraged",2020-03-16,4,"France","Ille-et-Vilaine"
"146","schools_universities",2020-03-14,5.3,"France","Indre"
"147","self_isolating_if_ill",2020-03-16,5.3,"France","Indre"
"148","public_events",2020-03-13,5.3,"France","Indre"
"149","lockdown",2020-03-17,5.3,"France","Indre"
"150","social_distancing_encouraged",2020-03-16,5,"France","Indre"
"151","schools_universities",2020-03-14,4.3,"France","Indre-et-Loire"
"152","self_isolating_if_ill",2020-03-16,4.3,"France","Indre-et-Loire"
"153","public_events",2020-03-13,4.3,"France","Indre-et-Loire"
"154","lockdown",2020-03-17,4.3,"France","Indre-et-Loire"
"155","social_distancing_encouraged",2020-03-16,4,"France","Indre-et-Loire"
"156","schools_universities",2020-03-14,5.3,"France","Isère"
"157","self_isolating_if_ill",2020-03-16,5.3,"France","Isère"
"158","public_events",2020-03-13,5.3,"France","Isère"
"159","lockdown",2020-03-17,5.3,"France","Isère"
"160","social_distancing_encouraged",2020-03-16,5,"France","Isère"
"161","schools_universities",2020-03-14,4.3,"France","Jura"
"162","self_isolating_if_ill",2020-03-16,4.3,"France","Jura"
"163","public_events",2020-03-13,4.3,"France","Jura"
"164","lockdown",2020-03-17,4.3,"France","Jura"
"165","social_distancing_encouraged",2020-03-16,4,"France","Jura"
"166","schools_universities",2020-03-14,5.3,"France","Landes"
"167","self_isolating_if_ill",2020-03-16,5.3,"France","Landes"
"168","public_events",2020-03-13,5.3,"France","Landes"
"169","lockdown",2020-03-17,5.3,"France","Landes"
"170","social_distancing_encouraged",2020-03-16,5,"France","Landes"
"171","schools_universities",2020-03-14,4.3,"France","Loir-et-Cher"
"172","self_isolating_if_ill",2020-03-16,4.3,"France","Loir-et-Cher"
"173","public_events",2020-03-13,4.3,"France","Loir-et-Cher"
"174","lockdown",2020-03-17,4.3,"France","Loir-et-Cher"
"175","social_distancing_encouraged",2020-03-16,4,"France","Loir-et-Cher"
"176","schools_universities",2020-03-14,4.3,"France","Loire"
"177","self_isolating_if_ill",2020-03-16,4.3,"France","Loire"
"178","public_events",2020-03-13,4.3,"France","Loire"
"179","lockdown",2020-03-17,4.3,"France","Loire"
"180","social_distancing_encouraged",2020-03-16,4,"France","Loire"
"181","schools_universities",2020-03-14,4.3,"France","Loire-Atlantique"
"182","self_isolating_if_ill",2020-03-16,4.3,"France","Loire-Atlantique"
"183","public_events",2020-03-13,4.3,"France","Loire-Atlantique"
"184","lockdown",2020-03-17,4.3,"France","Loire-Atlantique"
"185","social_distancing_encouraged",2020-03-16,4,"France","Loire-Atlantique"
"186","schools_universities",2020-03-14,4.3,"France","Loiret"
"187","self_isolating_if_ill",2020-03-16,4.3,"France","Loiret"
"188","public_events",2020-03-13,4.3,"France","Loiret"
"189","lockdown",2020-03-17,4.3,"France","Loiret"
"190","social_distancing_encouraged",2020-03-16,4,"France","Loiret"
"191","schools_universities",2020-03-14,1.3,"France","Lot"
"192","self_isolating_if_ill",2020-03-16,1.3,"France","Lot"
"193","public_events",2020-03-13,1.3,"France","Lot"
"194","lockdown",2020-03-17,1.3,"France","Lot"
"195","social_distancing_encouraged",2020-03-16,1,"France","Lot"
"196","schools_universities",2020-03-14,5.3,"France","Maine-et-Loire"
"197","self_isolating_if_ill",2020-03-16,5.3,"France","Maine-et-Loire"
"198","public_events",2020-03-13,5.3,"France","Maine-et-Loire"
"199","lockdown",2020-03-17,5.3,"France","Maine-et-Loire"
"200","social_distancing_encouraged",2020-03-16,5,"France","Maine-et-Loire"
"201","schools_universities",2020-03-14,4.3,"France","Manche"
"202","self_isolating_if_ill",2020-03-16,4.3,"France","Manche"
"203","public_events",2020-03-13,4.3,"France","Manche"
"204","lockdown",2020-03-17,4.3,"France","Manche"
"205","social_distancing_encouraged",2020-03-16,4,"France","Manche"
"206","schools_universities",2020-03-14,4.3,"France","Marne"
"207","self_isolating_if_ill",2020-03-16,4.3,"France","Marne"
"208","public_events",2020-03-13,4.3,"France","Marne"
