"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19","Denmark","Italy","Germany","Spain","United_Kingdom","France","Belgium","Austria","Sweden","Switzerland","Greece","Portugal","Netherlands"
"1",3.66230802455464,4.19049210437351,2.90485051377408,3.58144788616166,3.62434491793638,2.9036066546706,3.05990761657123,3.52759457258196,2.45144017586114,2.64340166657689,2.74477750497491,3.22776973108571,3.13992765221168,3.63367699187816,3.10850391383031,3.16066309306774,3.53706475042938,3.70289237146532,3.43428935306104,3.31475911608279,2.9893027933577,3.17411762942407,3.20380649813539,3.36963040765419,3.90520303514135,4.2167317653892,3.2151057186274
"2",3.16164563609823,3.13090865395187,3.32622914472012,3.81870286670921,3.56786680294118,2.4498418774274,3.04524257887067,3.12145670526285,2.41538830036292,3.83634939113887,2.78165767235555,3.37639219333458,3.54495506183628,3.39996330424772,3.81048029189656,3.10642730287772,2.92831489824153,4.20202925355836,4.20154749261815,3.96863771686015,3.68774323761162,3.77811829658009,3.17806142317077,2.64233119510462,2.66422016939055,4.13478973907457,2.78240621979016
"3",3.26718083649281,3.12082078271698,2.74338413443937,2.89094922464376,3.80660312284799,3.137878366714,2.27617315696061,3.43446608897272,2.84187170939268,3.11367388725524,3.46499156656036,3.76780964705297,3.88411855872845,3.19533168901594,3.22988743823994,4.23154817925955,4.13273597413863,3.54678149746204,3.60786416519995,3.44441279259109,3.15065652655096,3.1669821388349,3.03228281084725,3.55486653045136,3.00295818048887,4.00151807228782,3.2566842030742
"4",3.85729288189428,3.08400337656445,3.18136392138792,3.74348746153983,3.45994934862128,3.34431660748445,3.9533205279,2.89683951730533,3.21408938055153,3.2033731629716,3.27342701356874,4.23272868926885,3.88566718215857,3.25726332198345,3.70358241672391,3.64811370535518,4.0056003151396,4.10463287928325,4.08076129705503,4.05368944131786,3.93323253889888,3.153181596271,2.64206743853281,3.82220353905693,3.00821193445282,3.7023879520076,3.76948378867154
"5",3.03030902828792,3.6650881586492,3.43696537878204,2.7701612242977,3.24594328967847,3.20415598653968,3.03763229468915,3.25253973535632,3.3998659737634,3.31570253886127,3.36526523245877,3.47287480940511,3.55814963549939,3.54383548891816,3.29534852887627,3.55264037973123,3.3942751682874,3.81872603549953,2.87740225159649,3.24467768379842,3.03155724633592,3.42148375320045,3.0493144118606,3.02495943222252,2.93409877650107,3.13347439591624,3.34136630365758
"6",3.10940118364322,3.07044119967129,3.3928396111075,2.9565842359502,3.92780807479072,2.92548544331315,2.76299419036893,3.52979457893326,3.07040132670112,3.14677415146325,3.88248520215929,3.60539392283401,3.30509335958098,3.27374871992548,3.19723459796079,3.70471280399729,3.26296156351192,3.37651146461712,3.09682446859973,2.7937799381749,3.09268309986483,3.14998877327528,2.90625594997906,2.76414102357436,3.39758507951675,3.46513222679986,3.36024561309908
"7",2.88717854280584,3.4077718357166,3.61200958512214,3.63554573281544,2.93197555639677,2.69385391085309,2.88803676700347,3.39393413363544,2.3386517289124,3.72433617005596,2.65844761612961,3.89054466679089,3.9827813705075,4.18415109833486,3.48128038357096,3.81360259335615,2.93659149369753,3.46784763986369,3.50709075883273,3.56893151719041,4.29663571861213,3.68413545029313,4.04067165725059,3.54866406220688,3.00228686733535,3.79073096824486,3.48890474669228
"8",3.21586984454641,3.2735279319275,3.24188986837714,3.23307732647782,3.24914125387284,3.64526422279846,3.31461806323617,3.01940275384485,2.99693019241502,3.39426273441224,3.58396619568008,3.3222490556576,3.51751130008373,3.69574346999289,3.52549616905245,3.25954672822098,2.98038790200121,3.23038399706349,3.67388632402578,3.24669708685014,3.16480591063159,3.45110977162849,3.33263688930859,3.0925560439639,3.36116914578538,3.70995382697422,3.46216506730066
"9",3.61458343231661,2.99826848792399,3.2317244830483,3.32626518007515,3.19967373696538,1.86941238275869,3.69952303100599,2.84338693964313,2.63005415144531,3.82365603808672,3.75001984292911,3.90307989587572,3.41667139237258,3.57066977622748,3.34486272283274,3.19761854518026,3.79604103216002,3.93938583973845,3.20434529444692,3.3847242306059,3.38322002835411,3.08970268454292,3.51994772693251,3.46013077312811,3.42739407568131,3.40489567742808,3.12206476886566
"10",1.98268712541144,3.59976092877349,2.5155165352699,2.73289391307329,3.6784116943532,2.52302527268513,3.42793180395759,4.14739673263249,2.05636079669931,3.28060531902458,2.8428452664031,3.74985490095552,4.13702170772418,4.10454308010428,3.10189814356608,3.76874320637439,3.18350406074946,4.78543035889865,3.74356534189996,3.59067364078321,3.26625578165384,3.89885685264345,3.02151367560174,2.315103487837,3.31894858435785,3.33333093828535,4.75640912241228
"11",2.76143249128318,3.36108461825823,2.84309056200629,3.7364059364923,3.42028368935101,3.40853539547145,3.721147065935,3.13318478406066,2.91065035198224,3.38696278389312,3.19212725528011,3.5577073280057,4.12289115633561,3.57770962092887,3.24604004208997,3.37298122294053,3.53461787245218,4.21591942750728,3.97417565609644,3.52334531289391,3.67803117099844,3.04573605651243,3.14986462310345,3.52372031898628,3.26982289319746,3.89418414207463,3.31165735689227
"12",3.10323379187535,2.84116009002481,2.94825222690143,3.12056352100248,3.38014414557884,2.40359495293664,2.75960262353402,2.54869469422874,3.32567490498558,3.68988965109287,4.22501600871128,3.59676858650314,3.45577093290009,3.46438630719678,3.37213135028197,3.65908727839636,3.30360464062187,3.83462676830341,3.44339660605382,3.27338166360015,3.05483000086153,3.86676971271137,3.75196892130637,3.25877520437484,2.85973052869802,3.14028448750855,3.23293488647118
