"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19"
"1",3.18402874189158,3.602827039213,3.13138436258477,3.25802834089037,3.73731113771755,3.20285890107499,3.04858559247576,3.05938196466472,3.3504941558838,3.51806958623578,3.02760789214676,3.28430426498856,3.53999311149401,3.24308085538122
"2",3.33857091730385,2.98495815548862,3.33322284163467,3.34899083274305,3.57226380625017,3.19804699169661,3.31363115329816,3.18064104972104,3.28534745572592,3.41006562215407,3.30419778260553,3.24523682641504,3.20884017603028,3.16451905313776
"3",2.83798501757088,3.00799301323668,2.74209101260856,3.08517724455597,3.36699098970847,2.31094886057751,3.32274664158465,3.36185749334372,3.26493055246414,3.35722022309674,2.86015706190074,3.87436544053359,3.52568012891114,3.68101856526366
"4",3.37746784690669,3.57609217249665,2.4060998185424,3.81072375845833,4.22700458887107,2.68177427815259,3.43028303697471,3.97385835593861,3.30308297034871,2.89133809728016,3.05378482381384,3.75381917672825,3.35976609738893,3.84700173875811
"5",2.70657038983502,3.2832182499133,2.93689398145952,3.62127752780065,3.63223095158425,2.32166633303132,3.33226307946885,2.96782194085132,2.71214889202083,2.95576152988175,3.2937136466639,3.49268129720247,4.05850430323748,3.79605129423591
"6",3.22593203742752,2.93539357842467,3.39811924408926,3.25802870511894,2.84131348891565,2.57187684265026,3.93498999344124,3.35663719825328,3.12035252609183,3.7167976606422,3.01293771354296,3.48049318547229,3.39350700373102,3.27996035763573
"7",3.04641494016066,2.94735046852295,2.35721402285004,2.76110796463801,3.28385736430157,2.53714438744083,2.78132459334313,3.8329238467821,2.49332569470153,3.31849735947944,2.99990026218339,2.87671542063628,4.53308172680137,3.86813287213905
"8",3.72782947376773,3.19497713583188,4.07722567893781,3.6621710502888,3.05301012814289,2.50144708713692,3.38138506079929,2.72901572618813,2.9225528011299,2.84917038515707,2.64638078617352,4.06379038056421,3.40796583111428,3.91357662294952
"9",3.29519230782033,3.35776234290132,3.40013353376935,3.24694597085716,3.31333528900122,3.28133999261057,3.10031171485477,3.11662581031711,3.15348023840049,3.35855884949826,3.47115692235403,3.27368733393962,3.26416733227038,3.24346014594856
"10",2.92274046225752,3.70669643885536,2.97872346345658,3.42780941842279,4.05157015163491,1.97021787124364,3.29167419056803,3.22246908420162,3.01807710479739,3.33495261065946,3.06592513963224,3.64890786714639,3.3300843634965,3.51172571943044
"11",3.21780588187304,3.36393297272052,3.55769215572615,3.42162648545973,3.95589590154112,2.55930473574617,3.12790341200956,3.18680346694676,3.41775832803586,4.06558750043408,3.96849617915243,4.05790949986064,3.39571953639612,4.22155853371125
"12",3.00473658317446,3.05064794225846,3.09126137449485,3.75655915116345,3.74774025881084,2.74577736964515,3.68419140848648,2.79132079511606,3.4586504756259,3.61408549628279,3.80240671798759,3.68808603331158,3.61098406193296,4.09983281253154
"13",2.82924040132534,2.87981254034,1.8456790376704,2.04351568708733,3.60934469233121,2.1717540240159,5.34950821390321,3.63129785987327,3.18016627980679,3.73059006110345,2.39032854000997,3.96600896074299,4.37190906855822,3.53775863621589
"14",3.36640457740186,3.10830970851434,3.25306645934745,3.08632579491664,3.28945966585562,2.99736214229912,3.33371363862383,3.26521388050313,3.30452550904106,3.03851613329304,3.2946402339792,3.54610418765196,3.42693721820995,3.64193429773278
"15",3.00323270974518,2.89765751006806,3.30051704073485,2.44631649557996,3.91641085764884,2.59463317130378,4.24816329989486,2.95033051214273,3.39510014264067,3.75955705498448,3.31424040625462,4.21702143992127,3.63869301598169,3.70786215638111
"16",2.55443234485529,3.23140839754097,2.86071496621726,3.66354966866275,2.88793147148767,2.56579120703871,2.93751407991895,4.1156102080067,2.32264098538599,3.14111175591384,3.26544855267344,3.72904385684044,3.06647918087675,3.0886977229875
"17",3.4339688879064,3.37497138824909,3.12803613815272,3.18007166949458,3.18411043604266,3.34784804280102,3.22048269727273,3.28923315274504,3.04108648930623,3.0796880342112,3.12637771721542,3.13418054740671,3.0614094692362,3.38170104190515
"18",2.77640959779062,3.68640265303556,3.25634724849846,2.09561520876443,4.10286105945882,2.31203959891668,3.06433592258617,3.00527050201301,2.96757507271486,3.63454429670922,3.23193433714374,3.58560888069862,3.0698931316931,3.22658157412393
"19",3.1983276483499,3.17990814553223,2.6768375369941,3.47429405910446,3.72734092957308,2.81684018991962,3.446386209775,3.10130855998678,3.33723533935503,3.2878929934275,3.22850932573881,3.63001664868301,3.25556174265901,3.4578434067156
"20",3.38509502157037,2.73596739637422,2.6561310941239,3.0822289082396,3.51309591829961,2.40917592174619,3.05682046505401,3.14597493440415,3.18866957388608,3.2118714915711,3.20992414014406,3.39977016552509,2.89702125881376,3.31368686386513
"21",3.17112137429695,3.36806007038958,3.34029559524442,2.4942506502387,3.84426445122694,2.91510291239763,3.68671977713382,3.36480225013883,2.99965113752822,3.18479380972509,3.36437692030939,4.44154112375723,3.29291918829784,3.46918832755297
"22",3.1854545450419,3.06600437749786,3.35155519985648,2.57209726067778,3.42138608607697,2.54183351918211,3.36792188551905,4.40452318239465,2.6592391603753,3.01102862474948,2.85722561821097,3.88422713095495,3.55339776318408,2.91395102282107
"23",3.19433645296336,3.3275774534992,3.34321318204009,3.45754479473089,3.46498567168314,3.20639385467571,3.20476591992691,3.26242949388458,3.1663560349411,3.47453577335564,3.32114166837306,3.17626606540008,3.35878356601865,3.1957028119829
