"","time","country","estimated_deaths_forecast","estimated_deaths_forecast_min","estimated_deaths_forecast_max","estimated_deaths_forecast_c","estimated_deaths_forecast_min_c","estimated_deaths_forecast_max_c","estimated_cases_forecast_c","estimated_cases_forecast_min_c","estimated_cases_forecast_max_c","estimated_cases_forecast","estimated_cases_forecast_min","estimated_cases_forecast_max","rt","rt_min","rt_max"
"1",2020-04-19,"Denmark",12.559961507296,8.33981417653649,18.283706824767,354.921494496394,276.00317871247,450.226144430273,77525.5151280643,31240.566397298,202684.789510486,4283.66565226957,163.581583025583,24017.7648211289,1.54717086552092,0.601214756515641,2.97415256450518
"2",2020-04-20,"Denmark",12.5505609063583,8.00642950565198,19.2457874904513,367.472055402753,284.009608218122,469.471931920724,82374.996413617,31393.6694298444,231178.567090138,4849.48128555271,153.103032546426,28493.7775796527,1.54540534392333,0.601193431797428,2.95551849406495
"3",2020-04-21,"Denmark",12.6123670340328,7.63465205436489,20.5750512456296,380.084422436785,291.644260272487,490.046983166354,87905.723678003,31541.6890954021,264998.293542785,5530.72726438594,148.019665557694,33819.7264526467,1.54336590701856,0.60117368838263,2.93331839618817
"4",2020-04-22,"Denmark",12.7534034715298,7.28415116656026,21.981377177659,392.837825908315,298.928411439047,512.028360344013,94239.0384607819,31685.4526565948,304939.146882107,6333.31478277899,143.763561192746,39940.8533393223,1.54099439499934,0.601155330212794,2.92009816214313
"5",2020-04-23,"Denmark",12.9842821743885,6.92518415903565,24.154212923827,405.822108082704,305.853595598083,536.18257326784,101505.297899479,31817.6384651428,352994.997908319,7266.25943869658,132.185808547969,48055.8510262113,1.53822845167907,0.601138212339399,2.90965151087422
"6",2020-04-24,"Denmark",13.3213894448369,6.54891732599404,26.596507433807,419.14349752754,312.402512924077,562.779080701647,109846.282134787,31939.0214046839,409391.430061378,8340.98423530884,121.382939541104,56396.4321530595,1.53500035092203,0.601122225239349,2.8815993682556
"7",2020-04-25,"Denmark",13.7757700366483,6.2072047417761,31.051867966604,432.919267564189,318.609717665853,593.830948668251,119414.71251329,32054.8798662168,476891.234366455,9568.43037850301,115.858461532856,67499.8043050773,1.5312364308096,0.601107281605236,2.84736643153166
"8",2020-04-26,"Denmark",14.3679205057283,5.87994645057407,35.0042846287125,447.287188069917,324.489664116427,628.835233296963,130370.837784295,32163.6410426216,556823.34816045,10956.125271005,108.761176404826,79932.1137939942,1.52685819576212,0.601093307735695,2.80069220175492
"9",2020-04-27,"Denmark",15.1164496600327,5.56874683111343,40.5572320168285,462.40363772995,330.058410947541,669.392465313792,142876.488491411,32263.8776033325,652488.712744393,12505.6507071161,100.2365607109,95665.3645839438,1.52178514263508,0.601080238529318,2.74541753060218
"10",2020-04-28,"Denmark",16.0419998577263,5.27634188004227,46.9635773269807,478.445637587676,335.334752827583,716.356042640773,157087.328182624,32356.3621377201,764830.575498053,14210.8396912122,92.4845343876129,112341.86275366,1.51593905118013,0.601068014768272,2.70847728818167
"11",2020-04-29,"Denmark",17.1722892965728,4.9993763304613,55.4620666229136,495.617926884249,340.334129158044,771.818109263686,173144.397274476,32445.5316455204,896092.58923026,16057.0690918528,89.1695078002726,131262.013732207,1.5092491388015,0.601056581700312,2.67194448424349
"12",2020-04-30,"Denmark",18.5343389015082,4.73245746415093,65.9139757425872,514.152265785757,345.066586622195,837.732085006273,191166.034495314,32530.3242453737,1048842.65167433,18021.6372208375,84.7925998533088,152750.062444069,1.50165715533208,0.601045888298022,2.5830386478996
"13",2020-05-01,"Denmark",20.1633043800009,4.46367810798033,78.2094299680248,534.315570165758,349.530264730176,915.941514974298,211240.595646476,32612.2743404581,1223291.28383944,20074.5611511621,81.9500950844387,174448.632165114,1.49312157324768,0.601035886846496,2.51531565576188
"14",2020-05-02,"Denmark",22.097035871789,4.21096821104774,93.0370410797074,556.412606037547,353.741232941223,1008.97855605401,233419.712336454,32691.4949457875,1418643.68546039,22179.1166899779,79.2206053293702,195352.40162095,1.48362072997547,0.601026532679695,2.45747886111934
