"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-EHPAD","Denmark","Italy","Germany","Spain","United_Kingdom","France","Norway","Belgium","Austria","Sweden","Switzerland","Greece","Portugal","Netherlands"
"1803",3.31045608581609,2.71013512319057,3.9201983547801,3.64508781666919,1.48442467238624,2.65540366959571,2.77640553389465,3.38659979264069,3.12167932505432,2.7243360731226,2.46600361848742,3.58871435578502,3.26446605939931,3.5970714075527,6.79860097109751,3.16036102846343,3.27453757008719,4.3031003277447,4.39628747992175,3.9814754407468,4.19421269071047,3.50202628220964,5.70817689062294,3.55134446228713,2.48290286840638,3.43974161231531,1.23929216004089,3.29114551727628,2.94125044033122
"1804",3.20498278809253,2.64730112256863,3.49651928907221,4.70423098481019,1.26018784216964,2.47422901571082,2.92330731757388,3.61184344929825,2.57687528834462,2.47780792439666,2.62854365567356,3.658640829906,3.3305520918162,3.44219023924698,6.66782239196279,2.73299042495182,3.21631095198794,4.41396188087897,4.28495757211838,3.96528232423124,4.10066022963157,3.56788905893544,5.69581331967542,3.4889829109023,2.64948318668057,3.23588780087058,1.12399478945578,2.26565391161171,2.60013822687462
"1805",3.74113156103779,3.08927589121664,3.90377715896097,4.1730600104664,1.05059752634224,2.64101936881373,2.79009285034887,4.34330868223981,3.00221315759875,3.0466749059154,2.89225042802874,5.19472610611369,3.77743130043306,3.6775713851531,9.9815246359353,3.7929677631983,3.70830520412969,4.88320758991531,4.78798412134698,4.53792311467656,4.84841704805892,3.52526843408245,7.45228184471168,4.08199440874793,2.68523360378777,3.60364900477217,1.58147384003055,3.62094832224769,3.34505390746967
"1806",3.06171059444268,2.71436007880573,3.14082084717672,3.91895715042244,0.994752242240955,2.58458705983065,2.45857613148826,3.84148512236014,2.49703698579528,2.67084674625871,3.12344948871728,3.77885803662036,3.62774217342336,3.53142520200634,6.47924066691961,4.09822455013312,3.1530261077632,3.78719502013994,4.41555749478641,3.95626324546894,4.38553141395177,3.74951499372516,5.06322613787992,3.93113534729445,2.4603158054392,2.95551345159204,1.86743619310781,2.16523416100537,2.92590033837884
"1807",3.02394067723443,3.02809946985739,2.89427574208438,3.07699179871763,1.93869916830316,2.70725059430004,2.58228824595037,3.22540675972302,2.65414583444223,2.89706474075897,1.95264315508353,2.96568968747966,3.6163872514854,3.41414437665897,7.34782015839512,3.44493858502488,3.3758637916122,3.46144840463325,4.09129197906892,3.91753668167392,4.61322534443756,4.40531948604501,6.43345157086454,4.05091034359572,2.42881334667076,3.36424860155847,1.26463296263657,2.54188570430263,2.75890161775346
"1808",3.22628912202784,3.41349918115413,3.03475105924737,4.17394671480625,1.23126771614404,2.54040212906257,2.40904081060708,3.64652854926311,2.09765457643302,2.77275266870641,2.17209306253947,4.49064768561725,3.48286273673819,3.83943921492582,6.23201905574015,4.1508126025104,3.0387242285123,3.70001597230707,3.69141744131694,3.91222021374228,4.33564673814199,2.75322705046171,5.26409857817979,3.30649470643589,2.44159745283646,3.26113164054239,1.54378065920869,2.69780006320682,2.54647205762971
"1809",2.86791446502803,2.86438639292743,2.68332183088967,3.37487125474316,1.38921525454835,2.59570663229619,2.74890670528205,4.23104451639611,3.04848037068595,3.16090338804872,3.27623938864793,4.05244591150655,3.59234555622158,3.66272796359089,8.03993437618075,3.39363170316254,3.59143597647329,5.33333979773469,4.64777169464405,3.98902116810242,4.59913492050642,3.42628975533231,6.77816522315757,4.46963312318688,3.14137225695963,3.3566224055545,1.93934066783535,3.6442636583499,3.06303964701325
"1810",3.5309537723325,2.72940575445144,3.99112708917661,4.34790742466046,1.21530512828302,2.3167751259311,2.78106143864543,4.02171067874838,2.53523395813436,3.10470459908824,2.86684505457887,4.50954176538124,3.58654534695505,3.59931082962356,8.32637189381569,3.72944661116833,3.49369776799314,4.61670436195285,4.50648655184017,3.99205997461267,4.67926930404192,3.40139950490988,7.38797555390599,3.92149909934666,2.45652698835014,3.2539085740887,1.36329417294159,3.77801199180121,3.12997092680916
"1811",3.25494211235195,2.78005085072135,3.64360718770463,4.05740606084839,1.06992866934494,2.57075558742766,2.63710375256963,4.88915437673386,2.92543639631552,3.3250532608765,2.27855431866438,4.83389621367665,3.32783209130529,3.9836726466188,7.95572165277055,2.78091076487414,3.43764444583706,3.85099041015089,4.09386695638676,3.69602054707183,4.66764565837664,2.97798724318484,6.530943630708,3.21086523256359,2.44431337229317,2.7443868096213,1.69484190125731,3.15419774093204,3.19670603755867
"1812",3.60083826492368,3.43102396759987,2.96683596763826,3.32851847701386,2.71015064440248,2.59912000150696,2.87664577542252,3.75282129616556,3.20032867554316,3.35353507504121,2.76445358958292,4.13747417621237,3.12654499272007,3.64736398753022,8.2830312303324,3.68906576027189,3.65480349265519,4.83729395502612,4.01407493999722,4.3623850219698,4.82424597452575,3.4682283950156,5.8299506757763,4.06159618102359,2.59052052116366,3.35181690516395,1.95473952842662,3.05586716554384,2.54776739691846
"1813",3.12198678591925,2.91960844130926,2.59575488997307,3.83749518905266,1.39205094510432,2.65628806991162,2.80517946638451,3.07125565541733,2.75465570667248,3.29873896507156,2.47122484162381,4.14249825946544,3.11444278363688,3.87399177679207,6.6028515316997,4.0781814749282,3.41109120296886,4.1487561407147,3.9876656580562,3.46803147056213,4.6486349877796,2.77859275056502,5.74224215735494,2.58976743292221,2.28299583254006,2.77006511334721,1.44282243987572,2.93638023124267,2.88270365554422
"1814",3.465927733489,3.19887029283296,3.65740936639669,4.67141485508782,1.27956857386883,2.35606775936739,2.69131265846039,3.73728936959239,2.41676608957876,3.11508626588182,2.87896403779085,3.68991071859171,3.30803627737239,3.51248530248395,7.41511054698952,3.72681425171143,3.59708573323734,4.31575553841113,4.84247957622366,4.26684753615937,4.96631833013038,3.63788409199077,7.29060583793465,3.21307107582479,2.93691577598478,3.06910648927662,1.248996183636,2.69515474882983,2.88556343969563
