"","time","country","estimated_deaths_forecast","estimated_deaths_forecast_min","estimated_deaths_forecast_max","estimated_deaths_forecast_c","estimated_deaths_forecast_min_c","estimated_deaths_forecast_max_c","estimated_cases_forecast_c","estimated_cases_forecast_min_c","estimated_cases_forecast_max_c","estimated_cases_forecast","estimated_cases_forecast_min","estimated_cases_forecast_max","rt","rt_min","rt_max"
"1",2020-04-05,"Auvergne-Rhône-Alpes",47.1213934800118,31.0698926309424,73.4158983021995,522.848911989605,385.241233247091,706.999505149237,170740.632625629,45243.6244540545,506544.015688411,8549.07024927507,63.7193099199398,46219.8174128774,0.934184740774581,0.177577017649736,1.98347866549549
"2",2020-04-06,"Auvergne-Rhône-Alpes",48.9940560120877,30.4982096363156,80.8681546300981,571.842968001693,415.739442883407,787.867659779335,179885.583769466,45296.754311956,557905.744269778,9144.95114383662,53.1298579015916,51361.7285813664,0.933973280639819,0.177576851779701,1.98267544865885
"3",2020-04-07,"Auvergne-Rhône-Alpes",50.7917898770218,29.8268092516055,89.7193619904737,622.634757878715,445.566252135012,877.587021769809,189698.472017109,45341.0145270197,615162.721606019,9812.88824764353,44.2602150636097,57256.9773362407,0.933743054627372,0.177576713088668,1.98168473590257
"4",2020-04-08,"Auvergne-Rhône-Alpes",52.5353983118302,28.7859548868851,99.5214911407367,675.170156190545,474.352207021897,977.108512910545,200258.394861079,45377.6123574918,679792.004703932,10559.92284397,36.597830472117,64629.2830979128,0.933491641706537,0.177576597280201,1.98004728650459
"5",2020-04-09,"Auvergne-Rhône-Alpes",54.2540360001621,27.5045134091562,110.898556815206,729.424192190707,501.856720431054,1088.00706972575,211652.71671125,45407.8954933257,752839.437993039,11394.3218501709,30.2831358339803,73047.4332891074,0.93321638101688,0.177576500727493,1.97778636472434
"6",2020-04-10,"Auvergne-Rhône-Alpes",55.9816513080874,26.134176667364,122.601728088211,785.405843498795,527.990897098418,1210.60879781396,223978.352485571,45432.9844478784,833525.715830671,12325.6357743207,25.0889545526829,80686.2778376322,0.93291433039548,0.177576420339081,1.97503159551513
"7",2020-04-11,"Auvergne-Rhône-Alpes",57.7464375928925,24.6693107657185,136.29946218669,843.152281091687,552.660207864136,1346.90826000065,237342.80754706,45453.840659761,922254.842029613,13364.4550614888,20.8562118825253,88729.1261989422,0.932582214966836,0.177576353482851,1.97300189480427
"8",2020-04-12,"Auvergne-Rhône-Alpes",59.5718404217095,23.1726059557379,150.993681265179,902.724121513397,575.832813819874,1497.90194126583,251864.995260957,45471.3612651866,1021154.42337843,14522.1877138975,17.5206054256362,98899.581348818,0.932216385152249,0.177576297927693,1.97098817618198
"9",2020-04-13,"Auvergne-Rhône-Alpes",61.492199773783,21.5531127416945,168.296370522765,964.21632128718,597.385926561568,1666.1983117886,267675.851639894,45485.9189640814,1132403.17251442,15810.8563789371,14.557698894852,111248.749135992,0.931812785164922,0.177576251791708,1.96856830497671
"10",2020-04-14,"Auvergne-Rhône-Alpes",63.5482271735039,20.170238027769,186.949711935009,1027.76454846068,617.556164589338,1853.14802372361,284918.701447501,45497.9959978467,1256731.19961896,17242.8498076066,12.0770337652093,124328.027104535,0.931366931547962,0.177576213494521,1.96544805596398
"11",2020-04-15,"Auvergne-Rhône-Alpes",65.7848670088839,18.568416310555,207.622475836076,1093.54941546957,636.124580899893,2060.77049955968,303749.271991165,45508.0137083155,1393422.29570052,18830.5705436645,10.0177104688679,136691.096081559,0.930873903505276,0.17757618171369,1.96197493723048
"12",2020-04-16,"Auvergne-Rhône-Alpes",68.2372340651747,16.9403255852273,230.495409977719,1161.78664953474,653.06490648512,2291.2659095374,324335.210931558,45516.322507491,1544465.66780801,20585.9389403925,8.30879917544019,151043.372107498,0.930328349115484,0.177576155345621,1.95811070700706
"13",2020-04-17,"Auvergne-Rhône-Alpes",70.9400417804728,15.4569965197704,254.601387758215,1232.72669131522,668.52190300489,2545.86729729561,346854.942135992,45523.2135361761,1711406.50300416,22519.7312044346,6.89102868515953,166940.835196142,0.92972451324001,0.177576133471195,1.95381337081382
"14",2020-04-18,"Auvergne-Rhône-Alpes",73.9439452800329,14.1579497693328,284.001288738193,1306.67063659525,682.679852774223,2829.86858603381,371495.691680938,45528.9285264169,1895322.6332777,24640.7495449458,5.71499024076623,183916.130273544,0.929056293920746,0.177576115326022,1.94903691548105
"15",2020-04-19,"Auvergne-Rhône-Alpes",77.2893697504757,12.9279617442766,315.126118958961,1383.96000634572,695.6078145185,3144.99470499277,398450.543466388,45533.6680949106,2099777.93436504,26954.8517854504,4.7395684937132,204455.301087334,0.928317334124874,0.177576100275016,1.94373104787369
"16",2020-04-20,"Auvergne-Rhône-Alpes",81.0186749510939,11.8034553353393,350.833911592469,1464.97868129682,707.411269853839,3495.82861658524,427914.453498929,45537.5986862207,2326873.62086373,29463.9100325401,3.93059131011368,227095.686498689,0.927501154427147,0.177576087790872,1.93877669177563
"17",2020-04-21,"Auvergne-Rhône-Alpes",85.1784319237595,10.6486784008358,390.407788067138,1550.15711322058,718.059948254675,3886.23640465238,460079.275936493,45540.8583671381,2579332.01648581,32164.8224375649,3.25968091742031,252458.395622083,0.926601329057803,0.177576077435961,1.93117023376052
"18",2020-04-22,"Auvergne-Rhône-Alpes",89.8300040063325,9.57338179107075,435.737826832188,1639.98711722691,727.633330045746,4321.97423148456,495128.036215082,45543.5654227931,2859764.80838884,35048.7602785885,2.70705565498978,280432.791903033,0.92561170216516,0.177576068847179,1.92383958748023
"19",2020-04-23,"Auvergne-Rhône-Alpes",95.0368021646763,8.58644554217623,486.006551727876,1735.02391939159,736.219775587922,4807.98078321244,533228.911936818,45545.8287174543,3170933.06471942,38100.8757217359,2.26329466112344,311168.256330577,0.924526633006649,0.177576061723306,1.90852582320854
