"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","global: residential",0.95,0.9,"mean",-0.915841596824734,-0.634104028073079,0.180086964488311,0.686933172978044,0.735024747440132,"pooled"
"2","global: transit",0.95,0.9,"mean",0.154730552480409,0.246227833086569,0.546732531505544,0.760502614427443,0.783338135137408,"pooled"
"3","global: averageMobility",0.95,0.9,"mean",0.112971806849425,0.249239840807984,0.592495426361841,0.816591178076329,0.838921168680303,"pooled"
"4","Denmark: residential",0.95,0.9,"mean",-2.4939483585599,-1.77916455512549,-0.166171752929429,0.675663738251472,0.767306826964147,"partial"
"5","Denmark: transit",0.95,0.9,"mean",-1.16698307956425,-0.866947377961619,0.0839200491367133,0.678766135973829,0.742221031167056,"partial"
"6","Denmark: averageMobility",0.95,0.9,"mean",-2.31714699946898,-1.58424911875535,-0.160202150375943,0.676703264474656,0.748453674199162,"partial"
"7","Italy: residential",0.95,0.9,"mean",-1.69543053778239,-0.965079475644281,0.0729808557523951,0.742224047276462,0.793511448385667,"partial"
"8","Italy: transit",0.95,0.9,"mean",-0.220931970845266,-0.0459177291896715,0.450241917172096,0.78877587645924,0.822408855153674,"partial"
"9","Italy: averageMobility",0.95,0.9,"mean",-0.206298505750466,-0.0493599490496382,0.467070118421593,0.829818224573607,0.86458990931124,"partial"
"10","Germany: residential",0.95,0.9,"mean",-2.94360222308504,-2.07964721481229,-0.335437715355216,0.648073255416233,0.732591766654911,"partial"
"11","Germany: transit",0.95,0.9,"mean",-2.57013343428212,-1.88710396549009,-0.459676869141881,0.397661419077155,0.49175769775948,"partial"
"12","Germany: averageMobility",0.95,0.9,"mean",-2.03146772429089,-1.52857469721007,-0.125534139762635,0.693714375182751,0.76630549427374,"partial"
"13","Spain: residential",0.95,0.9,"mean",-2.14768205926874,-1.49454615825311,-0.103743173534314,0.707090324444727,0.782663345557299,"partial"
"14","Spain: transit",0.95,0.9,"mean",-1.2157044150457,-0.763752264782259,0.110841716534525,0.663371375049321,0.71479541736167,"partial"
"15","Spain: averageMobility",0.95,0.9,"mean",-1.16255331905345,-0.716600191445575,0.165169281366674,0.759233562730989,0.823677599558263,"partial"
"16","United_Kingdom: residential",0.95,0.9,"mean",-2.76558948236297,-1.94087939259147,-0.268592859525584,0.65205658882951,0.723081139618889,"partial"
"17","United_Kingdom: transit",0.95,0.9,"mean",-2.07532041381949,-1.64185812261177,-0.261820217594813,0.512447456554161,0.600748184644724,"partial"
"18","United_Kingdom: averageMobility",0.95,0.9,"mean",-2.17681725733003,-1.5620493194263,-0.175289135891597,0.670883691915619,0.735944568703394,"partial"
