"","time","country","region","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"446",2020-03-07,"France","France",190,607,80599.9936016082,59699.9068363853,108392.33752265,17508.0228705855,13473.1882329514,22849.1127873226,15762.5174255298,19000.6785907523,2,9,15.3110767353576,9.92518819220231,22.7876964541675,3.43256984238825,2.37458271834784,4.85289366040182,2.96918346311782,3.82094841622874,3.91808631640366,3.59221386536362,4.26230007669027,3.79432798179408,4.03515088693083
"447",2020-03-08,"France","France",103,710,102819.473462436,76969.548715932,137271.782154264,22219.4798608276,17269.6418795467,28879.4446316142,20066.8136139605,24081.4710126207,1,10,19.7072984115336,13.0246521696575,28.8971286252954,4.39622167617606,3.09946397745516,6.10943217112792,3.83726326965713,4.87183108293984,3.89433438351471,3.57057051405796,4.23662886452893,3.77046990055501,4.01020154617066
"448",2020-03-09,"France","France",410,1120,131257.00333007,99090.8017815935,174270.083926239,28437.5298676342,22121.2530656615,36998.3017719742,25633.4195727939,30847.6763660656,9,19,25.3332001171304,17.0585860828283,36.5826267522099,5.62590170559675,4.03393391317087,7.68549812691446,4.95405017765495,6.20027676981293,3.90289048737098,3.57466541738062,4.24507553655302,3.77745176878497,4.01978798777455
"449",2020-03-10,"France","France",286,1406,167464.50117107,127269.419243585,221410.718987992,36207.4978410003,28178.617461991,47140.6350617536,32782.6624460539,39193.2838821531,11,30,32.5281607307728,22.3053594750761,46.2560187889444,7.19496061364239,5.24677339224778,9.67339203673455,6.38324565787723,7.88144435724414,3.89236099373072,3.56592599529008,4.23410096372037,3.76751578314822,4.00913802797889
"450",2020-03-11,"France","France",372,1778,213814.616340176,163241.784994165,281742.022989858,46350.1151691053,35972.3657505806,60331.3040018663,41963.8905784916,50156.8949902019,3,33,41.7246752934323,29.1256213478922,58.4510999753917,9.1965145626595,6.82026187281612,12.1950811864472,8.21668468504784,10.0299731280906,3.90316677826117,3.57389326253208,4.24843854804314,3.77553502460888,4.01963888017093
"451",2020-03-12,"France","France",497,2275,272905.889842152,209010.8992865,358183.90623627,59091.2735019766,45769.1142923352,76441.8832464111,53442.7505237874,63954.0688713125,15,48,53.4741387668567,38.0072885958085,73.8349640597865,11.7494634734245,8.8816672479163,15.3838640843949,10.5681321989374,12.7486352493851,3.89807037204827,3.56813646644478,4.24029988514094,3.76979798369748,4.01743970991149
"452",2020-03-13,"France","France",595,2870,346927.232100783,266298.180167136,453717.413870252,74021.3422586311,57287.2808806357,95533.5076339826,67009.3206765383,80178.7638447302,13,61,68.4806205173911,49.5646419022495,93.2077186569364,15.0064817505344,11.5573533064409,19.3727545971498,13.5775883495197,16.2125282267504,3.82455053634869,3.50680059101017,4.15367368716405,3.70357037346471,3.94112966647399
"453",2020-03-14,"France","France",785,3655,437688.394600509,336498.207832906,571375.861535185,90761.1624997262,70200.0276657697,117658.447664933,81924.32009116,98425.3645426831,18,79,87.6422802669033,64.5781511923278,117.554407523805,19.1616597495121,15.0135092900783,24.3466888668689,17.451690941471,20.6193479937189,3.67673950147084,3.37312655441417,3.98560763734508,3.56295056088125,3.78287896873316
"454",2020-03-15,"France","France",838,4493,544904.710683116,419727.106937982,710176.362531877,107216.316082606,83228.8991050758,138800.500996692,96925.012774834,115909.764327583,12,91,112.104388386363,84.025075433084,148.279452507424,24.46210811946,19.4469242407563,30.725044983619,22.4138924608773,26.2363889200924,3.42001684812248,3.14233008425246,3.7032902238145,3.31893192403815,3.518154708882
"455",2020-03-16,"France","France",924,5417,663585.78294751,512492.823182067,863285.747980315,118681.072264394,92765.7162440854,153109.385448438,107930.586707389,127977.329814785,36,127,143.324865056097,109.19445788798,186.937498790068,31.2204766697333,25.1693824548956,38.6580462826441,28.8236453907674,33.3348603788916,3.00794495281893,2.75579054724913,3.26171921177936,2.91878617846125,3.0965497824618
