"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","global: residential",0.95,0.9,"mean",-1.1400931608717,-0.979906074470479,-0.215393742236853,0.361049152678513,0.433879465045599,"pooled"
"2","global: transit",0.95,0.9,"mean",0.336545928932885,0.406483732170914,0.654094347408108,0.826878833950852,0.843635031254808,"pooled"
"3","global: grocery",0.95,0.9,"mean",-0.490957174920279,-0.379754705089893,0.0829834070967785,0.441094053345747,0.484208863318308,"pooled"
"4","global: parks",0.95,0.9,"mean",-2.15030785842247,-1.99162844318979,-1.27207102468296,-0.686833546279154,-0.602055141636164,"pooled"
"5","global: retail",0.95,0.9,"mean",0.265644706390815,0.339497639263497,0.599514640248842,0.780521463180085,0.801492917179862,"pooled"
"6","global: workplace",0.95,0.9,"mean",0.158580912463153,0.249374804841489,0.575530978298343,0.791682335695075,0.815429190143144,"pooled"
"7","Auvergne-Rhône-Alpes: residential",0.95,0.9,"mean",-0.921035710900375,-0.679691480265921,-0.0292390978432584,0.450180167217718,0.515127305563884,"partial"
"8","Auvergne-Rhône-Alpes: transit",0.95,0.9,"mean",-0.757926143987252,-0.604130196136134,-0.0149107575221653,0.409373987442601,0.467423842640297,"partial"
"9","Auvergne-Rhône-Alpes: grocery",0.95,0.9,"mean",-0.884339896809788,-0.641333126268256,-0.0475431718593135,0.402222582349019,0.483305645716636,"partial"
"10","Auvergne-Rhône-Alpes: parks",0.95,0.9,"mean",-0.84313007929614,-0.660453787472585,-0.0516864425185363,0.379765658186833,0.444631574430297,"partial"
"11","Auvergne-Rhône-Alpes: retail",0.95,0.9,"mean",-0.691731475367313,-0.488184644574406,0.0128210066585714,0.429718816470238,0.510995560678483,"partial"
"12","Auvergne-Rhône-Alpes: workplace",0.95,0.9,"mean",-0.775016823608976,-0.583564627837461,-0.00908208554247745,0.442431292519973,0.498833911207357,"partial"
"13","Bourgogne-Franche-Comté: residential",0.95,0.9,"mean",-0.945844941051755,-0.712393879264477,-0.0642932239667541,0.40499517673204,0.493224296154479,"partial"
"14","Bourgogne-Franche-Comté: transit",0.95,0.9,"mean",-0.944161423890425,-0.7381207846437,-0.110475423870214,0.366878638481174,0.443964005857197,"partial"
"15","Bourgogne-Franche-Comté: grocery",0.95,0.9,"mean",-1.09576937999743,-0.855330946412015,-0.156581120485913,0.314038256333965,0.403028187439985,"partial"
"16","Bourgogne-Franche-Comté: parks",0.95,0.9,"mean",-1.06092385888323,-0.81412531985574,-0.148443087704492,0.340075951064518,0.404568495999044,"partial"
"17","Bourgogne-Franche-Comté: retail",0.95,0.9,"mean",-0.892577303417299,-0.65642765492204,-0.0550432655525001,0.410669877694445,0.47574352818388,"partial"
"18","Bourgogne-Franche-Comté: workplace",0.95,0.9,"mean",-0.939426460613673,-0.752152266323661,-0.0758493388479268,0.399251785269387,0.487743305280828,"partial"
"19","Bretagne: residential",0.95,0.9,"mean",-0.960214685071376,-0.760087876032229,-0.0932813798433807,0.381346644205472,0.454648957344653,"partial"
"20","Bretagne: transit",0.95,0.9,"mean",-0.973995499244645,-0.761967216585425,-0.0866558639222795,0.40630413199603,0.479590578027125,"partial"
"21","Bretagne: grocery",0.95,0.9,"mean",-0.98275964339959,-0.757657518139687,-0.100130888071112,0.367601685601235,0.443111689784303,"partial"
"22","Bretagne: parks",0.95,0.9,"mean",-0.944719565090162,-0.734898084184921,-0.101690534951204,0.379612594871643,0.444477511108547,"partial"
"23","Bretagne: retail",0.95,0.9,"mean",-0.908085330607684,-0.692273184241979,-0.079369566910371,0.374205362038371,0.448378823888045,"partial"
"24","Bretagne: workplace",0.95,0.9,"mean",-0.851961502318332,-0.669678819607311,-0.0689041001087551,0.385700871981228,0.452094996340236,"partial"
"25","Centre-Val de Loire: residential",0.95,0.9,"mean",-0.982030416703797,-0.732839406030317,-0.0754279669862553,0.411465989273098,0.469797663537263,"partial"
"26","Centre-Val de Loire: transit",0.95,0.9,"mean",-0.873654752710936,-0.651639292933651,-0.0508664106750653,0.412385660190289,0.479419530766294,"partial"
"27","Centre-Val de Loire: grocery",0.95,0.9,"mean",-1.02574936216707,-0.779656410985791,-0.110289079864526,0.377399664395549,0.441068519726271,"partial"
"28","Centre-Val de Loire: parks",0.95,0.9,"mean",-0.958565398991822,-0.690588862023095,-0.0686273453611677,0.395808604643657,0.469978605709636,"partial"
"29","Centre-Val de Loire: retail",0.95,0.9,"mean",-0.914124427165567,-0.653688058858561,-0.058753602370177,0.413069968600296,0.486114229812818,"partial"
"30","Centre-Val de Loire: workplace",0.95,0.9,"mean",-0.936539329229373,-0.697041897587153,-0.0760448979351832,0.393762054396953,0.471919070902429,"partial"
"31","Corse: residential",0.95,0.9,"mean",-1.04400132792964,-0.788257012548524,-0.121742303489917,0.366571619262422,0.421711249925623,"partial"
"32","Corse: transit",0.95,0.9,"mean",-1.00818373446229,-0.787685191332734,-0.113243398700361,0.362563917274463,0.42887261007727,"partial"
"33","Corse: grocery",0.95,0.9,"mean",-1.21402893798964,-0.97116952647224,-0.186818094493226,0.358345973937692,0.427752556622054,"partial"
"34","Corse: parks",0.95,0.9,"mean",-1.28615635940028,-0.944891914919012,-0.177945324410029,0.342267036561396,0.425148249238447,"partial"
