"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","global: residential",0.95,0.9,"mean",-1.49248441741145,-1.17249865145753,-0.0715224329847147,0.576002622965969,0.61717120464988,"pooled"
"2","global: transit",0.95,0.9,"mean",-1.66001085503447,-1.14349281291539,-0.0485868928145252,0.601674769363324,0.677403773268237,"pooled"
"3","global: grocery",0.95,0.9,"mean",-1.60342309822106,-1.29953576656798,-0.188709063060621,0.537781035766345,0.596027595159775,"pooled"
"4","global: parks",0.95,0.9,"mean",-1.81363847731808,-1.43446795503379,-0.241139146309767,0.465194163390098,0.541012496857887,"pooled"
"5","global: retail",0.95,0.9,"mean",-1.58490932224228,-1.20407532399516,-0.0594125523653201,0.598246483886242,0.64143857641727,"pooled"
"6","global: workplace",0.95,0.9,"mean",-1.33480061718091,-0.927084819992612,0.00384395538463199,0.604022554757117,0.664911978984629,"pooled"
"7","Auvergne-Rhône-Alpes: residential",0.95,0.9,"mean",-0.70218718664303,-0.271450897492021,-0.0348984059872063,0.200606500146248,0.398316521412022,"partial"
"8","Auvergne-Rhône-Alpes: transit",0.95,0.9,"mean",-0.643066360645454,-0.262341969524477,-0.0315076959288465,0.218324951417459,0.40202601375798,"partial"
"9","Auvergne-Rhône-Alpes: grocery",0.95,0.9,"mean",-0.566884758951689,-0.243880755513799,-0.0322548198973401,0.18998711910925,0.415000658806699,"partial"
"10","Auvergne-Rhône-Alpes: parks",0.95,0.9,"mean",-1.06308812404967,-0.390688128121193,-0.0780452025977955,0.16947906700687,0.321665688520784,"partial"
"11","Auvergne-Rhône-Alpes: retail",0.95,0.9,"mean",-0.658114206160773,-0.24293443624067,-0.0413211758689002,0.214488491280965,0.401508331848558,"partial"
"12","Auvergne-Rhône-Alpes: workplace",0.95,0.9,"mean",-0.750324937520002,-0.252275518664245,-0.035206496447368,0.203132654247612,0.433995223795291,"partial"
"13","Bourgogne-Franche-Comté: residential",0.95,0.9,"mean",-0.71097806484867,-0.257103052511817,-0.0395642257143715,0.204857305583236,0.424397021499699,"partial"
"14","Bourgogne-Franche-Comté: transit",0.95,0.9,"mean",-0.657352170573145,-0.281700399663192,-0.0395032906100546,0.167141173016114,0.38402302251649,"partial"
"15","Bourgogne-Franche-Comté: grocery",0.95,0.9,"mean",-0.554019509031259,-0.244071181786963,-0.052260791784751,0.215616926815778,0.429594441417383,"partial"
"16","Bourgogne-Franche-Comté: parks",0.95,0.9,"mean",-0.655728071964643,-0.239809458857561,-0.0295271300812417,0.188932630826664,0.390545636742611,"partial"
"17","Bourgogne-Franche-Comté: retail",0.95,0.9,"mean",-0.667577212276507,-0.319248245468799,-0.0386821116349549,0.24368064900142,0.42274035749022,"partial"
"18","Bourgogne-Franche-Comté: workplace",0.95,0.9,"mean",-0.552171986917546,-0.223689424320409,-0.0289499824568038,0.207878326629659,0.367412667222741,"partial"
"19","Bretagne: residential",0.95,0.9,"mean",-0.547032790604353,-0.252135250883094,-0.0310925599136584,0.244180898075291,0.422914914015122,"partial"
"20","Bretagne: transit",0.95,0.9,"mean",-0.714692034177707,-0.251782073844048,-0.0702905733504923,0.233406500929691,0.468694619003757,"partial"
