"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19","France-EHPAD"
"1",2.94573935000873,2.49089674165278,3.19600408685098,2.93216095480488,1.70753822939101,2.94236383290217,2.88299827508614,3.80329008963897,3.35845721076087,2.12280334564372,2.60882165128252,4.41230113835628,3.91522886835755,3.89596858476147,3.9402812468536,8.08085691006641
"2",2.51960803224895,2.15809700218298,3.17150580555161,2.85920217264842,1.34902045612674,2.49331794901925,2.56589927700435,4.14553954352408,3.54649288995722,2.41393147104149,2.79819662534245,4.61266459001843,3.89912302458816,3.46175268629422,4.11937392060659,7.39697063983301
"3",2.89396046797228,2.56138501570394,3.16533898285385,3.53623799601219,1.69870273525892,2.55255967105503,2.859561402959,3.63125430542206,3.11261319163763,2.30423929994022,2.58963916129007,4.05257038830995,4.46756859699168,3.37644528677633,3.68152826598134,5.77155693194852
"4",3.34334802266117,3.42528494322114,2.42109839513372,2.98745812536929,1.46394707752617,2.29011896165331,2.65228171565797,3.95794216283022,2.2132096818373,2.29458227501188,2.06804893096757,4.25491682990684,4.11395041608647,3.57596117612326,4.1489203682359,5.79242263318062
"5",3.02716294738514,2.50662632820853,3.52178060233956,3.43535759161348,1.47330334819056,2.57063001166746,2.59821597879357,3.47901231209683,2.99587765287784,2.50920409743822,3.22051899421614,4.11106999643081,4.63847393564436,3.70553960523955,4.27725618018713,8.37916459931142
"6",3.17084144852414,2.62265131066805,2.95495975442099,3.8875393874039,2.18659424354916,2.58097765335614,2.60376346407343,3.05744332553666,2.88268230192818,2.24654232850006,2.0824671758827,4.30899757145747,3.59957644088652,3.44499137138645,3.82412761321552,7.25316092923828
"7",2.97042576096078,2.19446626484331,3.00118482136289,2.77198084886838,1.72287320509831,2.45904935508515,2.76961887516392,3.81695251556163,2.94599083346849,2.32024936754332,2.94719731671908,4.60486320717292,4.21732170463549,3.86211938035516,4.61773730546058,7.62935228002314
"8",2.89094107038995,2.87828982312803,2.59029249667881,2.21572878860585,1.00509483230049,2.40886486579085,2.90516514139397,3.49178589157035,3.24417585861744,2.22443072022619,3.71285930025958,5.24013701904942,4.23574421532368,3.53735229773672,4.31065786178409,7.13310759173295
"9",2.76112036260069,2.91362888174252,2.78042779176149,2.43038360290258,2.2240111923358,3.02099364368055,2.68985299960389,3.40569721853088,2.21901580830256,2.29397427151898,2.94550635829133,4.34508047566633,4.4514880698262,3.28337965876195,3.82657887845813,7.86577213883152
"10",2.46987553426847,2.49150508223248,3.1871660514957,4.14957144055163,1.47896694770624,2.33787697234228,2.99587350358894,3.99122834312395,2.66815630873609,2.21765336739865,1.99728107096187,3.71611902245263,4.21315998785961,3.53370962488436,4.1916451927563,8.32621752119497
"11",3.01231316201551,1.94898860483604,3.77833688520069,2.52280417027322,1.88463976950556,2.68050612504175,3.10682090333459,3.65363677072788,2.65900796255617,1.98725139677312,2.47516887287398,3.52682074560978,3.94333171271061,3.62494950087697,4.05021521242927,7.19041206218096
"12",2.90538006667418,2.28847038523218,3.59610614982365,3.87981329127097,2.75715486428755,2.69517332989798,2.7010055937878,3.62808124960776,2.34528243951488,2.37492213409986,2.31749318422762,3.48448210586058,3.89105499608698,3.55082105856427,4.05660054833258,6.12683729551019
"13",2.80887602928339,2.53347452659981,3.06995879830445,3.42050042473082,2.11690828718727,2.56673127743045,2.62606295176211,3.73560893908671,2.88862649077846,1.92233895821439,3.10812233570781,4.32569252369462,4.19024708146893,3.87203956363656,4.15842292575143,6.26015284354911
"14",2.79582553598668,2.34105741749844,2.7098046473895,2.40906545043919,1.60571794406317,2.59191345436368,2.44681622219092,3.28225683799451,3.2074243940017,2.4262866595508,2.62760423854226,4.23354220646668,4.57119848287296,3.75188717732762,4.31488023405319,7.1445050905423
"15",2.64020512756996,2.17467163799247,2.60308712533063,2.88901612734963,1.72557270994023,2.41188540336473,2.81184174630801,2.96305252758798,2.78206684045101,2.58409749315626,3.26139081759683,4.59371223316974,4.39709937512655,3.76982827078145,4.37378480201721,6.93326094810796
"16",3.06193740784285,2.36450273829059,3.23308975436272,2.83410901080437,1.39786631620927,2.48615651697326,2.85926969662535,3.42168509468474,2.47480397063203,2.40764558776556,2.60258090612649,3.4200499900514,3.99655366184103,3.55852041332475,4.05713070460863,7.3251977632216
"17",3.26164147127837,2.31742112339766,3.37502587347284,3.56117333125247,1.77139787769298,2.50996915896653,2.88449248345754,4.01530843871749,2.43584735915112,2.22199008180415,3.41683834610698,4.43980479134266,4.11986076883887,3.62175687026526,4.04363181755175,7.05648964130177
"18",2.71560702210146,2.77284603180428,2.98424884045368,2.93835118842055,1.75145722463918,2.90610472229597,2.73301822689254,3.15967148596272,2.89179977010211,2.28508526514774,3.32421290180495,3.72836459789795,4.30474089354357,4.03687646249439,4.02624792591651,6.4315954340321
"19",2.82377253276934,2.57554562314576,3.67673256619064,2.1507001345854,1.24106035443444,2.63118045324536,2.72471210062134,3.35266259100322,2.14868348023941,2.56994371081217,3.37339553549234,4.2654434129802,4.295802254061,3.39939679538814,4.03148948444849,6.42400271711402
"20",2.64688962576546,2.53460577105736,2.58872947684196,3.37966262282396,1.74431864488032,2.87587125175268,2.62922630052279,2.84537094688065,3.81694232851245,2.1058283887702,3.03340907580647,4.77122358767516,5.02490528007354,4.09089308771836,3.69094197517198,6.96789122036084
