"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19","France-EHPAD","Denmark","Italy","Germany","Spain","United_Kingdom","France","Norway","Belgium","Austria","Sweden","Switzerland","Greece","Portugal","Netherlands"
"3564",2.94274156833928,3.26645194509796,2.72825205350091,3.66495138608246,2.07573898284967,3.21180459475115,2.57344974282943,3.74869680926047,4.02218727458714,3.09682445049798,3.32824092477404,4.61617251694905,3.31235225476983,3.72925364560443,4.2787351481089,6.72062738214363,4.17565399498006,3.12987717661918,4.6328942639991,6.57711642463375,4.14170814098777,4.25290033326472,3.40651414470235,6.89614873189036,4.25463072133928,2.28431980844195,2.91437190945487,2.41509607864149,3.55820286275532,3.2096406928193
"3565",3.32936007682543,2.9071274162556,3.11483234494894,4.00020499262485,2.33813874494059,2.37632377651305,2.28137536059535,3.20008372608173,4.01055744356687,2.48886305999774,3.01510328794807,4.30058436848496,4.07139046065365,3.34222404781005,4.02121360788602,7.46735228432353,3.95388916694769,3.44726060878783,4.84444557419516,4.53356759752932,4.3676115768668,4.62586734503444,3.06500190886113,5.35751407956634,4.46634203689231,2.33185434330744,3.17760234051581,2.21259127870404,3.87936069818611,3.35598513938084
"3566",3.28568776056488,2.80346172885116,3.30012937006246,3.61364493925812,2.16192381361271,2.50737215646627,2.59156961925633,4.13005083410957,4.2877940532206,1.92593881999381,2.58344305089537,3.33670139009421,3.86809122742077,4.20406326199943,4.41624219248859,8.86931121231799,3.71286927204987,3.31587657461587,4.40929149533737,4.68966752818792,3.49665778150667,5.01605688852546,2.94788098626444,6.14034976818279,4.27177711986163,1.83235874061432,3.35214728905543,1.66292798427496,3.32014056899298,2.90024331703845
"3567",2.81659727914245,2.58985952552381,2.51659362769145,2.95737577161454,1.39950317659573,2.46171107514836,3.09452914319627,3.63531055658329,3.38692964075267,2.68890272415646,4.27839181989974,3.98155772277095,3.59102667165269,3.81922183460103,4.25508282329484,8.17495982282684,3.01589686047656,3.50268951857922,5.1462706788846,5.31442914431786,4.17187990597067,5.10812070807406,2.87542214794177,5.72126509576552,3.62945536995367,2.51161896257626,3.30192375564108,2.92554949855076,3.41212177433796,4.01828272022645
"3568",3.24734462617302,3.24508961706796,2.90200332057171,3.75654441828327,1.66417682313036,2.51071346428599,2.80675779108887,4.78832106833646,3.22548639691519,2.70270375034055,3.13596525945548,3.97894247694542,3.40991087555693,3.96466915064493,4.16253480943504,6.68377768896711,3.99251059511808,3.45304635274676,4.24057129461104,5.75486626570284,4.20566603632103,4.59072116805525,3.00715786145438,5.90162759247846,3.78919154311951,2.01141644548641,3.25188406589368,1.99437833932863,3.27995185701601,3.20378436949736
"3569",3.17929687681237,2.50857349516668,2.87835089365743,4.04045542254895,1.86398419522335,2.97802719179247,2.59062156310226,2.95185827274351,3.20427517866032,2.48403841146217,2.70843228896048,4.82137388758233,3.62780777768023,3.632402421051,4.25651092245453,6.60514689619855,4.39570338033911,3.11817665727872,4.50264331058869,5.80371379617385,4.43383849510989,4.24788170105652,3.31958927663188,6.8897343290422,4.42283529478718,2.32602288286695,3.38557738706327,2.29247965977547,3.80864132053504,3.3790167395198
"3570",3.56627543233219,3.06730420536382,3.56579550854848,4.43986281098875,1.82164154819843,2.56668068801741,3.02472447579964,3.73172592045589,2.74103370722934,2.66031792862914,3.13313792055169,4.54688170939841,3.68792697756607,4.19330931635799,4.51665040876292,7.67191669930505,3.55243047650027,3.58752759756249,4.16562038779606,4.34830463820078,3.55680586981676,4.54436922221694,2.85817969703548,6.01169150014741,3.86050488919169,1.83697973897728,3.26320172645147,2.15571701272056,3.31506244882648,2.83865024746266
"3571",3.43419971617685,2.77753151452031,2.97458970732975,4.75750103339707,1.6215744806936,2.65407527344225,2.34849590295641,4.21054571155147,3.54619731161091,2.01447272612733,4.2433781646639,4.53225395968986,3.63006110589766,4.42918901264631,4.10040547259864,8.24149467713937,3.5275810517981,3.47249648575596,5.51126002841604,5.45660623115814,4.60130323081983,4.92934186085908,3.30892783166262,6.51032311416943,4.45667435083666,2.19700044935481,3.31915543378924,2.48819783061475,3.92567548609816,3.62772394767854
"3572",3.60750770724806,3.26579770405429,2.5706621491803,3.02869796107636,2.4401813547546,2.88732540528694,3.07452127095777,2.75985076796784,2.79434906144933,2.31252685519771,3.25041093698917,5.03719963769838,3.7612113013753,3.71580441156347,4.53645008117427,8.22152600443272,3.5389674846636,3.35484775909735,5.00923689655974,5.69697558435624,4.26027519061733,4.82439971492553,3.06020988545484,5.09872631914436,3.3081790590919,2.29874549841104,3.74736839565278,1.81632397749294,3.45750415579086,3.4257853736297
"3573",3.31565655155717,3.41348918874201,2.98512109767267,3.40612381326624,1.89874693931646,2.91004838993463,2.58261832378425,4.04319835400809,2.73852200601795,3.02406427308371,3.58831196516582,4.88713571315595,3.30320999457507,3.95785350012108,4.2049573969959,5.45203368596865,3.87065668862558,3.38334981436693,5.42906709486982,4.88236026743293,4.34401843169608,4.20779117986713,3.52130719594339,5.49610009261705,3.14262655047587,2.26295348032745,3.8372255089725,1.89923100352783,3.70809451186682,3.59866296936183
"3574",2.95441459109798,2.88761800170113,3.35378801835016,2.91902791696255,2.67429468531449,2.79808055956144,2.85895135982424,3.60290566207851,3.6097541970138,2.89332234249788,4.67302972885434,4.09447869935147,3.8628624927664,3.36987409928674,4.39569035318393,8.25992122418463,3.36447229225138,3.35621926627938,6.3865586071807,4.59540632677195,4.23143062981658,4.46551988004697,3.02910355353326,6.06137584145434,3.46902223442697,2.313498980918,3.33357002852083,2.056211556988,3.30517429272832,3.75333016528025
"3575",3.07867699325147,2.83160009626749,2.40479675128225,4.06045463982487,1.46185760603537,2.80988384438287,2.51568034597561,3.79685243802355,3.38502735279418,2.43250630457432,4.11211578296535,3.44298352752253,3.54397997775241,3.47928787276741,4.38389018815718,7.80223938573883,3.02962841049803,3.07425635931521,4.25507857893807,4.62394353733677,3.98881327219204,4.44431487527766,2.83013059628108,6.25245294407127,4.47111218930644,2.31597760246606,2.97620876469511,1.95850353590316,3.37368155466251,2.97500974755064
