"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-EHPAD","France"
"1",2.83468641449111,2.83207106314624,3.07240777171443,4.17360020214072,3.26706765046803,3.02289494105772,2.42621263250024,3.23324675208596,2.38536579782614,2.56479108851997,2.70754625017494,4.60794802752247,3.94271274905182,3.44190037110091,8.00003831243491,4.45106927778394
"2",2.86099965830228,2.66416725331076,2.50730948396026,3.12082968229529,1.72161101776894,2.41786075248944,3.01108135609087,2.97701023931291,1.98666344097396,2.59161745705729,2.39318602413692,3.63548275032117,3.68215238985,3.58749042194014,6.33345641413832,4.1638631825479
"3",3.39175856490635,2.41012330133836,2.30418869544059,3.76533659147206,1.44082387762517,2.39070216300637,2.39699236032752,3.84467561932955,2.53953728408667,2.83852990334187,2.29465748429314,3.44191044637158,3.74602805218335,4.15393292371181,7.87291815313928,4.53937543219154
"4",3.40145634671992,2.86620064364083,2.22644765465266,3.67998798569022,0.969439609346722,2.68289532275292,2.48093444528121,2.96680949541398,2.80301271962541,2.85342955897254,2.96838114589957,4.81672853576526,3.25617271623883,3.47461470661508,6.61107425745373,4.42623423522722
"5",3.0406828840086,3.29740840756811,2.65443352579636,3.17083236405591,1.87521721143737,3.16929098592685,2.30400441252698,3.79767305404128,1.90917836020512,2.73847129363937,3.06562267781006,4.17797872711207,3.61691737129791,3.58105533514242,8.92395603459692,4.23252116248466
"6",3.17385730554241,2.77618905208412,2.23106316701808,3.12740182807977,1.59994360764968,2.74763491634283,2.4236023440623,2.8103287052528,2.65518427808766,2.57595609331596,2.23400808746294,4.15159102443512,3.88013390596291,3.56895820342536,7.58209186323639,4.72558032394675
"7",3.01673415623501,2.46981214338461,2.27271675689268,2.82977151283962,1.28919995623697,2.69271372475776,2.4476291459905,3.4239865249277,2.94679560738142,2.13861048630239,1.91847879509855,4.00436624578419,3.78252614625106,4.00994377311833,6.05341735216498,3.92379151475518
"8",2.78275788799776,2.88836499494464,2.08785756322837,3.04716534064508,1.77287948331195,2.3725892867175,2.62817460104408,3.70181192706165,2.58875958108019,2.74241382346877,2.01776405710241,4.10103823894725,3.82017641532758,3.327852400251,7.87952133785494,4.24195538704777
"9",2.98915412665076,2.38601775361435,1.951070491934,2.88823697805108,1.14329095096907,2.28235352238383,2.67607061583998,4.33096211819452,2.4051679329948,2.23054801593469,1.99864351644728,3.90160012434361,3.29719220901174,3.78385946340239,7.70300790608179,4.46539638115259
"10",3.2707608908973,2.90990977564523,3.75598667292886,3.74618370601915,1.06248355486113,3.02773382265764,2.93214842333248,2.96926659707398,3.18132023798617,2.244641385761,1.64207521810289,5.16435588196785,3.1692945837997,3.76257923462108,8.43047517247145,4.06469721496098
"11",3.47363658762146,2.72263740154725,3.76123120121362,2.79579823437814,2.42327372241756,2.79859314869165,2.73700813652041,4.60852457417695,2.65709101001019,2.01449915016912,2.35825798508279,3.73079311196572,3.58909569881178,3.67342669733839,7.13999743970796,4.15541088436096
"12",2.86387275220617,2.69784611354819,2.79538247567212,4.31755843165766,0.944504617245555,2.68830281328893,3.18088253570977,3.82146480885794,3.09372493963214,3.1790276776833,2.11815740736824,3.5954283117071,3.79822963836574,3.54935444642557,8.61666099181965,4.59821481511419
"13",2.40295142381241,2.55823752007149,2.71463063783597,3.82682335578958,1.77010271262886,3.11712148974521,2.52327424341396,4.19220287302982,3.19431754916839,2.03076595403616,2.01478890416394,3.56104627235114,3.70343434799953,3.78930544528508,9.23976327976301,3.60621065437123
"14",3.02424050970318,2.63349466789005,1.82310233859704,3.60611349414328,1.51650817812445,2.57028041870521,2.63846559285452,3.69966657776526,4.04672027127805,2.90136387819373,1.62973728516631,2.55618969829045,2.7288169704983,3.59660415598736,5.54741875242285,4.0982238852396
"15",3.1979911456644,2.95985834366379,3.10754458999505,4.21280547292061,1.48198385320494,2.41771975912336,2.47906950835087,3.62219994641945,3.2367541878123,2.46998285905903,2.5566254956621,4.31376924618936,3.01206895143955,3.59989740852416,7.14014336377918,4.29774635757686
"16",3.06920315932071,2.4092764099871,2.52366296506726,3.7094423230432,1.51046649841076,2.33439336137284,2.65629826089417,2.6475488033995,2.51457839074949,2.4492822848886,1.73042999587672,3.27891908188532,3.14467141024602,3.52303323376166,6.22810358158407,4.12312864536507
"17",3.01330367510458,2.9319492177201,2.48857774765329,2.85013761287539,1.24942651021639,2.70702182551599,2.76252847468252,3.57750035076318,2.93163757727445,2.4662873145627,1.75523130140488,4.20941182180166,3.84578563215852,3.82928856944377,6.65916322129449,4.07213890443342
"18",3.24008159174705,2.92887500228674,2.85627285265734,4.5523192142538,1.56868297232017,2.63000853082965,2.45366887360906,3.40595862890622,3.24211474068484,2.50978811218687,2.31200228250204,3.63590039561878,3.29609837332372,3.71189149630911,8.52599796450248,4.57052985557457
"19",3.4895525827423,2.87800324672153,2.88377620953852,3.57064309844389,0.757929107860392,2.39417493868362,3.11920370524277,3.74672417764127,3.2753829507014,3.53180549026697,1.89349042752958,4.76971240807967,4.06548597498894,3.88163042614708,6.05755875381358,4.39672349601102
"20",3.2623766187533,2.60826309856932,2.80500516072678,3.1874585195305,2.84803086333531,2.62836819888829,2.65134202031998,3.75390460212087,2.30268202888626,1.66111432965883,4.00900196506489,3.74110972583964,3.58907890001857,3.36591103578819,5.66931212521996,3.7822470876536
