"","Bretagne","Centre-Val de Loire","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","France-hopitaux","France-OC19","France-EHPAD","France"
"1",2.26856255600551,3.0372509132582,1.55121110667328,2.147479540795,2.07388506282174,2.53148764108802,1.73366328256095,2.11199958790511,1.79487217087271,3.24298190424419,3.68461077954424,6.26100517892712,4.22231695671698
"2",2.11632012892391,2.35450263485233,1.06354117173576,2.7459163003062,2.47834415976182,3.32543702652235,1.52562413072894,2.22340482394052,2.36772450996373,3.27231109250047,4.05831737613518,7.59415374295299,4.14511374144874
"3",2.36347338875753,3.48269851321235,1.54728877881196,2.47044074717699,2.56353380725009,3.5406735408114,2.16748767026875,3.2555810508956,2.87142252675611,3.78917160796862,4.17853654016064,7.37294672400357,4.04029804916857
"4",2.24614236030579,2.44748922043532,1.24379581147589,2.88398967282356,2.50438710366703,3.35749915064808,2.24832601851651,2.42528397416638,2.210408056898,3.36570794311124,3.46341903941256,5.88363957238791,3.83545765075217
"5",2.82570758455859,3.31611026301395,1.4131819322899,2.35921251377847,2.49369395200168,3.61229970187654,2.1106734549223,2.33674145316311,1.93730460846972,3.51843041595904,4.37490546967006,7.44907914224738,4.18644616432307
"6",1.78051982525993,3.19956337795545,0.953897672853316,2.82282003037985,2.46938961823518,2.32775067124832,2.20613811584056,2.0080377379715,2.70290469753908,3.3375426296548,4.24750692725725,5.9441758841435,4.33454559185456
"7",2.3576301162648,2.10180409371176,0.759132743564953,2.32942866975991,1.99867237282173,2.4583093597355,2.14128942072543,2.2050523642948,1.61806236131703,2.95602917924981,3.47481250477519,5.47811691616102,3.72810408371355
"8",2.56764666900603,3.1854635763631,1.96518974143114,2.36991762798184,2.31383945270463,4.02111895214766,2.02520009701814,1.97394611086075,2.57586436201755,3.2801870557245,4.04917272702009,7.32216486321661,3.91362444007708
"9",2.36124889591018,2.56103898705895,0.749417007525536,2.47746536325489,2.78189228513005,3.97812226874792,3.33476210809729,2.48887559655772,3.35650129210618,3.49895088745864,4.12115437334484,7.50959104330355,4.03637747106841
"10",3.00895514872589,3.25405001937496,1.05540926452289,2.64666265401843,2.58008570589118,3.3699586119785,3.23500106884609,2.96912089633086,2.87237825692725,3.80420638852311,4.22302230580282,5.86208950131874,3.77719827941428
"11",2.34179553748062,4.13620578275992,1.23632274020708,2.57345614789905,2.13600629150866,2.80469965970199,2.28185482070308,2.66945812789705,2.89132857457367,3.44407824567366,4.13181920037658,7.03503203453446,4.44562712717298
"12",2.41590818396566,2.1299006933385,1.18955498150832,2.47533024931259,2.41085943945794,3.322646513675,2.82609469608217,2.25810528716409,2.85863849523505,3.680097557966,4.06837931748281,6.50670857265227,4.3207973236723
"13",2.77217133296212,2.35420538877415,1.1361014508727,2.31083720921296,2.38189028670388,4.32224480164208,2.90288197938977,2.04855284000584,2.47731964810835,3.39807151087337,3.69601992861925,5.73177676342197,4.16064513504365
"14",2.27721497468165,2.79927075659569,1.12711205998769,2.82148968107448,2.20217648880838,2.75664399690165,2.19006540681968,2.97057291578826,2.57102234358741,3.57629311036629,4.01825880928698,6.14043170055777,4.53612072937315
"15",2.06543578191748,2.70845949440722,1.33130913213226,2.402275023422,2.60450070757144,3.04115162128739,2.04690794773519,1.85128812532753,2.13131230591303,3.43084085085011,3.76674398384883,6.13676462658179,4.00514087220377
"16",2.36546990076154,2.79648803285804,0.670474820839681,2.69724916319694,2.8550250676917,2.93162817258463,3.26761671959873,2.41829106957651,3.34427062252565,3.6281234700904,3.99926989761498,8.27580414878058,4.18074783575326
"17",1.59625606287959,2.56299324669585,1.50583997877335,2.36084748284706,2.5080327917182,3.43339478953847,2.56344562308226,2.47242928205737,2.77895155248995,3.785943894925,3.71452021660617,6.43563660506366,3.85203629523521
"18",3.0262648886548,3.44933511423237,1.68646905329537,2.21968880953265,2.67167560765702,2.4381877836327,2.02111003120943,1.51340259773492,3.13244327018425,3.24352900510064,4.01208550896139,5.88249899559097,3.95064754763824
"19",2.71189402170437,3.2077402910504,0.903740535979033,2.89222511576393,2.67108794158309,4.58148146453893,3.11716469308803,2.42613730333654,3.75192777433515,3.77325529593781,4.51945597556066,7.55474961897634,4.26483893668003
"20",1.76543251360266,3.3643284908006,1.92952940148708,3.14878318519352,2.24993728875935,3.84608939273126,3.81011125248063,2.44545179096016,2.76866714782906,3.72193039405462,3.57084309293822,5.23182325660612,4.3218092097619
"21",2.6023519360329,2.61010386231728,1.78016939142098,2.59852311844405,2.52737440783143,2.58339575057074,2.15396645796744,2.29200638761363,2.37408166072298,3.19871705911082,3.95973763624441,6.8166748054544,3.87727702300485
"22",1.89269008229578,2.8437324733419,2.0616564644757,2.65550472751765,2.24843993112368,3.00544526871498,1.70236623287632,2.14888625338539,2.30998295295059,3.53391998279835,3.41440844990103,5.7508781909706,4.16655656627438
"23",1.64986877298206,2.63675540244173,0.948041260575509,2.39489688056617,2.27426907777209,2.77675503029712,2.06909296923823,1.896760134078,2.63954312297641,3.573970119604,3.80526399417561,5.93300027039276,4.20831963073316
"24",1.91029718656817,3.39043751630382,1.39000674746887,2.80486371561759,2.0296855662832,2.50970905874615,2.90183132075649,1.94817946817182,2.03722294987124,3.27599880704146,4.04162020959338,6.68517976268211,3.75381155267539
"25",2.66539822574757,3.05896964394633,1.34041168534502,2.45947598628543,2.41808154944157,3.96197385430682,2.0155521970899,2.79870729432499,3.12519996058974,3.99578467589898,4.40186227117562,6.98376120187467,3.99713971641192
