"","parameter","outer_width","inner_width","point_est","ll","l","m","h","hh","type"
"1","global: residential",0.95,0.9,"mean",-1.24706572877916,-0.90369675650303,0.0375220090453117,0.611024830982801,0.661314791136197,"pooled"
"2","global: transit",0.95,0.9,"mean",-0.948252122634978,-0.584193138158623,0.161316997242514,0.6481189183711,0.698151629603068,"pooled"
"3","global: grocery",0.95,0.9,"mean",-1.40913763395468,-1.11525562342412,-0.0344168228533514,0.592934855239261,0.656057415754679,"pooled"
"4","global: parks",0.95,0.9,"mean",-0.730485568892421,-0.549436643569102,0.170667319661208,0.641199336533522,0.682506669749033,"pooled"
"5","global: retail",0.95,0.9,"mean",-1.08432845633842,-0.796651030247898,0.0972009983893304,0.641798135075259,0.694450297203455,"pooled"
"6","global: workplace",0.95,0.9,"mean",-1.03182232352651,-0.695857636424075,0.136387160759647,0.65433298106403,0.710130713694676,"pooled"
"7","Auvergne-Rhône-Alpes: transit",0.95,0.9,"mean",-2.0004522953182,-1.13934344348533,-0.117537416338224,0.549293502246826,0.663721299281597,"partial"
"8","Auvergne-Rhône-Alpes: retail",0.95,0.9,"mean",-1.70932702544055,-1.13705799609074,-0.110298964755285,0.568564913112887,0.654834637685244,"partial"
"9","Bourgogne-Franche-Comté: transit",0.95,0.9,"mean",-1.71128010022847,-1.01311269927234,-0.113245444816622,0.532375695470601,0.646610937419585,"partial"
"10","Bourgogne-Franche-Comté: retail",0.95,0.9,"mean",-2.37287938422952,-1.14148522405792,-0.170332363795647,0.540195764640023,0.655905774503888,"partial"
"11","Bretagne: transit",0.95,0.9,"mean",-1.83276758264467,-1.10093408524191,-0.105295101864434,0.578490328716918,0.718163017929011,"partial"
"12","Bretagne: retail",0.95,0.9,"mean",-1.7155598084384,-1.20935388808783,-0.103059230411974,0.584667925000917,0.686379321774896,"partial"
"13","Corse: transit",0.95,0.9,"mean",-1.50194297723946,-1.06426323393954,-0.10763226602422,0.545907305717641,0.63252233154346,"partial"
"14","Corse: retail",0.95,0.9,"mean",-1.42940601754156,-1.02530814516456,-0.0873563653777794,0.562218004476619,0.653816147167386,"partial"
"15","Grand Est: transit",0.95,0.9,"mean",-1.81399881947471,-1.15323911594635,-0.141565613804783,0.487962508120555,0.62788525417448,"partial"
"16","Grand Est: retail",0.95,0.9,"mean",-1.85338569405442,-1.30545242179586,-0.133479399282683,0.542867826160888,0.646951456080892,"partial"
"17","Hauts-de-France: transit",0.95,0.9,"mean",-1.18530538742725,-0.729147187773288,0.00269214155072351,0.636422491380977,0.728042040540527,"partial"
"18","Hauts-de-France: retail",0.95,0.9,"mean",-1.70919762756062,-1.15838973429948,-0.067664868719703,0.60294507996867,0.698465003471054,"partial"
"19","Normandie: transit",0.95,0.9,"mean",-1.70281895599373,-1.2014548281767,-0.130650189012205,0.510240611959914,0.632719083507592,"partial"
"20","Normandie: retail",0.95,0.9,"mean",-1.92435747097334,-1.22728768590107,-0.140270982852326,0.526693942575671,0.630584994885063,"partial"
"21","Nouvelle-Aquitaine: transit",0.95,0.9,"mean",-1.76337176952738,-1.15240763298063,-0.109194547190513,0.544811472623766,0.656869947636796,"partial"
"22","Nouvelle-Aquitaine: retail",0.95,0.9,"mean",-1.78187941249956,-1.2119114538727,-0.136346607841605,0.549421730541271,0.656449781788077,"partial"
"23","Occitanie: transit",0.95,0.9,"mean",-1.99143992884079,-1.37029972832778,-0.157578320315026,0.526847200721438,0.628044518358506,"partial"
"24","Occitanie: retail",0.95,0.9,"mean",-1.52281555956489,-0.931917536654344,-0.099612381767632,0.527729923386631,0.639691751296552,"partial"
"25","Pays de la Loire: transit",0.95,0.9,"mean",-1.82470738651403,-1.08039411131943,-0.108386977109035,0.558895571960308,0.680383271920164,"partial"
"26","Pays de la Loire: retail",0.95,0.9,"mean",-1.76451903724744,-1.10548886387404,-0.12734758957213,0.523953836887339,0.656407897525285,"partial"
"27","Provence-Alpes-Côte d'Azur: transit",0.95,0.9,"mean",-1.72310820151338,-1.18197379895398,-0.116713451433659,0.536832584762866,0.659294622100473,"partial"
"28","Provence-Alpes-Côte d'Azur: retail",0.95,0.9,"mean",-1.91784373702142,-1.19222472413751,-0.147803728763574,0.546021966113373,0.663523803189656,"partial"
"29","Île-de-France: transit",0.95,0.9,"mean",-1.68988087410373,-1.07772227944804,-0.111011850528642,0.533963935734223,0.661212784276596,"partial"
"30","Île-de-France: retail",0.95,0.9,"mean",-1.95555168958463,-1.2528706396328,-0.161515264346571,0.526792771319539,0.619862273944827,"partial"
"31","France-hopitaux: transit",0.95,0.9,"mean",-1.67469106041411,-1.05996209627387,-0.124142202942844,0.487066090287008,0.57703317181523,"partial"
"32","France-hopitaux: retail",0.95,0.9,"mean",-1.85240572167091,-1.14784488794016,-0.133274688211432,0.489517043870861,0.605522375660831,"partial"
"33","France-OC19: transit",0.95,0.9,"mean",-2.26891567659236,-1.29305384279548,-0.169594323151936,0.480630663762263,0.615463154551687,"partial"
"34","France-OC19: retail",0.95,0.9,"mean",-1.91907484517006,-1.26869584562156,-0.187646601797761,0.481117900089535,0.589846229651827,"partial"
"35","Denmark: transit",0.95,0.9,"mean",-1.83710297117435,-1.12024783581467,-0.135874946424328,0.504656856931309,0.590839437287893,"partial"
"36","Denmark: retail",0.95,0.9,"mean",-2.05780183859094,-1.26932515775475,-0.130477991165805,0.567261456369932,0.676237231211715,"partial"
"37","Italy: transit",0.95,0.9,"mean",-0.958511634781333,-0.652214957664339,0.0486741810652445,0.666987102661748,0.744676315852651,"partial"
"38","Italy: retail",0.95,0.9,"mean",-1.05208556633561,-0.654389382689226,0.0270982440082363,0.627633105785776,0.702539118131475,"partial"
"39","Germany: transit",0.95,0.9,"mean",-2.19573590869897,-1.37446172974373,-0.195976273439511,0.49239317676526,0.581230196826107,"partial"
"40","Germany: retail",0.95,0.9,"mean",-2.1081591817086,-1.25006876395014,-0.145435714879744,0.540642211800421,0.632966414048726,"partial"
"41","Spain: transit",0.95,0.9,"mean",-1.57524165916261,-1.01052243431433,-0.099292521271965,0.555798053507709,0.645329481338315,"partial"
"42","Spain: retail",0.95,0.9,"mean",-2.07327025104701,-1.24875352846814,-0.176246918588626,0.511931303124643,0.619856953634793,"partial"
"43","United_Kingdom: transit",0.95,0.9,"mean",-1.78540315693514,-1.14767375075023,-0.128928538478442,0.557083730792365,0.64120868804992,"partial"
"44","United_Kingdom: retail",0.95,0.9,"mean",-1.854653958298,-1.16131968705385,-0.11320122656459,0.565720714622498,0.67819907816232,"partial"
"45","France: transit",0.95,0.9,"mean",-1.90805254025656,-1.16971818949438,-0.131287119727648,0.544336384660461,0.664810141833336,"partial"
"46","France: retail",0.95,0.9,"mean",-1.72598090310934,-1.15452559609208,-0.15406491712869,0.502749450600309,0.600977120178145,"partial"
"47","Belgium: transit",0.95,0.9,"mean",-1.65894876165258,-1.09201055826815,-0.115745824856203,0.509437047733941,0.607344085045223,"partial"
"48","Belgium: retail",0.95,0.9,"mean",-1.73137113450308,-1.2334760956627,-0.124789701472636,0.542134255434216,0.666214060274791,"partial"
"49","Austria: transit",0.95,0.9,"mean",-2.0411341916968,-1.37669479014094,-0.135295712010729,0.529667960878868,0.635143597099916,"partial"
"50","Austria: retail",0.95,0.9,"mean",-1.98903409099689,-1.11856735744757,-0.138479024191149,0.544285695099745,0.659699097462127,"partial"
"51","Sweden: transit",0.95,0.9,"mean",-1.74548878412942,-1.13987141314171,-0.0963885713521358,0.579335438284226,0.667965144239969,"partial"
"52","Sweden: retail",0.95,0.9,"mean",-1.62833149554791,-1.09444786060927,-0.127898821287293,0.552720884178406,0.637683708575282,"partial"
"53","Switzerland: transit",0.95,0.9,"mean",-1.62387472702701,-0.972053204936528,-0.088878215143623,0.506464834348309,0.61265660991079,"partial"
"54","Switzerland: retail",0.95,0.9,"mean",-1.78160990722899,-0.964812786756857,-0.107864692272938,0.570961064514086,0.678338204289605,"partial"
"55","Greece: transit",0.95,0.9,"mean",-1.83963674263001,-1.11669776119869,-0.102953988553185,0.565245582983289,0.689980426711804,"partial"
"56","Greece: retail",0.95,0.9,"mean",-1.58991043392835,-1.11530141576312,-0.115080666937637,0.562959660478913,0.67348130083072,"partial"
"57","Portugal: transit",0.95,0.9,"mean",-1.91194020010514,-1.1638737389161,-0.126663110190096,0.561708040692666,0.673395377733461,"partial"
"58","Portugal: retail",0.95,0.9,"mean",-1.56108140831948,-1.10042833389197,-0.0973158979184835,0.52483724583561,0.645780069660371,"partial"
"59","Netherlands: transit",0.95,0.9,"mean",-1.88257883611354,-1.14514948270261,-0.137547029539073,0.529364311534699,0.641548835241577,"partial"
"60","Netherlands: retail",0.95,0.9,"mean",-1.84554348054318,-1.11262453388288,-0.123319934527181,0.5471304365232,0.666159810692944,"partial"
