"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","rt","rt_min","rt_max"
"26",2020-03-17,"Denmark",57,932,24563.7992370352,15903.5045516258,36424.353559411,1418.50466195478,1071.21155020863,1831.96426220565,0,1,11.2644889290926,5.86071065345243,19.7959558414245,2.37175343522372,1.50032781282195,3.57102869583217,0.85058064449372,0.686310351809952,1.01901029425214
"27",2020-03-18,"Denmark",92,1024,25700.9561437184,16627.275888071,38168.4912547037,1137.15690668318,723.77133644516,1744.13769529276,3,4,14.1588804624087,7.76667172800242,24.0009393046049,2.89439153331602,1.90596107455,4.20498346318037,0.678623334366198,0.411818075598033,1.05689895887093
"28",2020-03-19,"Denmark",91,1115,27025.1317752061,17633.6047037755,39885.4798765451,1324.17563148774,1006.32881570456,1716.98862184135,0,4,17.6430029564534,10.1444079420872,28.9211378143809,3.48412249404472,2.3777362140848,4.920198509776,0.790251018491569,0.657404575694596,0.926388760257381
"29",2020-03-20,"Denmark",36,1151,28112.3465993071,18420.758300868,41360.5793772272,1087.21482410101,787.153597092464,1475.09950068208,2,6,21.7784600184395,13.0706021592014,34.596802269749,4.13545706198611,2.92619421711414,5.67566445536812,0.666698876657069,0.494279780802807,0.853302319679914
"30",2020-03-21,"Denmark",104,1255,29572.0263717379,19527.8703037793,43257.0183204208,1459.67977243075,1107.11200291133,1896.43894319361,3,9,26.6176064475252,16.5577849709624,41.1482895729812,4.83914642908568,3.48718281176103,6.55148730323216,0.921585021117353,0.783999848428737,1.06097952884653
"31",2020-03-22,"Denmark",71,1326,30780.7066857042,20386.830317154,44941.2035012661,1208.68031396635,858.960013374711,1684.1851808453,4,13,32.1941823842022,20.6523169641526,48.5690188635258,5.57657593667698,4.09453199319022,7.42072929054464,0.792677889757524,0.601911387348858,1.00418211278352
"32",2020-03-23,"Denmark",69,1395,31844.847494846,21137.5179349286,46416.8264108756,1064.14080914174,750.687617774511,1475.62290960954,0,13,38.524920651756,25.3455380784499,56.9064517897836,6.33073826755387,4.69322111429729,8.33743292625783,0.719801716324616,0.543632554425439,0.907374932203277
"33",2020-03-24,"Denmark",65,1460,32881.1846805557,21881.7263396112,47828.5033605866,1036.33718570972,744.208404682603,1411.67694971095,11,24,45.6227476752906,30.6511553382491,66.2059958929752,7.09782702353457,5.30561725979919,9.29954410319157,0.723573572747933,0.564220253396876,0.885495111514078
"34",2020-03-25,"Denmark",131,1591,33915.1216262707,22623.5659838695,49239.1293091563,1033.93694571501,741.839644258348,1410.62594856978,8,32,53.4791914736228,36.5558189398851,76.3802144699844,7.85644379833219,5.904663601636,10.1742185770092,0.747810472308478,0.593047928004689,0.904149350846611
"35",2020-03-26,"Denmark",133,1724,34926.658817909,23375.9501935124,50580.8773031406,1011.53719163826,752.384209642856,1341.74799398422,2,34,62.0619842251681,43.0553804285488,87.3990368357141,8.58279275154531,6.4995614886637,11.0188223657296,0.76172047847872,0.634441306202279,0.894249267875993
"36",2020-03-27,"Denmark",153,1877,35843.2573415776,24048.4507059759,51810.6927994788,916.598523668618,672.500512463526,1229.81549633825,7,41,71.3287884117553,50.1182756765924,99.2513721094257,9.26680418658714,7.06289524804363,11.8523352737116,0.717967824318335,0.593810808561241,0.849562796830333
"37",2020-03-28,"Denmark",169,2046,36954.2232015319,24857.0202836555,53335.5098919517,1110.96585995431,808.569577679604,1524.81709247295,11,52,81.2374252273776,57.7285237127831,111.807346293597,9.90863681562237,7.61024803619069,12.5559741841718,0.905278246762884,0.751362523266579,1.05853425196926
"38",2020-03-29,"Denmark",155,2201,37889.3096604157,25435.416142925,54767.3183283134,935.086458883783,578.395859269501,1431.80843636163,13,65,91.7206847636717,65.8504113043386,125.021215522862,10.4832595362941,8.12188759155547,13.2138692292642,0.786882205025103,0.578479528355543,1.02689416832609
"39",2020-03-30,"Denmark",194,2395,38752.7445909696,25984.0618303776,56017.0287505197,863.434930553898,548.645687452644,1249.71042220635,7,72,102.722622038514,74.4787777150924,138.805073976317,11.0019372748421,8.62836641075387,13.7838584534552,0.749131928214463,0.583284869107035,0.925354080722354
"40",2020-03-31,"Denmark",182,2577,39755.3964148949,26691.2786550338,57397.1364919544,1002.65182392536,707.216824656116,1380.10774143463,5,77,114.180332974265,83.5133191501811,153.129743695042,11.4577109357508,9.03454143508868,14.3246697187247,0.901664950273399,0.77773287406239,1.02974339545874
"41",2020-04-01,"Denmark",283,2860,40576.8942061388,27134.5655512492,58752.7425758372,821.497791243884,443.286896215421,1355.60608388288,13,90,126.012588104297,92.9290529404849,167.843760215197,11.8322551300327,9.41573379030377,14.7140165201555,0.752379339488875,0.505483131699617,1.06678894472059
"42",2020-04-02,"Denmark",247,3107,41301.4663928697,27503.6872675821,59992.2940972328,724.572186730844,369.121716332916,1239.55152139552,14,104,138.155982686315,102.637973564429,182.856920081923,12.1433945820177,9.70892062394365,15.0131598667258,0.68011274655447,0.437814299227197,0.994910567406103
"43",2020-04-03,"Denmark",279,3386,42015.7499046808,27887.3379927655,61160.8315902009,714.283511811105,383.650725183365,1168.53749296816,19,123,150.535024648415,112.557275745439,198.086810401019,12.3790419620996,9.91930218101076,15.2298903190957,0.692998318495172,0.498251231308401,0.911312832285577
"44",2020-04-04,"Denmark",371,3757,42979.7148010011,28508.9612032827,62596.6552924923,963.96489632033,621.62321051729,1435.82370229138,16,139,163.0947447796,122.691035546157,213.442657443815,12.5597201311851,10.1337598007173,15.3558470427963,0.981816573745529,0.836071593669774,1.12807415950613
"45",2020-04-05,"Denmark",320,4077,44098.1475815337,29253.9611880719,64219.1750799373,1118.4327805326,744.99998478911,1622.51978744498,22,161,175.769807219151,133.001650435476,228.819573733964,12.6750624395513,10.3106148893197,15.376916290149,1.20314762330427,0.776373875274583,1.65593058491771
"46",2020-04-06,"Denmark",292,4369,45051.0105908717,29831.7644638581,65642.1389286179,952.863009337994,577.803275786231,1422.96384868058,18,179,188.501876634171,143.402429100211,244.209645831483,12.7320694150199,10.4007786647352,15.3900720975187,1.05255759751132,0.594595978568808,1.57306912223223
"47",2020-04-07,"Denmark",312,4681,46046.1433476065,30383.3216605351,67191.1817960021,995.132756734818,551.557196677065,1549.04286738421,8,187,201.251187937496,153.886312990851,259.539934137539,12.7493113033246,10.4838838906394,15.3302883060568,1.10422281340713,0.569500999613046,1.75094192000397
"48",2020-04-08,"Denmark",390,5071,47033.9130151902,30967.9644888492,68696.848471218,987.76966758368,584.642828314028,1505.66667521589,16,203,213.959937150782,164.382323440673,274.76523624961,12.7087492132868,10.496010449822,15.225302112071,1.07986292720973,0.649205674495254,1.55369138385962
"49",2020-04-09,"Denmark",331,5402,47708.3197051077,31336.7017389285,69789.5577831658,674.406689917525,368.737250079355,1092.70931194786,15,218,226.594388770975,174.821731836624,289.881068945493,12.6344516201924,10.4394083959515,15.115832695883,0.723455829853011,0.445893291680771,1.01286326634008
"50",2020-04-10,"Denmark",233,5635,48289.3213607063,31662.3264482682,70738.6636372485,581.001655598627,325.624709339621,949.105854082654,19,237,239.11976670706,185.243632985792,304.821872566371,12.5253779360853,10.4219011491676,14.9408036208773,0.614978441056373,0.456020887592845,0.78045837574898
"51",2020-04-11,"Denmark",184,5819,49250.8106732403,32260.2034529756,72233.447827547,961.489312533924,597.877004707436,1494.78419029852,10,247,251.516163976601,195.549665403547,319.647167184067,12.3963972695407,10.3060324177554,14.8252946176961,1.03637824146568,0.852847011475323,1.21782041686151
"52",2020-04-12,"Denmark",177,5996,50389.5842219651,32895.4855578025,74078.0671886714,1138.77354872481,635.282104826927,1844.61936112444,13,260,263.756950835745,205.759182197321,334.256521951889,12.2407868591438,10.2095167937738,14.6093547678223,1.25985453776051,0.895785179375207,1.63177291406976
"53",2020-04-13,"Denmark",178,6174,50918.823580602,33175.6607064189,74989.2522462866,529.239358636918,280.175148616431,911.185057615186,13,273,275.822108689101,215.811554007696,348.571263236576,12.0651578533565,10.0523718103751,14.3147412846873,0.589846178807151,0.413334369655548,0.785191009728704
"54",2020-04-14,"Denmark",144,6318,51763.5946468432,33647.98996073,76368.5829976831,844.771066241242,472.329254311043,1379.33075139646,12,285,287.709849106485,225.722131209676,362.689112837566,11.8877404173835,9.9105772019799,14.1178496009896,0.94541960494127,0.79407675621251,1.09350556739909
"55",2020-04-15,"Denmark",193,6511,52621.2431333587,34137.4508676034,77769.1498612552,857.648486515504,489.460906873415,1400.56686357207,14,299,299.409248716176,235.474562256621,376.676997310958,11.6993996096914,9.75243104694508,13.9878844733922,0.975908480639075,0.847593423926,1.10710320132506
"56",2020-04-16,"Denmark",170,6681,53530.4829950721,34615.1757878851,79299.1345879442,909.239861713363,477.724920281665,1529.98472668906,10,309,310.918751875638,245.0617368385,390.449448907944,11.509503159462,9.58717458187855,13.7724515969855,1.04521168776442,0.827577861476941,1.25150363587711
"57",2020-04-17,"Denmark",198,6879,54468.0448591597,35051.5555953286,80958.5269143777,937.561864087583,436.37980744355,1659.39232643351,12,321,322.23373415798,254.444652301752,403.998746836327,11.3149822823425,9.38291546325206,13.5492979283839,1.08282986628597,0.740070630784105,1.43746694906547
"58",2020-04-18,"Denmark",194,7073,55701.0190874602,35598.1793901142,83195.1660335218,1232.97422830053,546.623794785604,2236.63911914403,15,336,333.357569562308,263.634055706043,417.383747337922,11.1238354043272,9.18940340429129,13.3850005015942,1.42575164293449,0.917420095121487,1.97336986995488
"59",2020-04-19,"Denmark",169,7242,56988.0125647419,36121.1699589612,85627.148905297,1286.99347728172,522.99056884699,2431.98287177519,10,346,344.297626904061,272.635605736651,430.60798409269,10.9400573417534,9.00155003060795,13.2242367547684,1.46367289144475,0.880194011717217,2.10652684585717
"60",2020-04-20,"Denmark",142,7384,58261.4126901843,36633.4859504503,88026.0143926581,1273.4001254424,512.315991489098,2398.86548736115,9,355,355.05295014679,281.451829680331,443.675465107168,10.7553232427295,8.81622394367961,13.0674810144784,1.39442490827268,0.894168071860925,1.92561749763185
"61",2020-04-21,"Denmark",131,7515,59710.8716526265,37138.7374864604,90930.0253898095,1449.45896244215,505.251536010126,2904.01099715139,9,364,365.637884791298,290.073042843535,456.626263573903,10.5849346445076,8.62121316320405,12.9507984667345,1.5005067941305,0.865605437528727,2.20438498386385
"62",2020-04-22,"Denmark",180,7695,61243.0992481812,37662.0320125507,94062.4215695391,1532.22759555473,523.2945260903,3132.39617972962,6,370,376.063360525947,298.504640428335,469.464286749916,10.4254757346484,8.4315975847999,12.8380231760133,1.49619047867827,0.917929548286138,2.12581545282508
"63",2020-04-23,"Denmark",217,7912,62959.7765841777,38106.7538684187,97997.0654481655,1716.67733599649,444.721855867926,3934.6438786264,14,384,386.332711755834,306.733543140716,482.239672039122,10.2693512298873,8.2289027123812,12.7753852892056,1.54999204917223,0.791584205466482,2.45872052501447
"64",2020-04-24,"Denmark",161,8073,64391.1983736911,38576.8107413251,101015.595279921,1431.42178951345,470.056872906445,3018.52983175577,10,394,396.463036330457,314.77035160178,495.034476449181,10.1303245746232,8.03680846106379,12.7948044100597,1.22508451795084,0.870142780884866,1.59108228090755
"65",2020-04-25,"Denmark",137,8210,66371.7631326105,39093.4735079693,105671.370293415,1980.56475891937,516.662766644194,4655.77501349376,9,403,406.478624114567,322.610994166127,507.818923684791,10.0155877841097,7.84064256434775,12.78444723561,1.56664082248589,0.984104129590594,2.2072689196904
"66",2020-04-26,"Denmark",235,8445,68114.267387896,39633.6638408688,109564.300707135,1742.50425528545,540.190332899517,3892.93041372002,15,418,416.405315645297,330.253837334802,520.688197400888,9.92669153073034,7.64284316867426,12.8692737160962,1.32136179878787,1.00740631948629,1.65950259513751
"67",2020-04-27,"Denmark",130,8575,69804.1417561322,40222.3998366044,113104.060031553,1689.87436823623,588.735995735585,3539.75932441844,4,422,426.269415479421,337.754435136303,533.628385919986,9.8640998341242,7.5005978015013,12.9401885190986,1.23099767974569,1.08714413180495,1.38695512625518
"68",2020-04-28,"Denmark",123,8698,72027.1531379226,40820.8619279381,118374.010512515,2223.01138179043,598.462091333667,5269.95048096106,5,427,436.106503068142,345.12539465539,546.808161939603,9.83708758872057,7.37095951908656,13.1797760196169,1.4899674242331,1.14320252556318,1.85160692639001
"69",2020-04-29,"Denmark",153,8851,73730.2123197569,41470.8466100728,121835.119379124,1703.05918183424,649.984682134758,3461.10886660938,7,434,445.956440058795,352.365785197764,560.279995437055,9.84993699065311,7.24039054237446,13.471833497452,1.15361639437944,0.904858219263082,1.47255421729568
"70",2020-04-30,"Denmark",157,9008,75571.314819438,42155.0774470566,125627.635272179,1841.10249968118,684.230836983745,3792.51589305502,9,443,455.850087273619,359.506240352988,574.142529186506,9.89364721482435,7.1404551552243,13.8625337494512,1.1870023705982,0.934505501836922,1.50995042509394
"71",2020-05-01,"Denmark",150,9158,77469.0136725256,42728.7372648258,129958.785131238,1897.69885308759,573.65981776924,4331.14985905862,9,452,465.838185995567,366.508688650752,588.38242491465,9.9880987219479,7.00244829776327,14.2398957281442,1.13755066357036,0.988234551561307,1.28923377944884
"72",2020-05-02,"Denmark",153,9311,79994.1436881814,43458.6840628976,135798.476872009,2525.13001565575,729.946798071731,5839.69174077177,10,462,475.964232348053,373.361385482168,603.066687160506,10.1260463524858,6.85269683141674,14.6842622458555,1.45842777798301,1.22735259735027,1.72052374863053
"73",2020-05-03,"Denmark",96,9407,83311.6537356181,44188.769446199,144522.05781896,3317.51004743677,730.085383301411,8723.5809469506,11,473,486.275467655056,380.107427720683,618.457902809227,10.3112353070033,6.74604223851501,15.3912156487208,1.79122122811679,1.17976452629543,2.47359842596968
"74",2020-01-27,"Italy",0,0,21.9307705016798,6.48781896937519,51.3821746165574,21.9307705016798,6.48781896937519,51.3821746165574,0,0,2.19307705016799e-14,6.48781896937519e-15,5.13821746165574e-14,2.19307705016799e-14,6.48781896937519e-15,5.13821746165574e-14,4.30659281903096,3.59763489333273,5.2130702717281
"75",2020-01-28,"Italy",0,0,43.8615410033597,12.9756379387504,102.764349233115,21.9307705016798,6.48781896937519,51.3821746165574,0,0,5.39052739355515e-07,1.61824499790031e-07,1.24803340473132e-06,5.39052717424745e-07,1.61824493302212e-07,1.24803335334915e-06,4.30659281903096,3.59763489333273,5.2130702717281
"76",2020-01-29,"Italy",0,0,65.7923115050395,19.4634569081256,154.146523849672,21.9307705016798,6.48781896937519,51.3821746165574,0,0,9.4334225768638e-06,2.83192863927653e-06,2.18405837349922e-05,8.89436983750828e-06,2.6701041394865e-06,2.05925503302609e-05,4.30659281903096,3.59763489333273,5.2130702717281
"77",2020-01-30,"Italy",0,0,87.7230820067194,25.9512758775008,205.528698466229,21.9307705016798,6.48781896937519,51.3821746165574,0,0,6.22605888844887e-05,1.86907289828933e-05,0.000144147852363208,5.28271663076249e-05,1.58588003436168e-05,0.000122307268628216,4.30659281903096,3.59763489333273,5.2130702717281
"78",2020-01-31,"Italy",3,3,109.653852508399,32.4390948468759,256.910873082787,21.9307705016798,6.48781896937519,51.3821746165574,0,0,0.000291357993790006,8.74661386363335e-05,0.000674562027536595,0.000229097404905517,6.87754096534401e-05,0.000530414175173387,4.30659281903096,3.59763489333273,5.2130702717281
"79",2020-02-01,"Italy",0,3,131.584623010079,38.9269138162511,308.293047699344,21.9307705016798,6.48781896937519,51.3821746165574,0,0,0.000946576571819784,0.000284163810245172,0.00219154656853248,0.000655218578029778,0.000196697671608839,0.00151698454099589,4.30659281903096,3.59763489333273,5.2130702717281
"80",2020-02-02,"Italy",0,3,179.707715353386,56.6025853732529,407.166098702908,48.1230923433072,17.6756715570018,98.873051003564,0,0,0.00243975259908633,0.0007324176566923,0.00564859895730961,0.00149317602726654,0.000448253846447128,0.00345705238877713,4.30658385200524,3.5976195062728,5.2130669004183
"81",2020-02-03,"Italy",0,3,238.522750788871,78.4742116090501,527.364153253183,58.8150354354845,21.8716262357972,120.198054550275,0,0,0.00536556553939878,0.00161082959750285,0.0124222173336058,0.00292581294031245,0.000878411940810552,0.0067736183762962,4.30658054682692,3.59761459271525,5.21306534044633
"82",2020-02-04,"Italy",0,3,312.768000160073,107.073503556202,676.781322356303,74.2452493712021,28.599291947152,149.417169103119,0,0,0.0105181981504498,0.00315897260788555,0.0243463254559309,0.00515263261105102,0.00154814301038269,0.0119241081223251,4.30657650530267,3.59760863744584,5.2130634035635
"83",2020-02-05,"Italy",0,3,408.316367296611,145.778359325865,864.809039177458,95.5483671365377,38.7048557696633,188.027716821155,0,0,0.0188830608729405,0.00567823389576014,0.0436794125391124,0.00836486272249075,0.00251926128787459,0.0193330870831815,4.30657139611673,3.59760130291633,5.21306084676626
"84",2020-02-06,"Italy",0,3,532.027544867923,198.308056418499,1102.598733982,123.711177571312,52.529697092634,237.789694804545,0,0,0.0317893686647559,0.00958929223760806,0.0734099432368972,0.0129063077918153,0.00391105834184792,0.0297305306977848,4.30656480918725,3.59759215417628,5.21305737518981
"85",2020-02-07,"Italy",0,3,692.41273773426,269.37175930628,1402.67954926825,160.385192866337,71.0637028877807,300.080815286246,0,0,0.0508478560674676,0.0154227350555274,0.117075813146131,0.0190584874027117,0.00583344281791934,0.0436658699092342,4.30655626510563,3.59758068830738,5.21305263260201
"86",2020-02-08,"Italy",0,3,900.409000421489,366.173928556313,1778.46669758884,207.996262687229,96.8021692500334,375.787148320595,0,0,0.0779013499306251,0.0238226695777429,0.178576667277261,0.0270534938631575,0.00839993452221546,0.0615008541311293,4.30654516789951,3.59756630220147,5.21304615200477
"87",2020-02-09,"Italy",0,3,1170.22475691554,497.293644396722,2253.92520600202,269.815756494048,131.119715840408,475.458508413176,0,0,0.115344459074708,0.035670532625683,0.26282123761942,0.0374431091440826,0.0118478630479401,0.084244570342159,4.30653075017043,3.59754825036821,5.21303729984265
"88",2020-02-10,"Italy",0,3,1520.35780525422,673.758450312661,2849.36514005219,350.133048338684,176.46480591594,595.439934050172,0,0,0.166361167492261,0.0521888634754423,0.376147684968417,0.0510167084175533,0.0165183308497594,0.113326447348997,4.3065120130429,3.59752560031383,5.21302521045589
"89",2020-02-11,"Italy",0,3,1974.89682136962,913.210981634807,3604.78550391505,454.539016115394,239.452531322145,755.420363862855,0,0,0.234907529559801,0.0749937322160104,0.526110786507127,0.0685463620675396,0.022804868740568,0.14996310153871,4.30648765362916,3.5974971821497,5.213008700804
