"","key","value","x","country","region"
"1","schools_universities",2020-03-14,6.3,"France","Auvergne-Rhône-Alpes"
"2","self_isolating_if_ill",2020-03-16,6.3,"France","Auvergne-Rhône-Alpes"
"3","public_events",2020-03-13,6.3,"France","Auvergne-Rhône-Alpes"
"4","lockdown",2020-03-17,6.3,"France","Auvergne-Rhône-Alpes"
"5","social_distancing_encouraged",2020-03-16,6,"France","Auvergne-Rhône-Alpes"
"6","schools_universities",2020-03-14,6.3,"France","Bourgogne-Franche-Comté"
"7","self_isolating_if_ill",2020-03-16,6.3,"France","Bourgogne-Franche-Comté"
"8","public_events",2020-03-13,6.3,"France","Bourgogne-Franche-Comté"
"9","lockdown",2020-03-17,6.3,"France","Bourgogne-Franche-Comté"
"10","social_distancing_encouraged",2020-03-16,6,"France","Bourgogne-Franche-Comté"
"11","schools_universities",2020-03-14,5.3,"France","Bretagne"
"12","self_isolating_if_ill",2020-03-16,5.3,"France","Bretagne"
"13","public_events",2020-03-13,5.3,"France","Bretagne"
"14","lockdown",2020-03-17,5.3,"France","Bretagne"
"15","social_distancing_encouraged",2020-03-16,5,"France","Bretagne"
"16","schools_universities",2020-03-14,7.3,"France","Centre-Val de Loire"
"17","self_isolating_if_ill",2020-03-16,7.3,"France","Centre-Val de Loire"
"18","public_events",2020-03-13,7.3,"France","Centre-Val de Loire"
"19","lockdown",2020-03-17,7.3,"France","Centre-Val de Loire"
"20","social_distancing_encouraged",2020-03-16,7,"France","Centre-Val de Loire"
"21","schools_universities",2020-03-14,4.3,"France","Corse"
"22","self_isolating_if_ill",2020-03-16,4.3,"France","Corse"
"23","public_events",2020-03-13,4.3,"France","Corse"
"24","lockdown",2020-03-17,4.3,"France","Corse"
"25","social_distancing_encouraged",2020-03-16,4,"France","Corse"
"26","schools_universities",2020-03-14,5.3,"France","Grand Est"
"27","self_isolating_if_ill",2020-03-16,5.3,"France","Grand Est"
"28","public_events",2020-03-13,5.3,"France","Grand Est"
"29","lockdown",2020-03-17,5.3,"France","Grand Est"
"30","social_distancing_encouraged",2020-03-16,5,"France","Grand Est"
"31","schools_universities",2020-03-14,4.3,"France","Hauts-de-France"
"32","self_isolating_if_ill",2020-03-16,4.3,"France","Hauts-de-France"
"33","public_events",2020-03-13,4.3,"France","Hauts-de-France"
"34","lockdown",2020-03-17,4.3,"France","Hauts-de-France"
"35","social_distancing_encouraged",2020-03-16,4,"France","Hauts-de-France"
"36","schools_universities",2020-03-14,8.3,"France","Normandie"
"37","self_isolating_if_ill",2020-03-16,8.3,"France","Normandie"
"38","public_events",2020-03-13,8.3,"France","Normandie"
"39","lockdown",2020-03-17,8.3,"France","Normandie"
"40","social_distancing_encouraged",2020-03-16,8,"France","Normandie"
"41","schools_universities",2020-03-14,6.3,"France","Nouvelle-Aquitaine"
"42","self_isolating_if_ill",2020-03-16,6.3,"France","Nouvelle-Aquitaine"
"43","public_events",2020-03-13,6.3,"France","Nouvelle-Aquitaine"
"44","lockdown",2020-03-17,6.3,"France","Nouvelle-Aquitaine"
"45","social_distancing_encouraged",2020-03-16,6,"France","Nouvelle-Aquitaine"
"46","schools_universities",2020-03-14,4.3,"France","Occitanie"
"47","self_isolating_if_ill",2020-03-16,4.3,"France","Occitanie"
"48","public_events",2020-03-13,4.3,"France","Occitanie"
"49","lockdown",2020-03-17,4.3,"France","Occitanie"
"50","social_distancing_encouraged",2020-03-16,4,"France","Occitanie"
"51","schools_universities",2020-03-14,6.3,"France","Pays de la Loire"
"52","self_isolating_if_ill",2020-03-16,6.3,"France","Pays de la Loire"
"53","public_events",2020-03-13,6.3,"France","Pays de la Loire"
"54","lockdown",2020-03-17,6.3,"France","Pays de la Loire"
"55","social_distancing_encouraged",2020-03-16,6,"France","Pays de la Loire"
"56","schools_universities",2020-03-14,8.3,"France","Provence-Alpes-Côte d'Azur"
"57","self_isolating_if_ill",2020-03-16,8.3,"France","Provence-Alpes-Côte d'Azur"
"58","public_events",2020-03-13,8.3,"France","Provence-Alpes-Côte d'Azur"
"59","lockdown",2020-03-17,8.3,"France","Provence-Alpes-Côte d'Azur"
"60","social_distancing_encouraged",2020-03-16,8,"France","Provence-Alpes-Côte d'Azur"
"61","schools_universities",2020-03-14,7.3,"France","Île-de-France"
"62","self_isolating_if_ill",2020-03-16,7.3,"France","Île-de-France"
"63","public_events",2020-03-13,7.3,"France","Île-de-France"
"64","lockdown",2020-03-17,7.3,"France","Île-de-France"
"65","social_distancing_encouraged",2020-03-16,7,"France","Île-de-France"
"66","schools_universities",2020-03-14,6.3,"France","France-hopitaux"
"67","self_isolating_if_ill",2020-03-16,6.3,"France","France-hopitaux"
"68","public_events",2020-03-13,6.3,"France","France-hopitaux"
"69","lockdown",2020-03-17,6.3,"France","France-hopitaux"
"70","social_distancing_encouraged",2020-03-16,6,"France","France-hopitaux"
"71","schools_universities",2020-03-14,7.3,"France","France-OC19"
"72","self_isolating_if_ill",2020-03-16,7.3,"France","France-OC19"
"73","public_events",2020-03-13,7.3,"France","France-OC19"
"74","lockdown",2020-03-17,7.3,"France","France-OC19"
"75","social_distancing_encouraged",2020-03-16,7,"France","France-OC19"
"76","schools_universities",2020-03-14,20.3,"France","France-EHPAD"
"77","self_isolating_if_ill",2020-03-16,20.3,"France","France-EHPAD"
"78","public_events",2020-03-13,20.3,"France","France-EHPAD"
"79","lockdown",2020-03-17,20.3,"France","France-EHPAD"
"80","social_distancing_encouraged",2020-03-16,20,"France","France-EHPAD"
"81","schools_universities",2020-03-13,6.3,"Denmark","Denmark"
"82","self_isolating_if_ill",2020-03-12,6.3,"Denmark","Denmark"
"83","public_events",2020-03-12,6,"Denmark","Denmark"
"84","lockdown",2020-03-18,6.3,"Denmark","Denmark"
"85","social_distancing_encouraged",2020-03-13,6,"Denmark","Denmark"
"86","schools_universities",2020-03-05,6.3,"Italy","Italy"
"87","self_isolating_if_ill",2020-03-09,6.3,"Italy","Italy"
"88","public_events",2020-03-09,6,"Italy","Italy"
"89","lockdown",2020-03-11,6.3,"Italy","Italy"
"90","social_distancing_encouraged",2020-03-09,5.7,"Italy","Italy"
"91","schools_universities",2020-03-14,10.3,"Germany","Germany"
"92","self_isolating_if_ill",2020-03-06,10.3,"Germany","Germany"
"93","public_events",2020-03-22,10.3,"Germany","Germany"
"94","lockdown",2020-03-22,10,"Germany","Germany"
"95","social_distancing_encouraged",2020-03-12,10.3,"Germany","Germany"
"96","schools_universities",2020-03-13,7.3,"Spain","Spain"
"97","self_isolating_if_ill",2020-03-14,7.3,"Spain","Spain"
"98","public_events",2020-03-14,7,"Spain","Spain"
"99","lockdown",2020-03-14,6.7,"Spain","Spain"
"100","social_distancing_encouraged",2020-03-09,7.3,"Spain","Spain"
"101","schools_universities",2020-03-21,7.3,"United_Kingdom","United_Kingdom"
"102","self_isolating_if_ill",2020-03-12,7.3,"United_Kingdom","United_Kingdom"
"103","public_events",2020-03-24,7.3,"United_Kingdom","United_Kingdom"
"104","lockdown",2020-03-24,7,"United_Kingdom","United_Kingdom"
"105","social_distancing_encouraged",2020-03-16,7.3,"United_Kingdom","United_Kingdom"
"106","schools_universities",2020-03-14,7.3,"France","France"
"107","self_isolating_if_ill",2020-03-16,7.3,"France","France"
"108","public_events",2020-03-13,7.3,"France","France"
"109","lockdown",2020-03-17,7.3,"France","France"
"110","social_distancing_encouraged",2020-03-16,7,"France","France"
"111","schools_universities",2020-03-13,5.3,"Norway","Norway"
"112","self_isolating_if_ill",2020-03-15,5.3,"Norway","Norway"
"113","public_events",2020-03-12,5.3,"Norway","Norway"
"114","lockdown",2020-03-24,5.3,"Norway","Norway"
"115","social_distancing_encouraged",2020-03-16,5.3,"Norway","Norway"
"116","schools_universities",2020-03-14,10.3,"Belgium","Belgium"
"117","self_isolating_if_ill",2020-03-10,10.3,"Belgium","Belgium"
"118","public_events",2020-03-12,10.3,"Belgium","Belgium"
"119","lockdown",2020-03-18,10.3,"Belgium","Belgium"
"120","social_distancing_encouraged",2020-03-14,10,"Belgium","Belgium"
"121","schools_universities",2020-03-14,8.3,"Austria","Austria"
"122","self_isolating_if_ill",2020-03-16,8.3,"Austria","Austria"
"123","public_events",2020-03-10,8.3,"Austria","Austria"
"124","lockdown",2020-03-16,8,"Austria","Austria"
"125","social_distancing_encouraged",2020-03-16,7.7,"Austria","Austria"
"126","schools_universities",2028-08-12,7.3,"Sweden","Sweden"
"127","self_isolating_if_ill",2020-03-10,7.3,"Sweden","Sweden"
"128","public_events",2020-03-29,7.3,"Sweden","Sweden"
"129","lockdown",2028-08-12,7,"Sweden","Sweden"
"130","social_distancing_encouraged",2020-03-16,7.3,"Sweden","Sweden"
"131","schools_universities",2020-03-14,8.3,"Switzerland","Switzerland"
"132","self_isolating_if_ill",2020-03-02,8.3,"Switzerland","Switzerland"
"133","public_events",2020-03-13,8.3,"Switzerland","Switzerland"
"134","lockdown",2020-03-20,8.3,"Switzerland","Switzerland"
"135","social_distancing_encouraged",2020-03-16,8.3,"Switzerland","Switzerland"
"136","schools_universities",2020-03-11,5.3,"Greece","Greece"
"137","self_isolating_if_ill",2020-03-09,5.3,"Greece","Greece"
"138","public_events",2020-03-19,5.3,"Greece","Greece"
"139","lockdown",2020-03-23,5.3,"Greece","Greece"
"140","social_distancing_encouraged",2020-03-16,5.3,"Greece","Greece"
"141","schools_universities",2020-03-14,8.3,"Portugal","Portugal"
"142","self_isolating_if_ill",2020-03-19,8.3,"Portugal","Portugal"
"143","public_events",2020-03-12,8.3,"Portugal","Portugal"
"144","lockdown",2020-03-22,8.3,"Portugal","Portugal"
"145","social_distancing_encouraged",2020-03-12,8,"Portugal","Portugal"
"146","schools_universities",2020-03-14,8.3,"Netherlands","Netherlands"
"147","self_isolating_if_ill",2020-03-12,8.3,"Netherlands","Netherlands"
"148","public_events",2020-03-12,8,"Netherlands","Netherlands"
"149","lockdown",2020-03-23,8.3,"Netherlands","Netherlands"
"150","social_distancing_encouraged",2020-03-12,7.7,"Netherlands","Netherlands"
