"","region","country","IFR"
"1","Ain","France",0.012556187488595
"2","Aisne","France",0.012556187488595
"3","Allier","France",0.012556187488595
"4","Alpes-Maritimes","France",0.012556187488595
"5","Ardèche","France",0.012556187488595
"6","Aube","France",0.012556187488595
"7","Aude","France",0.012556187488595
"8","Aveyron","France",0.012556187488595
"9","Bouches-du-Rhône","France",0.012556187488595
"10","Calvados","France",0.012556187488595
"11","Charente-Maritime","France",0.012556187488595
"12","Cher","France",0.012556187488595
"13","Corrèze","France",0.012556187488595
"14","Côte-d'Or","France",0.012556187488595
"15","Côtes-d'Armor","France",0.012556187488595
"16","Doubs","France",0.012556187488595
"17","Drôme","France",0.012556187488595
"18","Eure","France",0.012556187488595
"19","Eure-et-Loir","France",0.012556187488595
"20","Finistère","France",0.012556187488595
"21","Corse-du-Sud","France",0.012556187488595
"22","Gard","France",0.012556187488595
"23","Haute-Garonne","France",0.012556187488595
"24","Gironde","France",0.012556187488595
"25","Hérault","France",0.012556187488595
"26","Ille-et-Vilaine","France",0.012556187488595
"27","Indre","France",0.012556187488595
"28","Indre-et-Loire","France",0.012556187488595
"29","Isère","France",0.012556187488595
"30","Jura","France",0.012556187488595
"31","Loir-et-Cher","France",0.012556187488595
"32","Loire","France",0.012556187488595
"33","Loire-Atlantique","France",0.012556187488595
"34","Loiret","France",0.012556187488595
"35","Maine-et-Loire","France",0.012556187488595
"36","Manche","France",0.012556187488595
"37","Marne","France",0.012556187488595
"38","Haute-Marne","France",0.012556187488595
"39","Mayenne","France",0.012556187488595
"40","Meurthe-et-Moselle","France",0.012556187488595
"41","Meuse","France",0.012556187488595
"42","Morbihan","France",0.012556187488595
"43","Moselle","France",0.012556187488595
"44","Nord","France",0.012556187488595
"45","Oise","France",0.012556187488595
"46","Orne","France",0.012556187488595
"47","Pas-de-Calais","France",0.012556187488595
"48","Puy-de-Dôme","France",0.012556187488595
"49","Pyrénées-Atlantiques","France",0.012556187488595
"50","Pyrénées-Orientales","France",0.012556187488595
"51","Bas-Rhin","France",0.012556187488595
"52","Haut-Rhin","France",0.012556187488595
"53","Rhône","France",0.012556187488595
"54","Haute-Saône","France",0.012556187488595
"55","Saône-et-Loire","France",0.012556187488595
"56","Sarthe","France",0.012556187488595
"57","Savoie","France",0.012556187488595
"58","Haute-Savoie","France",0.012556187488595
"59","Paris","France",0.012556187488595
"60","Seine-Maritime","France",0.012556187488595
"61","Seine-et-Marne","France",0.012556187488595
"62","Yvelines","France",0.012556187488595
"63","Somme","France",0.012556187488595
"64","Var","France",0.012556187488595
"65","Vaucluse","France",0.012556187488595
"66","Vendée","France",0.012556187488595
"67","Vienne","France",0.012556187488595
"68","Haute-Vienne","France",0.012556187488595
"69","Vosges","France",0.012556187488595
"70","Yonne","France",0.012556187488595
"71","Territoire de Belfort","France",0.012556187488595
"72","Essonne","France",0.012556187488595
"73","Hauts-de-Seine","France",0.012556187488595
"74","Seine-Saint-Denis","France",0.012556187488595
"75","Val-de-Marne","France",0.012556187488595
"76","Val-d'Oise","France",0.012556187488595
"77","Guadeloupe","France",0.012556187488595
"78","France","France",0.012556187488595
