"","Ain","Aisne","Alpes-Maritimes","Ardèche","Aube","Aude","Bouches-du-Rhône","Charente-Maritime","Cher","Côte-d'Or","Doubs","Drôme","Eure-et-Loir","Corse-du-Sud","Gard","Haute-Garonne","Gironde","Hérault","Ille-et-Vilaine","Indre","Indre-et-Loire","Isère","Loire","Loire-Atlantique","Loiret","Maine-et-Loire","Manche","Marne","Meurthe-et-Moselle","Meuse","Morbihan","Moselle","Nord","Oise","Pas-de-Calais","Pyrénées-Atlantiques","Pyrénées-Orientales","Bas-Rhin","Haut-Rhin","Rhône","Haute-Saône","Saône-et-Loire","Sarthe","Haute-Savoie","Paris","Seine-Maritime","Seine-et-Marne","Yvelines","Somme","Var","Vaucluse","Vienne","Vosges","Territoire de Belfort","Essonne","Hauts-de-Seine","Seine-Saint-Denis","Val-de-Marne","Val-d'Oise","Guadeloupe","France"
"2544",2.95406832578105,3.70301139247701,2.67518646133143,2.66634342204963,4.38239059472357,2.46077397386873,4.23877789960641,3.32863370453934,3.98445002130836,1.93515095255562,2.67439794783121,3.39577721695117,3.43607133362412,1.87220006007767,3.59993112799789,3.33077047349553,2.57481947362065,2.76586028376101,2.5185757440227,2.70719883370914,3.97540446655424,2.46373861748433,4.38530608772906,2.77497043765953,3.021656094669,2.49767762428436,3.75864031040722,3.61510071259273,2.74897182071828,2.65313078797336,2.50848515915665,3.12052843326929,3.83999913333414,2.33667764595845,3.75471263128014,2.50105127250946,2.69367027148586,2.99679951900537,2.48063288623338,3.89860204811708,3.96244307517486,2.87990589762821,3.18274382284192,2.18353334316574,3.28238640594665,2.94029500362177,3.35422999154675,3.56458418595934,2.6795213152911,3.97106404914096,3.34534720477325,3.78431767168997,2.59423195298398,3.10382169405307,2.95194540049212,3.79497876712391,2.20522004291753,3.48780287256542,2.53736106252464,4.27057890368314,3.78208165593327
"2545",5.06153101043699,3.39776649039063,4.20715704932858,3.36673118006588,2.62350339920541,3.3184380651213,3.43296633944672,3.44121581558453,3.69481863198475,2.9740849353271,2.9117536278335,3.27283120485313,3.48781210874544,2.4193743852662,2.45764138908701,2.53408690827977,3.79419930195229,3.70600723886706,3.54853579774655,2.87420471959598,3.17980031001781,4.11625886179762,3.06059204744585,3.4371477514688,3.30782298677899,2.40634996865976,2.9371240909382,3.5340891261791,3.6859740442858,2.85680350540979,2.26173908276534,2.68768366662965,3.96423105787515,2.25778631751292,3.42106258533408,2.67987137807625,2.03589605503586,2.23229061129501,2.3012492445726,2.6265286839308,4.38623477412958,1.97450080145089,3.68445991550615,2.38623351545903,4.38263586484649,2.75943800243657,3.72987262408833,3.01145423632273,2.37976110668528,3.14610275782356,3.16751312573073,3.53921555736177,2.51526569886978,2.45002679711711,3.21684631413193,3.16076074796281,3.11334351466311,3.306716068893,2.89090669702718,3.24143429470178,3.40420406204777
"2546",3.85520176950862,2.79950441095021,3.59304526561757,2.71982681065027,3.50395440106365,1.46325447463278,3.15773850140571,1.29672657985559,4.16608572086176,3.22415010863128,3.91546348496986,2.96520550810781,3.40007913025574,3.33669824560894,3.6008314961488,3.4189793610936,3.03286111122931,2.72578076910784,3.70180376644821,3.23579068095793,3.82825259362955,2.45451961229805,3.62877091774883,4.29412606809559,3.44066024207643,2.58559231266513,3.3574397952971,2.64104755007404,2.74292417615716,2.11463135509238,2.91894324571229,2.18378152906092,3.95514424979545,2.17686211107739,3.63687952499209,3.07360524450851,1.3531786463021,2.55408326780729,1.99317095168248,3.62291638833211,3.71242310476546,2.86102291470045,3.65669617321554,2.54987949981287,3.45231359341012,2.28681350649029,3.03060232001109,2.19481402123975,2.00437389633074,2.60582083921655,3.53302743409481,4.10021201428753,2.45691270409964,2.12346936091004,5.77577034486367,3.96320268097266,2.89791667117339,4.08439882596892,3.470601908036,4.90074929192349,4.03725676480216
"2547",2.148903727814,3.84792505051401,2.79878226336989,3.67867626221985,3.47337484149881,1.44775679286696,2.85149330780085,1.07547858865491,3.1048359877447,3.11832647459044,3.55503968070368,2.05969896596791,2.86921819310429,1.76798236885331,1.70814265881382,2.63361804373492,2.47655639253858,2.68007559115438,4.87398738764133,3.04040961065055,3.81508841970343,2.50666225936782,3.67815881049126,3.89651518338443,3.13165776695437,1.97040923764626,3.1441663607331,3.80359825496867,3.10788144700046,2.15408782584626,2.01665920005407,2.13500350757723,3.80535749150794,1.98043524501327,3.61526508479858,2.04868244544081,3.18985462784076,2.01325213481412,1.99027737062339,3.46587214456921,3.5934411514991,1.92429902292488,1.68222740260743,3.62218930389355,3.40518165462335,2.43300041624008,2.57803922205117,3.48464687294451,1.91141706173108,3.000047999677,3.38111619820104,3.32091035286217,1.85814549989048,1.97407635292852,4.183736276251,3.29577043691198,4.27359230724057,3.53600455520793,2.73187904765363,4.31319906697146,3.60192079893773
"2548",3.53163958951835,3.03632969215284,3.33121697550232,2.18136470296613,2.80041164481221,2.61485141102252,3.42797852184697,3.25223641637821,3.77879231222811,2.17441269753186,3.43184611520194,3.15473854430455,2.46761092702882,2.37337012938419,3.30554493598869,2.68492530262813,3.46568915312146,3.07015437861093,3.66334064318969,3.6843674817179,4.08563410375387,2.52464104930171,3.25574251722474,3.03748608288882,3.99682879004957,3.47049247209225,2.82244178864568,2.6397455773953,2.28763281439417,3.29153441524892,1.34196328880933,2.78549826699216,3.01988092611571,1.9467081220113,4.09480986069693,3.78318277022335,2.64908287138155,3.03164386515343,2.62596526929938,2.38422213989447,2.07973823567842,3.00470931220668,4.26071575355807,3.15971579224706,3.74122774917309,3.15782983168116,3.38245907209145,4.29602257688876,2.85192269800782,2.59461721655828,3.34204699300973,3.90173646499976,2.37772133071407,3.19347507573085,2.66030642897008,3.01949958305333,3.29424658539562,3.92274024434864,2.64573074829495,3.79029774472605,4.53432621303227
"2549",3.4607110556703,2.63985200924593,2.98622837232205,1.89643593579706,3.03785501875255,1.80031911021939,2.59576259140988,3.31896027713643,3.74190295295283,2.14262851923149,3.02292693754189,3.72648036837064,2.7027896051494,2.17539327592798,2.67666749289421,3.51751595638253,3.02048742186208,3.73253640423684,3.92942489514011,3.08807598185746,4.22994968013933,2.74344792652083,2.7947886200728,3.74704664072809,3.89288458173242,2.87307456369505,3.6815166626261,3.79379647467568,3.32890547545211,2.84143078728906,3.00905955775651,2.44131846162178,3.25087801156254,2.1991882324242,2.89260557167259,2.55477438408551,3.25689761656722,2.60871322051864,2.82426462793285,2.39572433695248,2.89701297744106,2.62015256153415,4.37658309876678,2.57146906672853,3.47912391660362,2.41531443763394,3.44667117282234,3.46858835252772,2.29679288614056,3.75196813090646,2.78848066669564,3.43279251224072,2.7576360534561,2.73495835568723,3.67932328918086,2.73066138879063,3.57911593929812,3.40445715100351,3.21968228064509,2.77620171001894,3.64894124676296
"2550",3.52633219025929,2.22105394445484,3.42239931809351,3.38619201506642,3.11776351953932,1.91869387629545,2.43406840308042,4.18622314477598,3.24952282651661,1.5854379049049,2.14129440364121,1.69212331704289,2.83622585929971,1.79863855748724,2.81518319034173,4.04591039249267,2.95571010418992,2.77890518406767,2.28261886718424,2.7411638872122,4.29358644913723,1.66288485541796,4.68124677440022,4.35968706617611,3.29242760000411,3.40414036223088,4.41052811072106,3.77086265206508,2.47778017006828,3.15031568874267,3.79142783441208,3.20743489602841,4.16843245900416,2.28770405924464,2.90536397029031,2.87925538576386,3.89125400233049,2.65076911837462,2.41571243411729,3.24351049499807,2.69391917800488,3.25357313541868,2.7263718867427,3.67178327261387,3.19755349408742,3.99262295594251,2.91368592468397,3.24903092793002,2.10175571997911,3.06215961442686,3.0333531741225,4.59128688353767,2.33968898170325,2.22944170947092,3.83317726836655,3.75333085195848,2.60162542594722,4.67360938848707,3.11882986679909,2.5549040761856,3.90394907973242
"2551",4.17269106295982,3.46787774855155,3.90904759908434,2.67680177500235,4.47194377546589,2.1434425034593,2.95920414325786,2.81722272037304,4.83241736340253,1.95527098187136,3.43396130226108,3.00373134987134,3.93474886438931,2.14642462981838,2.70054741938113,3.00940961162902,4.01565495428981,3.52492579030607,3.15688487746581,2.81570691258348,3.19567522858727,2.68230359208238,2.95751266890078,3.01194574986406,3.72856116192191,3.68955286985433,2.71357101113217,2.57067349085861,3.27690696196015,2.16511362431558,2.20791507653597,2.85326259323297,4.01668202465874,1.87535186561751,3.2316782111358,2.92353968966569,3.46500582671087,3.49681511060288,2.78132261979529,4.34223982945606,4.77392289110044,3.30760273023524,2.96724586776487,2.75508030673369,4.15590429699524,1.92125627659914,3.16797616895582,3.36051229567204,1.72263922659891,2.74516918983123,4.24515641138121,1.52251988788581,2.98733934125772,2.23137125127044,4.91689369997862,4.37349115330981,4.31892507765866,3.7427213931116,2.29945334693606,4.68699935541493,4.07199132772159
"2552",3.74915158632349,2.69175925806537,2.52131590147216,3.91925535722396,3.63540802339032,1.67332315338676,3.76057871989084,3.73402249280784,2.84164360902413,2.64787662519141,2.57764749706578,3.49711749465206,1.93839083434191,4.51824119225512,1.69490896796138,4.01293911798123,5.30214553622129,1.8667121614695,1.93492180279939,4.03959576651939,3.15077438868286,3.13553268825778,2.78308090193221,1.98521866447465,3.17458861646299,3.11943143115143,2.18497114572837,4.38234593441089,4.38058399259917,1.74060934217196,1.51158304557973,2.76044792093285,4.64136453046879,1.79835023621508,3.17941120026237,1.15922937879879,2.81453425318179,2.27820750496877,2.95596020918916,3.18399929551454,3.29239747923921,3.053342397309,5.24325499552444,2.72062895727253,3.24795456594749,3.06184721707557,2.92153482579943,4.58925995728232,2.31440607285366,3.28609502692726,3.01853052335696,3.32652102037149,2.9782568604724,2.8249102226277,4.83158256002435,2.9449863231528,2.7939622037014,3.8934183323798,3.8242205250797,3.98062029098702,4.00780814756902
"2553",3.1882907822088,3.56130348140743,3.28307032829119,3.49874581069211,3.61006791383865,3.14784859088535,3.95240837193681,3.09476260442616,3.43166121210908,2.67426654809405,3.33941509889722,3.73446256387905,1.96928204872266,2.46144353690622,3.27400736005588,3.90694268818284,2.83244983194655,3.02432239702064,3.64906000898996,3.2005807570656,3.15648918980327,3.75790694692832,3.06721280765484,3.00538362711431,3.31250947262871,2.50517339890163,3.05208038951701,2.89222794552677,2.84812694698905,2.67267359106864,2.4084490451736,2.52666262200702,3.54058977072362,2.06689480527527,3.48235625285253,4.48786685341623,3.25317843653705,2.86768163931423,2.33489284770331,2.55445639247076,3.72272723264348,3.12274217446963,3.57831470028824,2.46690968120246,3.52697769513543,3.66587367553796,3.94831945301538,3.42847374629396,2.25525780943533,3.9585275647788,2.91761954163194,3.25602926568023,2.62145300858743,2.35555328997879,2.88779354036965,3.18552021832287,3.99097725396339,3.64197705171376,3.46303374151951,3.8483133896221,3.81098315628761
