"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19","France-EHPAD","France"
"1",3.38298049606078,2.64592048396364,3.05335051985394,3.2460050810631,1.86684923222649,2.49894583987684,2.60286537557885,3.6024102634599,2.2573174115283,2.80499355623027,2.42436962996342,4.04462141818742,3.15244889903354,3.35686566460995,3.9020700593026,5.11385174383732,4.42149728918524
"2",3.32768718213997,2.54675740897987,2.57770769156549,4.08169546760547,2.13434022115273,2.41888364648679,2.35856436658252,3.2858319506173,3.22046470476752,2.78658789076118,3.0640579929995,3.55960257140669,3.48206301684095,3.64904731400288,4.11009836792245,6.57111935471702,4.03109392727203
"3",2.93010528596113,2.58852642321009,3.41092278683742,3.74623573643494,1.26572361012607,2.58230193453216,2.66955457802278,3.30668592704461,3.01561665428515,2.28389291448392,2.49026410056197,4.00516635219159,3.4869749412192,3.59494879205826,4.16980178648089,6.0911063040538,4.47985168364272
"4",2.99316019545746,3.0572499547058,3.35834193820095,3.85723078501813,1.73307298680103,2.23881639085408,2.53528733211817,3.00535753015926,3.27926995775182,2.48588428349419,2.92755904679448,4.3235544598337,3.56377998210971,3.52359850932575,4.12584716221303,6.05632940123174,4.6556406842264
"5",3.09019833954796,2.92727650339691,2.75576441401151,4.4760666055727,1.91424547551105,2.47065692911708,2.83880400117226,2.37245960351572,3.91913381016487,2.38692282033967,2.17305064028467,3.83972498018277,3.51552680084131,3.50118274072287,4.004804430303,5.8925771081487,4.36476694677931
"6",2.90812974643894,2.46024080390673,2.42210675660507,3.9649953132613,2.6203383861379,2.3346171658683,2.6199022091227,3.16655510934547,3.01333960913135,3.40000079604183,3.4532990239983,4.04832552603409,3.46210542292923,3.5650457670734,4.10917562335288,5.00456584875643,4.14253263598476
"7",3.38960573814121,2.7254975588325,3.5453177445849,3.04336520499916,2.11197619269568,2.86004561954309,2.40112156734357,3.01195730655642,2.3729866934323,2.59511584362843,3.32758970604322,3.56054520332324,3.46720396777062,3.39489340870482,3.99112385727866,5.6739941390526,4.22019827480593
"8",3.50493693707181,2.34404483850244,3.61488831568724,3.11510841955801,2.55952290056492,2.4500957526841,2.55253894164007,3.27851347974508,3.08763583497238,2.88494424694346,2.38491318014672,3.54559222480418,3.28155343734976,3.53347767957054,4.23232679846947,5.35145492698591,4.37621623447393
"9",3.09789829666346,2.97257313619738,2.96366247517897,4.05161603870187,1.68448113008805,2.4079359835535,2.8452079989606,3.58846755078837,2.75610310883918,2.71356111487959,2.50103733714367,3.7074097190914,3.67629498303768,3.64502829921534,4.11715063336974,5.12475734011258,3.98396662828341
"10",2.95568329362583,2.82359120195531,3.20865395266212,2.89776015209354,1.8690251398923,2.27466055699129,2.28143166509022,3.33501710060247,2.40637694136717,3.1947397541626,2.54591988588541,3.24862789538022,3.02454549142624,3.17951939792767,3.92560110575633,4.86404118582257,4.06172412980672
"11",3.06900193933528,3.04662377362952,2.76377905627564,3.54644706090869,1.35529212062797,2.36516141252149,2.83898209042396,3.81868512179757,2.43685765198923,2.91190775360477,2.37061701907065,4.0346582895587,3.34365242204644,3.13475873330327,4.03254413787024,5.54839374182943,4.45639508058183
"12",3.06753649305572,3.20569393819158,3.213548116263,2.83671180009449,1.96511509664866,2.69691201460822,2.52105536511756,3.22952849352762,2.56684935901745,2.75067658064109,2.96816808522513,3.98020015978872,2.91168164977129,3.19554303541626,3.93146094118681,5.17072429992252,4.21100893701776
"13",2.75451109493622,2.25735347479999,2.49332385554939,3.24922684725391,3.09851161642222,2.19034775393055,2.57430571924517,2.76471678134524,2.54439708751995,2.99341840080665,2.18733207129918,3.94873143507052,3.04234070328428,3.35288959508244,3.96858301153139,5.68366695039067,4.19789247253885
"14",2.97812127253941,2.92124516574459,3.48572228000702,3.55541513391182,1.8838562143267,2.40349706779332,2.55592738894396,2.86062258093233,1.95690566341486,2.01441209083136,2.08926828517464,3.77474110043976,3.03397996689047,3.40050386487583,3.87170924422078,5.11840538383815,4.32197319153289
"15",3.29498550452472,2.64713644759444,3.35187937061719,3.22048262190179,1.8546925206934,2.54898217563915,2.97153493741385,3.24702055854731,2.95180467400996,2.12986829886792,2.7391651528088,4.32230795332159,2.9916283561261,3.52698420801088,3.86101344876162,5.5158258331694,4.17558904824514
"16",3.16352233706635,2.86003684426661,3.07515489399982,3.46956212918555,1.2243102274432,2.56914367050409,2.42037218148281,3.32034783880005,2.44326083168897,2.09370262440805,2.49927745043754,3.94786214915986,3.11207753383724,3.42472497207087,4.33010518406037,5.94711636336348,4.61605015321715
"17",3.16819035866343,2.37081863769182,2.9500266622712,2.76530083933765,1.79859606709562,2.17175296865846,2.64552199244787,2.42718357042328,2.72687699492556,2.24777170834669,2.82057563521277,4.69769660995296,2.81461506237732,3.47535816653932,3.76982856432957,4.55495890211539,3.88721252224418
"18",3.06518987933623,2.45280435174663,3.31205137672615,4.25817448207035,1.75094708385878,2.75101416649356,2.48664261606063,2.96090171654249,2.96091523733007,2.35725719525998,3.05000491828228,3.89909196982469,3.29660491914541,3.69775995781639,4.00296153934231,6.05286823638068,4.69507141440283
"19",2.84428041341936,3.01730332976512,3.37093446617505,3.29389443143081,1.62588474983008,2.53216496404544,2.99703826259324,4.78278982658514,3.04746514585049,2.52616664683712,3.31575825537246,5.18016866351645,3.42192525868132,3.52980393097484,4.2280395675597,7.06367018019776,4.38287584891119
