"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Centre-Val de Loire","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19","France-EHPAD","Denmark","Italy","Germany","Spain","United_Kingdom","France","Norway","Belgium","Austria","Sweden","Switzerland","Greece","Portugal","Netherlands"
"1508",2.97321477769791,2.43623504640057,4.064479614178,4.13860788892613,1.86380322692469,2.4725420546091,2.75701193409809,2.79058466594586,2.66269893116669,1.78969932052042,2.9645469710733,3.75636324504523,3.22880795887918,3.68176974587014,3.50394803436761,3.96036797746596,3.9517695593318,3.59183469162075,4.29066922322354,4.03562794090438,3.79544452114143,4.35407496491547,4.23952287752721,4.62877265622777,3.53049116012478,5.03076298885127,3.14393471506785,3.17083346315319,3.6810820405134,3.44828054852794
"1509",2.58508202146151,2.65557537764857,2.25579152932517,2.79698523014926,2.04374545555241,2.42729162223633,2.4689496070436,2.78207979620194,3.02153439795342,1.95385645062226,2.73776848999527,3.76630605804015,4.36611437612698,3.5980447584764,4.45864727772826,4.45961705996593,5.38127882808301,3.39881026422105,5.33133453692061,3.5359180272136,3.8148852463903,4.12819738887054,2.87478615783638,5.63428865750474,3.70831516954122,4.37539026452986,3.68338874935045,2.43710836635448,2.90021916150212,3.22642459845129
"1510",2.91610155294971,2.40448989805289,2.07405267313037,2.77541824465353,1.89818009460105,2.38665163273143,2.41749406249797,4.70629034773342,2.3816115447204,2.00529769264815,2.50074942945007,3.34727267926621,3.54624366543293,3.47300591425055,3.88907165349315,5.58113593507894,4.31268199074823,3.81411053122486,4.69558172485875,3.52501756401751,3.81642722391673,4.58037986909778,3.51674680046589,6.83103238813132,3.91833339418919,4.36356517771254,2.99753508092061,2.40571497552498,3.64230953933031,3.29918673134536
"1511",2.90664131759363,2.55678471796501,2.95388527193646,2.3557009246651,1.50492618917813,2.65918366157384,2.39500504805197,3.7465487476395,2.31060011851243,1.82548947697763,2.81686132223764,3.64488814630015,3.41990791422137,3.26297309908774,3.96861092738159,5.06802758527947,4.47821792155969,3.17859785596854,5.06388799097741,4.21183197309907,3.54002000186556,4.01644211015615,3.13216673199586,5.71124135889185,3.76014821395177,5.01197070208403,3.10355259738639,2.75222622175772,3.71936015152501,3.52827562485109
"1512",2.96854959889387,2.23803058757109,3.53485914640809,3.35914613421587,2.35745533866103,2.66817198155217,2.37505483333788,4.10847183701085,2.83814190264705,2.34421890949705,3.07443674365954,4.12161417419348,4.52368555285858,3.71756647775713,4.09948652274781,4.41585108054649,3.11074722239131,3.39069222407114,5.6677128300356,3.62337035089123,3.79997010722728,4.17802370001101,3.27837427498199,4.25898715686323,3.96266634486734,5.00094375902225,2.63344349136069,4.21739795852367,4.10925150460461,3.58756918818593
"1513",2.49992401116797,2.66277791998076,2.05070525304216,3.47687664496287,1.87843664975564,2.41038137352643,2.71277769419634,3.04808244341309,2.10787581934804,2.00729999399823,1.79983145252863,4.41669097967254,3.76107580402656,3.37503466517038,4.05212474878965,3.86644036531571,4.62415316276229,3.61531631359746,4.55903556608893,4.46799526514061,4.04335395220033,4.10137176599668,3.88501296663742,5.46584499793849,4.47698394521216,4.40188783894409,4.08895357249,3.24862408294198,4.25695087527096,3.8982977876959
"1514",2.99558853789946,3.04163120121647,3.55098225676398,3.28951844963837,1.74543174016487,2.61360429627429,2.40909923446961,2.88830963346565,2.9542739258142,2.08427141281243,3.93669373063625,2.94332472516959,3.93377915585604,3.76627580744202,4.21462923309311,4.26453288728558,3.97012323754703,3.60122785245994,4.62338134299459,4.0939164937735,3.90348535536535,4.17921404611814,4.20360390804446,5.47266663376583,3.40226656303469,4.41047126889384,3.07984142094057,2.1334473983306,3.71410570127754,3.80164159478259
"1515",2.5694232784973,2.12481440856301,1.84220747466278,2.31399627287488,2.00461084189374,2.08531713959904,2.39686092644932,2.39822317355543,2.41547152393671,1.80307210962305,2.31131290263532,4.10119888856361,2.98439838985793,3.80227619460319,3.8435322452525,4.30779075770874,3.89512984460262,3.14613992908201,4.7948716639558,3.6267525915344,3.76509479999847,4.6293428369281,3.92174577120262,5.21358387896842,3.2909441254143,3.8377441285556,3.00847189653869,1.83161504229214,2.98983940927276,3.38963906265787
"1516",2.94604261556727,2.34107681690484,2.15934632985322,2.74323772850391,1.55273661019817,2.64333324285704,2.78824961004627,3.47881079929993,2.97665567016533,2.24507873017246,2.79276565002076,3.42769395302835,4.60947928831422,3.63330474514174,3.87830475361043,4.30883105908206,3.72629538790287,3.35188270297555,5.023221254291,3.90295062341259,3.91610476690508,4.88719322876262,2.90604591765857,4.68856916013841,3.18764337672675,4.81965159192691,3.24254809687618,2.38917185671996,3.13262097335847,3.32247902452927
"1517",3.17314671213863,2.15177073399664,3.39471882809164,2.79658401181048,1.98220197907265,2.5935907324156,2.34298121776252,3.71248241148279,3.3916090589724,2.30842635354457,3.91560216607734,3.18289390702366,3.63755449433508,3.53828243977464,4.09718489774548,4.90317825352613,3.11975775101416,3.35510708189796,4.62785860604937,3.14457600588923,3.84922684177353,4.40373614198121,3.37072440497978,4.66527854561986,2.62213690726595,4.26977721221473,2.8731292897618,2.1058354603878,3.25193459598853,2.98401296184268
"1518",3.05713669974492,2.57780952847165,3.14374471983312,3.27155970274195,2.0625906844855,2.91881054108546,2.51440064676596,3.5141494393522,1.90043865123317,1.78828272606232,3.29470760103074,3.36373857595176,3.81942339814194,3.42481091519246,3.97019769969902,4.90944161801475,3.84194968133644,3.47527180869628,4.33846634137187,3.68994513009511,3.48399759701107,4.37401589743931,3.81097325936125,4.42253159151979,3.46158064433708,4.70999507663113,3.55598159191953,2.65469833001434,3.60323369375853,3.53954680274111
"1519",2.57047138574963,2.37360236798738,3.14367864852766,3.5409115313249,1.66949825746268,2.20114707463904,2.33467346626837,3.72397549335867,3.07989213310059,1.86702050182412,2.50100831691686,3.58169917954969,3.12176067146538,3.47462788753881,3.92329837617952,4.31980697407173,3.91106055020271,3.48308257899339,4.47775669546213,3.50858214782236,3.96549474441094,3.63463416822362,4.8937118576869,5.70665921563585,3.48880874374148,5.4861011418526,3.06824327597524,1.74109701711713,2.82480730937352,3.47210530461521
