"","Bretagne","Centre-Val de Loire","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","France-hopitaux","France-OC19","France-EHPAD","Denmark","Italy","Germany","Spain","United_Kingdom","France","Norway","Belgium","Austria","Sweden","Switzerland","Greece","Portugal","Netherlands"
"1",3.26174551969803,3.55839673200457,2.27282986366758,2.43791427662114,2.42139420278844,3.69809000303948,2.81031278703913,2.57330329000482,3.08612426475399,3.35804660498023,4.02379681085015,7.21389288079536,3.61451922007866,3.50706707184086,3.66788254811081,4.47385194886927,3.86229702169609,4.92719604363281,2.8040568351708,5.38400176732778,3.21742167194516,2.05042439723642,3.14555351264225,2.12513288801684,3.65421837229464,2.9911786766955
"2",3.08135578309237,4.67198707429931,2.4629338701748,2.51637766082063,2.91402953172911,3.09027107341758,2.85814207622464,2.35925593736527,3.56676178791113,3.5130637228465,4.67437368022549,7.32921788752379,3.14684146802523,3.40005289533367,4.57250283715816,4.3772133756225,4.2190542681897,4.25322592281482,3.56700111142125,6.04860106962276,3.04278960383766,2.25530432845393,3.50126036121287,1.88919402673147,3.21845470532044,3.27865859429472
"3",3.52184719209269,3.50877125202143,2.19477293682137,2.45071250241728,2.88931571269467,3.08991663063415,3.0549442592224,2.51993125134389,2.99209768150153,3.73565174626961,4.65158392247885,6.72267643085562,3.9041934003702,3.25375482791897,5.10979270514596,4.77921269152261,4.04981487873396,4.28890840694849,3.16705687614199,5.49899167676145,3.91489779825286,2.52625040698184,3.03038689135513,1.59655847856388,3.26687250942667,2.90911423917851
"4",2.25748174007441,3.23614439003616,2.1253629927711,2.60599681772657,2.68213962277636,3.05190275925388,2.55494226825709,2.97355719064719,3.14922306321648,3.50302875658523,3.82800425904678,5.75548662527166,3.55738279780004,3.33554570777126,3.93745381870622,4.58748894131959,3.4457954999467,4.53673141643425,2.40997315954343,4.82750673330057,3.0412319341166,1.87030747706054,3.24239146405574,1.43474327947254,3.21211838052945,2.64204999231489
"5",2.57325053682124,3.83842610130298,1.88609297540623,2.63444599916148,2.81879684429191,5.0026305522457,2.94596199304399,2.37044388926227,3.08918561358503,3.73627994850481,4.3463838686861,6.46200392910446,3.87435458152856,3.40568704702883,4.36744375135819,4.29110495972306,3.69249043160581,4.51665289764674,2.01449217481116,5.07129341309624,2.89373419947372,2.17923658972431,2.74518985712237,1.80257034221297,2.72636538966266,2.80411952667867
"6",2.75030591485733,4.22587631828637,1.56853101896478,2.95661880608634,2.66948934485163,4.17538341012966,3.2386072214178,2.81458847209009,3.97790155867583,3.8139312456482,3.9673127422868,8.60298436142558,4.03876579615814,3.46489553317299,4.6232079979204,4.45510258697096,4.24792985413514,4.41827374181808,2.5177232773487,5.38773028050801,4.36805191972027,2.54554032716593,3.107134198742,2.15669129765457,3.88778317856571,2.92799871112442
"7",3.44484662313086,3.24843395589392,1.72290162610076,2.5922203657463,2.69052026267948,3.52359357799493,3.11302512594559,2.56335931539708,3.38710727544388,3.39210500537517,4.16167663287338,6.96251722954285,2.92897065791324,3.38900862288383,3.56172789217953,4.43957324782748,3.55936812917949,4.33251517009431,2.91372001860635,5.14014350655518,3.44048850544784,2.02066269372462,3.12101337172067,1.07701135717938,2.58951796355642,2.66660038911524
"8",2.88818421714695,3.59307896834167,1.4221326552195,2.56236249537216,2.60006576869054,3.40014514473893,4.08164185353543,2.56831402385053,2.79581857363378,3.58150417749568,4.2743268478513,9.57475320225019,3.67297522619785,3.48080290509786,3.8346976331197,5.01251186646328,3.91589544978648,3.92668508473002,2.64495839655474,5.16105410153856,3.79584493292159,1.94541740262419,3.20037219679479,1.69668486114359,2.47697507407809,2.6384828849188
"9",2.57737264637482,4.86599497158853,1.66821150891689,2.90103173131549,2.6586055151721,3.63160513725595,3.88051294193392,2.85822111109522,2.93301187363707,3.81664714267257,3.59130669721854,8.25824064599532,3.35968305630806,3.43248630350433,5.4633624151172,6.01275210472055,4.21217875579014,4.43209802427115,2.43284720773342,5.49876044059004,3.46812357838605,2.16941365930083,3.65110555906929,1.80694150427853,3.5755297856412,3.1666931689341
"10",3.37707384622203,3.516967524982,0.903995023759415,2.91902757835784,2.67409336359194,4.02592708019989,3.36363618499839,2.37188007467696,2.83121633395767,3.41929976833953,3.92289361715413,6.08666169835982,3.51742733338313,3.51969140099075,4.32081024562131,5.07970257641694,4.26074744780839,4.63309267207169,2.84118120307127,5.45553220102287,3.20051189157163,2.41110046756281,3.84885919915565,1.92166567077042,3.4025025560566,3.05350216949893
"11",2.57521704046375,3.08505777957377,1.94553875309639,2.86574246860025,2.50083370259593,3.96670563788225,2.19187070965719,2.63837878104012,2.8353252578137,3.67818786183521,4.23772346890392,6.31569360973237,3.11629969368421,3.05718914534865,4.20772676101424,5.07827306330544,3.95768196326631,4.52004387552272,3.21418390660839,4.80723192715776,3.43077438386577,2.0635934514976,3.74206053994497,2.49680771159966,2.62293557914077,2.77716929670913
"12",2.79548483606169,3.79961714321787,1.07155175680608,2.93694692969714,2.71145814901803,3.63168876656852,4.95464236839057,2.30771613041829,3.06396275235203,3.66698972748979,3.9199631594846,6.85483550975974,3.76338752238077,3.60808980850442,4.2029413515871,4.39485131473899,4.03355667160544,4.63794811855356,3.41402974304909,5.26258790228287,3.30935485414468,2.5180052985063,2.83176327221867,1.823078744775,3.07768692135139,2.70554441079685
"13",2.3550907707226,3.11116092276874,1.07503250784378,3.08544422221474,2.64897975457722,3.91885410655321,2.79387911685667,2.47033272175896,2.98698532763613,4.032636380709,4.12537716014054,6.54193052948591,3.6220382844089,3.56631483974218,4.87373290687493,4.67385511908621,4.08565928224116,4.27754232954237,2.59115765283609,4.39774171025315,3.35052882965114,2.38696081970046,3.28734664723977,1.68055006112225,2.94527579997603,2.52473442888054
"14",3.41558917617985,3.63860027666739,2.16999747761982,2.88659477827936,2.58998426421051,3.3016406061737,2.58789925916725,2.39158285038449,3.05419884326958,3.57002076807852,3.96211570274639,8.54840470939729,2.24077937851132,3.3599754128624,4.20547368849069,4.18195334449523,3.84144246388551,4.27912441450499,2.78225691921394,4.81304894476762,3.8946653784215,1.92135813307084,2.83461777714496,1.77016450239459,2.74781692497584,2.88096685088315
"15",3.6211442629381,2.92257804025094,1.59306966059705,2.79503259952044,3.05104612048989,4.33312801851387,3.92436903985209,2.46170759926577,2.5633484380267,3.86101591607189,4.50237070438765,7.82537629013559,4.18162828316887,3.66893864171429,4.93387833999697,4.96192269749034,4.80513792604118,4.62560715186659,3.77358438909341,5.60192451821735,3.43801952048771,2.55666699923538,3.92881949640971,1.76111197001287,3.5067559615453,3.13574422389761
"16",2.46213356435437,3.44100509963951,1.67316992535987,2.45842718888113,2.60095649386303,2.77720298071025,3.394376785371,2.39806939173072,2.79975352995415,3.90994542487582,4.01975803671118,6.54005318088659,2.99156986647385,3.25499432368824,3.59296106448333,4.18540046982055,3.57656595775507,4.46833709782366,2.48283517356364,6.47389887703045,4.12086923647515,2.55916755518792,3.72404630696542,1.60371959748381,2.68717341803742,2.79492646698997
"17",3.29987807781079,4.4317974870113,2.27983881879055,2.77279588170942,2.71990694646499,3.09094770272507,3.90552278572579,2.69317101447614,3.51637097141831,3.96052994873187,4.35019797958948,6.95471366345034,4.02692575901634,3.35157900988981,3.76775844883433,4.3655023195143,4.00385727598796,5.10246323515125,2.7248023821991,7.5736972855869,3.70103551031211,2.22719463828437,3.68034374862721,1.49380520494527,3.14250399709028,3.39223903623599
"18",3.46040722609525,3.66868793672047,2.59681347381813,2.51280504060847,2.74411514762331,4.17950174054109,3.16320650110688,3.77534268256102,2.89042107884232,3.80085161497942,3.72512766626328,7.53868778654714,4.28480878743385,3.36621435258291,4.36045187368534,5.17245967719725,4.53222187726141,4.54181521748497,2.75518420132438,4.83933063336154,3.79616285018913,2.47546592861209,2.59026378792998,2.28948175048398,3.6969246060969,3.18513546047437
"19",2.45267647926455,4.99003193072474,2.46901345049952,2.51235886464198,2.78416451462351,2.98669011861713,3.29601255108317,2.97671166898203,2.82820137034826,3.39981595698002,4.00209232405782,6.72236805160393,3.14480954920419,3.41794073630948,4.59684971036766,4.28290081716595,3.71265528628471,4.18865364099877,2.61786436446066,6.42354898960457,3.15468989623029,2.2516824754797,4.16551635628902,1.64543371713847,2.97316548621267,3.25207180002402
"20",3.69901595705395,3.07345677640012,2.00381623774178,2.37581380028782,2.80483419660855,3.64518888449746,3.44033536381098,2.47597111811976,2.75701152381943,3.82078049368235,4.07841455985691,6.33415401939558,3.40055080820124,3.09000323153322,3.99499659215893,5.27513582747548,3.63394711273663,4.43601651402806,3.70500974027866,5.24365576893236,4.27944929377942,1.91506551888871,3.29632146294922,1.62574121688845,3.04792878899605,2.65063020583576
"21",2.55744870382846,4.3603548415218,1.68204270994117,2.31147597421809,2.25194043139811,4.00346296027042,3.82940266781687,3.01626361176088,3.45736360173516,3.43064253068857,4.1482340278125,6.35139000060566,3.76652771940911,3.54305447547827,4.15581904365068,4.66661440835561,3.79824657933292,4.2571007129974,2.33994326038431,5.11764552144972,2.79739888270984,1.88468174850496,3.25283851633639,1.28403709972681,3.38952577562537,2.58968205861676
"22",3.07780483088315,4.07427140610458,1.80284115246837,2.52421058784221,2.9348947388387,2.87371782818764,2.72350338040156,2.69837505980497,2.72516118238634,3.32864950187022,3.92567656067962,6.05084717152543,3.54642115438319,3.54472215283844,3.6711565056462,4.04245889959559,3.57323317796898,3.97154466493138,2.65299414220116,4.50310599976115,3.32369878861544,1.80786794465456,2.85577879736111,1.53840293040636,2.19056115475226,2.69569397695038
"23",2.6494318700582,4.24180863807499,2.30640332602202,2.50748361565029,2.93051813777629,3.63369735361472,3.4158407885109,2.78013412867479,2.86912460757398,3.59142269414146,3.99409859010096,6.48570861627996,3.66473721635876,3.59043930634876,4.55214874257631,4.36150876012266,3.90621718674535,4.65178747212138,2.67094559919265,6.07780368413967,4.11034249321673,2.55506068202749,3.0932564071912,1.80690904395799,2.80703830730004,2.91569355550579
"24",3.31745374740717,4.1326376836297,2.04998821449882,2.32841507952967,2.86638529625487,3.01658501309042,2.63761239230045,2.81607452434297,4.04569687288334,3.94109566243244,4.75166213940277,7.3301108255546,2.9998768887612,3.67622039534284,4.17163085041102,4.50975391375377,3.68348041364143,4.91828288877381,3.13660665024681,6.14589187827843,3.52360017771734,1.96413531596417,2.92886510043381,1.96863476553044,4.02758278324911,3.67007085946425
"25",2.71373354000579,3.68165913250162,2.44267618193512,2.34523010435514,2.59717870567446,3.94154488880823,3.14135841852247,2.73332520786327,2.82612201000646,3.64976101902944,4.22931313581665,5.70873840585288,3.07524298719483,3.49310268929261,3.67854883041621,4.12120732642884,3.9219868237736,4.35464184805038,3.06045007071551,5.43796242468043,3.66561717637339,2.1983849622446,2.87793224036388,1.61732098900511,2.4610466846866,3.21022177946583
"26",3.46901647881242,3.80705216557024,1.40673476379118,2.73590395737585,2.4891866238765,2.5985598417817,3.16164217773533,2.88828452943989,2.8009306668012,4.26381124157904,4.02149510536506,8.38014202497924,3.02038554567528,3.74294921664137,3.82868382617332,5.41588617816687,4.28920081294734,4.42442159315567,2.58430602303621,4.67659982976573,4.27244130115543,2.9660782153328,3.3243684161422,1.39796263363291,3.57526581108249,3.39159382064642
"27",2.62581190536308,4.28728513511203,2.0696262152481,2.41188793764253,2.49552154448752,3.43294759056165,2.97929942109577,2.98115589212076,3.11707853789438,3.40554282093314,4.02367185663905,7.88095770477627,3.15203893307379,3.25045598963014,4.8937939188874,5.32428186048152,3.90966598215791,4.20470285591291,2.63921049825904,5.35120832666464,4.07994074252543,2.22049696732747,3.4325471979947,1.77904502873348,2.40839894872446,2.80132846065955
"28",2.53927771618886,5.0139676122034,1.41031514082855,2.57670809279926,2.8425785066341,3.38083284203426,2.75256285050213,2.29751970985057,3.71093076298091,3.42121410328439,4.04650727692707,7.19076665981535,3.53959193231744,2.95446181723518,4.04850049532956,5.05602784900137,3.57646005193559,4.37598026549973,2.56549016079307,5.98901086927064,2.72905043803973,2.18296420882464,2.71450753469912,1.0842055996081,3.2177091917888,3.00702960380953
"29",3.38053493996359,3.174929729937,2.46175866880937,3.05856780191274,2.38004376313222,3.35937128459976,3.90761973528301,3.0486143430906,3.69242468710447,4.12751408611655,4.07282258758828,7.33871651237876,4.62221532181852,3.81944631999619,4.56546341995625,4.77687090238988,4.42492375179158,4.65641450211018,4.03815651649686,5.84629271596764,4.15346435713465,2.79440513948179,3.02381560360549,1.93202887827341,2.7411441055856,3.71757593899256
"30",3.32761412608809,3.06428765092868,1.33927069109906,2.81816672886609,2.74521415043136,3.81098660937757,3.13662899344631,2.73364081101573,4.03286355287762,3.77157375110001,4.27668107880908,7.31238075083846,4.21541152810711,3.47145303567575,4.64897297206893,4.37301978969533,4.23610050110839,4.313480401934,2.64689080438017,5.65250821080914,3.83923477829017,2.10435147047077,3.28163379630745,1.87074775629899,3.65459004623489,2.87720385424315
"31",3.1304382010663,3.37105776103477,2.16095134917085,2.67871781628564,2.69744612522821,3.75142851012321,3.94962787856185,2.41432128999918,2.58001615604046,4.13354089204967,4.07835959737485,7.82460048439508,3.0967537182485,3.6298984498953,4.88682387176734,5.44350394530801,3.9880782675524,4.27605890777005,2.97963013608126,5.58453165959824,3.36558628066479,2.6814782700952,3.21433762839785,1.7409996358622,3.37713531993937,3.39672727244527
"32",2.58207374421242,3.43723388670872,1.17446755252031,2.46422556917448,2.54942722648247,3.56335934550487,2.41018701311931,2.13802898449038,2.35756983864721,3.75035758754009,3.57688708410762,6.57309845759093,4.41889827231195,3.28355555430643,3.96410550756432,3.56567161697118,4.0276110214615,4.39438422621627,2.5782525440252,3.76931262282609,2.50548838705994,2.0231723937848,3.02582114801369,1.62471125299887,3.20648722721324,2.91679053192743
"33",3.75334764707021,3.14550304064459,1.7613875518818,2.60733062149576,2.43585788333349,3.58059381401525,2.5448050515904,3.31276457425499,4.47393127108435,3.50645355466414,4.4471022763156,8.41554971348798,3.18462011088985,3.69252720949775,4.75258184814253,4.99482690267377,4.01318072822773,3.73308743699453,4.79421389639435,6.4189995285805,4.04749460377456,2.35440406188592,3.30262057847835,1.45972759403247,4.15115173201975,3.33391628735887
"34",2.24080639355261,3.6841650221147,2.32012513051342,2.35760192719639,2.56101244447166,3.95496922703497,2.31805409497401,2.42428995499906,2.71768304002887,3.31658123141044,4.12898699816573,7.78939413930527,2.47022253929072,3.40431893057596,4.36119008344102,4.46532388433964,3.779002232661,4.0355148828007,3.01444278917554,4.39583598672155,3.9263587657171,2.20225024305396,2.7540931915119,2.09495787972541,2.36736961943182,2.82311720386404
"35",3.738623398529,4.164306622734,1.27688524006146,3.07971666308847,2.67675959261104,3.95395707514277,3.32058643369486,2.40321891107873,3.00390588022732,3.82369748165816,4.45241731728639,8.89412818007659,4.36947077406918,3.39745234436176,4.23582352873115,4.97239696969521,3.7139185821286,4.54474808963951,2.36914007478237,5.97590231311301,3.81758548631137,1.6854275124204,2.99191779081972,1.64354279648031,3.79919543146703,2.75870634332528
"36",3.24428435363025,4.03034749490175,1.69148484812223,2.97748934170968,2.80914702933457,3.25018347421173,3.60262631752474,2.5972758928337,2.64074131938869,3.70407888819504,4.51048838933895,6.32469145000964,2.75338565926392,3.38791105309487,3.60360615234783,4.27785758408756,3.56969250143488,4.9298384754993,3.22088493697895,5.33212451000652,4.0935899531708,2.0680818172887,3.13155644123018,1.357611798778,2.80124071175844,2.97680597967883
"37",2.83111579908263,3.15337417780293,1.81967694319197,2.65317911286411,2.51935849913304,4.21791058048115,3.3316389861246,2.93880309092438,2.79234906839062,3.84490394502798,4.71616564505673,7.26781377301151,2.9563779019339,3.49259663432616,4.12525781995204,4.48385078300915,4.03850918118104,4.18401947101228,3.04463429713372,5.4275279706985,4.34040382368488,2.1379712752237,3.26776287362228,1.40279636505819,3.02106675478332,3.07480459247886
"38",2.68638787656012,3.22051660067261,1.99115424368771,2.90100773240659,2.41934797619947,2.1188838940467,2.81467252474993,2.93260514567869,4.19321379656688,3.98569425919869,4.51399332996622,6.89454770030636,2.987779576643,3.39147502350897,3.92297442110926,5.470871195041,3.92998489599134,3.89185923081491,2.48635737833477,4.52288736514285,3.51147620616542,1.935055572866,3.2519763832237,1.45064723251338,2.38629813759468,2.97589391816586
"39",2.89969502242347,4.36697447220491,2.1383667391144,2.64646918513604,2.61327736944238,3.47368036698908,2.53589783892009,2.32483950287462,2.97414470626138,3.66048318026569,4.63309111557379,8.98774799155483,3.64597116139696,3.30520140354735,4.02295386421655,5.36422255605455,3.73883579751429,4.21138182795953,1.91757063517174,5.25428266448019,3.8011711219563,2.33607025299067,2.51512122149296,1.58964144781114,3.1265424258568,2.57913289133858
"40",2.288785924556,3.87783818523925,1.71133987407207,2.94316447216436,2.36497794335937,2.63130733407384,3.51380899865592,2.71709555865249,3.09412392091028,3.64084058999975,4.39823605899621,7.0597382431675,3.87537280993844,3.4830015906917,3.87108526051298,4.69607794831392,4.27284087025512,5.11367124014212,3.57827639053123,5.27012575405888,3.43050055103079,2.53628897779036,3.06287765630024,1.72341428521016,3.86418389763688,3.21912847509521
"41",2.7111623428985,3.48237481972766,1.77450173100264,2.83917838017545,2.50109188291163,3.38685721016251,2.8789817732399,2.7787504713133,2.62234992150297,3.8701196370628,3.95289200887602,7.77364041365439,4.18649172131425,3.44949622478363,5.4213091752951,5.21352032789998,4.61459296118898,3.90127282408928,3.16088383596986,5.7609640489383,2.86421325248538,2.99867623927475,2.92818035831303,2.27320714581569,3.59214595266865,3.52055794133755
"42",2.72572549412159,3.45350495289872,1.65496383184181,2.80322786184023,2.55269069821041,3.37590742791072,2.94904243282343,2.81250330654323,2.64232499005073,3.85011709712141,3.96189124768146,7.60792838886159,4.20294855520297,3.46733676411032,5.5229932214744,5.26139119257084,4.6012802525562,3.88168596918549,3.19295471364716,5.73279977322277,2.93301656898431,2.95229884191997,2.9119991631146,2.20731065484694,3.71246200133074,3.51474348539984
"43",2.68372209467471,3.58843927742178,1.7796481857381,2.96633508974694,2.42327770209459,2.66165258120773,3.10697029729815,2.29611390148402,3.26157549453561,3.736803446669,3.96440577777119,6.2638591676613,2.81086278716375,3.63536276810378,4.13462869782062,4.14546599044894,3.73957234049677,3.90891461611192,2.61838892109193,4.2440319090605,3.57874102297314,2.07900423949208,2.7123787424715,1.50709910485013,2.7240414066935,2.81428473044025
"44",3.04968718827474,3.63555111304154,1.45071797126032,2.46788241048762,2.56617316969003,3.00495057614676,2.40136801209275,2.09649142411154,2.46803043408299,3.48014876269771,4.22015119127377,6.31906378690408,3.41195314372776,3.38042705230787,3.41404327048789,4.25482323294363,3.70762430671754,3.79481728868365,2.95069289991812,5.57078508336896,3.55940620960193,2.10293066175795,3.16769628926222,1.84313329854103,2.24846663387031,2.52957750635972
"45",2.04298242974284,4.41919362858162,1.33818096862864,2.70301890777257,2.59242033913886,5.00734592269052,3.22671216286048,1.92691282819954,2.94991499042738,3.41616425024666,4.12063782990837,7.41394107408872,4.2011286332538,3.74992731419374,3.86550262952856,4.50206136097419,3.85854930648033,4.36331619123827,2.66005062585337,6.16169801828461,3.17084622130427,2.02277663025689,2.92103303965336,1.69741418458205,4.39572338431036,3.12817322241158
"46",2.17576345028883,5.0393202783749,1.72909049020335,2.80074258302236,2.57953238082319,2.59968851209515,2.51693600871285,2.80883417662026,2.82590901728135,3.58371164923856,4.31223282909411,7.16751520696167,3.00661294660586,3.37465307539099,3.29811146166799,4.55983172590741,3.38615749263468,3.5940827117653,2.47439919578027,5.85106504638556,3.23594656091171,1.74755078662152,3.2462364877376,1.85303881638358,2.12824927360314,2.55370231089234
"47",3.31828209317225,4.1738026661767,1.41315072238632,3.05331323272365,2.9436765469106,4.59167417619665,3.91979790294213,2.834977497268,3.4126883002617,3.56265311683836,3.80964025312851,7.77703288416836,3.09211759122624,3.32100392681438,4.48880522139194,4.72711857005121,3.9434132560263,4.35396217607333,2.95621878957046,5.61029504792668,3.64733213207251,2.43341843912894,2.92690300936539,1.66913256036349,3.3896599793073,2.91141952829404
"48",3.0263464423966,3.54763137204609,1.78197469001271,2.84224406503681,2.76684602036314,4.07612685787213,2.69567744456993,2.71819233173271,3.03595968571833,3.96870336946923,4.03572233009071,6.71839904154765,3.72327201492952,3.26406305019399,4.65971600832474,4.33306194041789,3.68732337179924,4.45846856573308,3.05798897144043,4.85093624310085,3.46901938552546,2.39927778895064,3.19933419944544,1.40925936174762,3.09156931365307,3.1284502024306
"49",3.84906065799114,3.0225463103739,1.65939912997924,3.00605643597203,3.10164641617034,2.73796605497148,5.09636049144632,3.40412261876879,3.06902842547403,3.88658101290903,4.66047327837933,6.86144585626105,4.74305524842583,3.32189646758271,4.08943578971109,4.27252039658459,4.29789993692509,4.31717478014425,3.9301990707117,5.90459373181151,3.41239595274454,2.68152944365229,3.85961787876132,2.2206496276365,3.99134395610716,3.17918128545586
"50",3.10911789865768,3.4599343448487,2.39203207518699,2.58283781271551,2.67984752384746,4.02755004071605,2.57727464804019,2.5748528754731,2.85119424008322,3.87834466155637,4.24823913648653,6.32055796215596,4.0839347897167,3.62860472216215,4.79321995873732,4.83137257987515,4.44389850238299,4.39123718675655,2.88640332671407,4.98157396556719,2.95895912447614,2.44035682641586,2.78913805269856,1.95615029819452,3.29940552160536,2.94778107680355
"51",3.32857881423712,5.16728423761895,1.89583850046647,3.24429434437683,2.38051598164519,4.0912314417096,3.11464613026355,3.21594736376753,3.4897372000594,3.99964964270935,4.02505943613813,9.7508340736461,3.14134728543487,3.50530279135872,5.62997584207144,4.58490824153846,5.00561322252351,4.44603188669625,4.17503132300381,5.33358089705154,3.169315923099,2.78887901210999,3.56199514228618,1.9361986216675,2.62287706810475,3.052930707778
"52",3.58975121883333,3.45782960927776,1.07989406297271,2.67875407362586,2.68545605932734,3.8899524900551,3.185333783221,2.66688315607508,3.70256396089394,3.42703714090264,4.50011657281063,5.00755745019772,3.18939343297938,3.3401606868154,4.71111535280499,4.24395592285389,3.75514856000325,4.32374019265721,3.45799691443822,5.33347249234496,3.48987438250536,2.2103652751835,2.50222342095524,1.49460410841809,2.87676038330281,3.35718795554299
