"","Auvergne-Rhône-Alpes","Bourgogne-Franche-Comté","Bretagne","Corse","Grand Est","Hauts-de-France","Normandie","Nouvelle-Aquitaine","Occitanie","Pays de la Loire","Provence-Alpes-Côte d'Azur","Île-de-France","France-hopitaux","France-OC19","France"
"1",3.01160075582079,3.49434015218282,3.39291656201351,3.72693122219918,2.84418443696273,2.03448552159589,4.31441819099547,3.32612230997845,1.94059170445153,4.22341070809307,3.45610749904849,3.00169362965823,3.74724857991717,3.44663785564234,4.23602439859226
"2",3.3002008391815,3.67522206373824,2.91000369794651,3.07721155982131,3.49845486981347,2.89003994746277,3.61154372266464,3.36134510964703,3.27088379809832,3.5933695415119,2.93527898928529,3.45461060538961,3.70187541114466,3.48314433215538,3.26874617588975
"3",3.22519161559929,3.47293942224488,3.29097665336081,3.76043300807083,3.51738809343471,3.18809820809745,2.95435883932794,3.32398782304132,2.93793635308842,3.28062683708926,3.61945373881244,3.62766295113197,3.47690038970755,3.33269130251251,3.50631699550838
"4",2.90914239111123,3.10869718759275,3.35447347111241,2.90071568939886,3.90361498305087,3.07129304788565,3.11972393647428,2.67157553518626,2.9937567618225,3.8032719298153,3.98159215081197,3.1278120013783,3.54197371935326,3.40700016044054,3.09308332456923
"5",3.3451594869639,3.07920318056074,3.20315729521147,3.969485153805,3.33322945954341,3.00076273963608,3.32708145400797,3.6599295032557,3.47796561816267,2.97123963346859,3.18725048602088,3.56264374971779,3.51340245300759,3.06488437760136,3.46326848944223
"6",3.34563606759405,3.00788871266867,3.6696917016912,3.05451024702018,3.32319745174766,2.62849468040777,2.81563773001964,3.12871089642776,3.19863117411651,3.4568869566976,3.96361702426296,3.72315575042064,3.451087645503,3.64296263235843,4.29937725284761
"7",2.8104736011677,3.02876532791153,3.2546833258654,3.2481923517968,3.87179144705766,2.9097793177867,3.4076402178528,3.47690453316073,3.42306224359873,2.5746534011618,3.11188289773248,3.36454275454212,2.90152806400376,3.70052646367212,3.72237761789555
"8",3.09478145814653,2.81890361599408,3.39963810599122,3.0401640477873,3.0657568967565,3.17547104057369,3.751138364971,3.06984797768848,3.54165058043349,3.45788355697792,3.24813444350863,3.44564062849735,3.63407548487494,3.48787691172503,3.32955999727333
"9",2.45906276374711,3.11647207269443,3.52486662091654,4.16262512965763,3.25633790529305,2.51816479376689,2.87148950264008,3.87808081329357,2.65057734714692,3.37146621643135,3.34331500793936,3.3129497741136,3.31374381185169,3.40728337647322,3.90692571846052
"10",3.1230557929338,3.75237022288303,3.25855491281189,3.35578937919208,4.11777085047575,2.66060057520918,3.41223134951397,2.86078291948139,3.40092872404417,3.37149152799763,3.17549976371908,3.92003934142573,3.18061131833303,3.41560656035855,3.7935013630259
"11",3.27272871045658,3.07115251678294,3.25888571312236,3.36240209171309,3.16814937157253,2.96801792733559,3.34156482920569,3.35747140780807,3.1989715456865,3.25606110562425,3.2109337038674,3.20317542198705,3.16502557425302,3.2300072813278,3.19553273456204
