"","Denmark","Italy","Germany","Spain","United_Kingdom","France","Belgium","Austria","Sweden","Switzerland","Greece","Portugal","Netherlands"
"1",3.11249555147766,2.59730089038852,3.4544567295297,3.41041645478475,3.48081014832394,3.67915768351091,2.60686416432296,3.65867143012058,2.96050781656313,2.7071493196519,3.07807209104262,2.87224549819415,3.26411702211192
"2",2.58450704429455,2.06479024558425,2.91202535681933,2.17510744637658,3.92951051370392,2.58934576158336,4.56650684642076,4.15104863369416,2.81699416586606,2.29282948150036,2.24979791251306,2.95394926881476,3.19610588110061
"3",2.94470045511388,2.09692645469075,3.77176534499213,3.64531707004657,3.30651432565947,3.19169313617106,4.92285904592443,2.86885197699822,4.06570250932194,3.29241996092191,3.89957885705894,5.02214653995548,4.40793067563816
"4",2.71256848519368,2.60626064221249,3.4006400601837,3.18845022981115,3.91641786313329,3.67709458532313,4.13420123889892,3.47610821128555,3.21066045672483,2.87309804739357,4.07791356210891,3.99229705867466,2.87823259995375
"5",3.2742829868712,2.26119489862354,2.47403169725388,2.8246397321931,2.40942554055874,3.62127718057978,2.11480529943919,2.93738576435062,3.13485674582314,2.62757763293328,1.97512370790647,2.86902249052661,2.95659637803113
"6",3.47451522551889,2.4671906176381,3.42825251916006,3.66603117589698,2.8777348007086,3.45164606877447,2.81448368908472,4.08420402007908,3.42103583110031,3.67259157892161,2.9975371085923,4.09893850401836,3.41062968081661
"7",3.08092122100569,0.96690790938494,4.85251810700722,2.46609160982606,3.71903309684188,0.801581963530331,2.56395314782205,2.66770771807424,2.64832361564534,2.19138022275067,2.5023712885759,4.30560767763616,4.59995951029591
"8",4.07887222640715,1.56126108592413,6.14938654639357,1.61146458666664,3.17487769499372,4.98698018396006,3.52696333592095,1.8045086706382,2.26946319223773,3.55801035558617,1.59223626467135,2.10237116736808,2.76966245846137
"9",2.86256760196586,1.73610044382788,1.3979345243351,2.23654614723103,2.67313935684515,1.72651819925936,2.90306738519531,3.36731046518528,2.20291166711314,2.46267982205035,1.98873207380834,2.80398883343687,1.81136936540649
"10",2.89338767444431,2.09984083701398,2.34429874598693,2.35237506697217,3.13110850267182,2.77287807131057,2.34143508198203,2.14436780830788,2.9662537561413,2.94557618265205,2.72879318562135,2.31835720454987,2.94425898086564
