"","time","country","estimated_deaths_forecast","estimated_deaths_forecast_min","estimated_deaths_forecast_max","estimated_deaths_forecast_c","estimated_deaths_forecast_min_c","estimated_deaths_forecast_max_c","estimated_cases_forecast_c","estimated_cases_forecast_min_c","estimated_cases_forecast_max_c","estimated_cases_forecast","estimated_cases_forecast_min","estimated_cases_forecast_max","rt","rt_min","rt_max"
"1",2020-05-16,"Auvergne-Rhône-Alpes",9.87865974868381,7.03877001047189,13.6146303300586,1609.42252298369,1330.71424130829,1942.43715788546,142511.322517498,102656.669038214,196137.775946658,396.577622258997,188.38980679785,733.570922884263,1.07395355608961,0.982352147520429,1.18084179854359
"2",2020-05-17,"Auvergne-Rhône-Alpes",9.40854638106192,6.62715606313271,13.1223390345427,1618.83106936475,1337.34139737142,1955.55949692001,142905.970642345,102841.356943889,196873.822653329,394.648124846237,184.687905675421,736.04670667183,1.07389881614074,0.982321853113697,1.1807785100132
"3",2020-05-18,"Auvergne-Rhône-Alpes",8.96692151457686,6.22834750192757,12.6069648892727,1627.79799087933,1343.56974487335,1968.16646180928,143301.784826279,103024.439616094,197616.821148645,395.814183934826,183.082672205066,742.998495315335,1.07384432687856,0.982292102171044,1.18071493625401
"4",2020-05-19,"Auvergne-Rhône-Alpes",8.55324867916916,5.84910064404927,12.1731384298073,1636.3512395585,1349.4188455174,1980.33960023909,143700.720368955,103207.319071756,198371.279311743,398.935542675141,182.879455661717,754.458163097834,1.07378965964565,0.982262678735323,1.18065046190336
"5",2020-05-20,"Auvergne-Rhône-Alpes",8.16639422250547,5.5129058594251,11.7235936188605,1644.517633781,1354.93175137682,1992.06319385795,144103.807107762,103390.704575159,199137.703296482,403.086738806986,183.385503402636,766.423984739722,1.07373454356024,0.982233446965321,1.18058468994541
"6",2020-05-21,"Auvergne-Rhône-Alpes",7.80649244305721,5.20300770794116,11.3143867629551,1652.32412622406,1360.13475908476,2003.3775806209,144511.535843618,103575.231685481,199919.064929452,407.728735856522,184.52711032203,781.361632969395,1.07367883580501,0.982204336264137,1.18051740184256
"7",2020-05-22,"Auvergne-Rhône-Alpes",7.47284572065443,4.89114198668547,10.9700327289631,1659.79697194471,1365.02590107145,2014.34761334986,144924.13235221,103760.225320794,200715.531960872,412.596508591993,184.99363531363,796.467031420586,1.07362246812655,0.982175314713102,1.18044848166545
"8",2020-05-23,"Auvergne-Rhône-Alpes",7.16513560337691,4.60606901174162,10.6554546705888,1666.96210754809,1369.63197008319,2025.00306802045,145341.710427764,103946.287320243,201527.61155679,417.578075554275,186.061999449213,812.079595918129,1.07356540890678,0.98214636995631,1.18037786258184
"9",2020-05-24,"Auvergne-Rhône-Alpes",6.88289261424083,4.3475174243766,10.3395283997264,1673.84500016233,1373.97948750757,2035.34259642018,145764.345264607,104131.751353636,202357.548847801,422.634836842692,185.464033392944,829.937291010832,1.0735076419881,0.982117498285363,1.18030549741655
"10",2020-05-25,"Auvergne-Rhône-Alpes",6.62579194950659,4.11800450231289,10.0784831618689,1680.47079211184,1378.09749200988,2045.42107958205,146192.103839478,104316.59321865,203201.629243605,427.758574870644,184.841865013746,844.080395803828,1.073449156527,0.982088699242325,1.18023134486275
